CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 624, 'shrink': 787, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0464822, PRECISION: 0.0065465, PRECISION_RECALL_MIN_DEN: 0.0654647, RECALL: 0.0654647, MAP: 0.0337144, MRR: 0.0337144, NDCG: 0.0411735, F1: 0.0119027, HIT_RATE: 0.0654647, ARHR: 0.0337144, RMSE: 0.9662823, NOVELTY: 0.0051831, AVERAGE_POPULARITY: 0.6847640, DIVERSITY_MEAN_INTER_LIST: 0.7983775, DIVERSITY_HERFINDAHL: 0.9798342, COVERAGE_ITEM: 0.2822925, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0498951, SHANNON_ENTROPY: 6.9912707, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 372, 'shrink': 147, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0546501, PRECISION: 0.0075829, PRECISION_RECALL_MIN_DEN: 0.0758293, RECALL: 0.0758293, MAP: 0.0395051, MRR: 0.0395051, NDCG: 0.0480711, F1: 0.0137871, HIT_RATE: 0.0758293, ARHR: 0.0395051, RMSE: 0.9250224, NOVELTY: 0.0053988, AVERAGE_POPULARITY: 0.5626204, DIVERSITY_MEAN_INTER_LIST: 0.9074234, DIVERSITY_HERFINDAHL: 0.9907383, COVERAGE_ITEM: 0.3189835, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0740653, SHANNON_ENTROPY: 8.2296778, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 749, 'shrink': 135, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0533347, PRECISION: 0.0074213, PRECISION_RECALL_MIN_DEN: 0.0742129, RECALL: 0.0742129, MAP: 0.0386455, MRR: 0.0386455, NDCG: 0.0470269, F1: 0.0134933, HIT_RATE: 0.0742129, ARHR: 0.0386455, RMSE: 0.9094900, NOVELTY: 0.0053116, AVERAGE_POPULARITY: 0.6056552, DIVERSITY_MEAN_INTER_LIST: 0.8734676, DIVERSITY_HERFINDAHL: 0.9873429, COVERAGE_ITEM: 0.2784428, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0654712, SHANNON_ENTROPY: 7.7735540, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 823, 'shrink': 1735, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0517055, PRECISION: 0.0072366, PRECISION_RECALL_MIN_DEN: 0.0723656, RECALL: 0.0723656, MAP: 0.0374124, MRR: 0.0374124, NDCG: 0.0456401, F1: 0.0131574, HIT_RATE: 0.0723656, ARHR: 0.0374124, RMSE: 1.7997039, NOVELTY: 0.0052687, AVERAGE_POPULARITY: 0.6423917, DIVERSITY_MEAN_INTER_LIST: 0.8361650, DIVERSITY_HERFINDAHL: 0.9836128, COVERAGE_ITEM: 0.3163882, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0610769, SHANNON_ENTROPY: 7.4667381, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 194, 'shrink': 222, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0565468, PRECISION: 0.0078716, PRECISION_RECALL_MIN_DEN: 0.0787158, RECALL: 0.0787158, MAP: 0.0407412, MRR: 0.0407412, NDCG: 0.0496941, F1: 0.0143120, HIT_RATE: 0.0787158, ARHR: 0.0407412, RMSE: 10.3144177, NOVELTY: 0.0054955, AVERAGE_POPULARITY: 0.5363694, DIVERSITY_MEAN_INTER_LIST: 0.9191905, DIVERSITY_HERFINDAHL: 0.9919150, COVERAGE_ITEM: 0.4119059, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0857202, SHANNON_ENTROPY: 8.6108208, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 196, 'shrink': 70, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0565369, PRECISION: 0.0078600, PRECISION_RECALL_MIN_DEN: 0.0786003, RECALL: 0.0786003, MAP: 0.0407241, MRR: 0.0407241, NDCG: 0.0496561, F1: 0.0142910, HIT_RATE: 0.0786003, ARHR: 0.0407241, RMSE: 33.5662266, NOVELTY: 0.0054935, AVERAGE_POPULARITY: 0.5372576, DIVERSITY_MEAN_INTER_LIST: 0.9187150, DIVERSITY_HERFINDAHL: 0.9918674, COVERAGE_ITEM: 0.4113112, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0854904, SHANNON_ENTROPY: 8.6020064, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 960, 'shrink': 269, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0416014, PRECISION: 0.0058875, PRECISION_RECALL_MIN_DEN: 0.0588747, RECALL: 0.0588747, MAP: 0.0301047, MRR: 0.0301047, NDCG: 0.0368600, F1: 0.0107045, HIT_RATE: 0.0588747, ARHR: 0.0301047, RMSE: 0.8795215, NOVELTY: 0.0050766, AVERAGE_POPULARITY: 0.7420788, DIVERSITY_MEAN_INTER_LIST: 0.7098796, DIVERSITY_HERFINDAHL: 0.9709848, COVERAGE_ITEM: 0.2062179, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0413471, SHANNON_ENTROPY: 6.2933924, 
CrossSearchBayesianSkopt: New best config found. Config 17: {'topK': 369, 'shrink': 1361, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0597392, PRECISION: 0.0082206, PRECISION_RECALL_MIN_DEN: 0.0822061, RECALL: 0.0822061, MAP: 0.0428986, MRR: 0.0428986, NDCG: 0.0521933, F1: 0.0149466, HIT_RATE: 0.0822061, ARHR: 0.0428986, RMSE: 0.7945881, NOVELTY: 0.0060890, AVERAGE_POPULARITY: 0.3936908, DIVERSITY_MEAN_INTER_LIST: 0.9617540, DIVERSITY_HERFINDAHL: 0.9961711, COVERAGE_ITEM: 0.6716734, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1712438, SHANNON_ENTROPY: 10.2273329, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 782, 'shrink': 1451, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0575159, PRECISION: 0.0080057, PRECISION_RECALL_MIN_DEN: 0.0800568, RECALL: 0.0800568, MAP: 0.0412237, MRR: 0.0412237, NDCG: 0.0503854, F1: 0.0145558, HIT_RATE: 0.0800568, ARHR: 0.0412237, RMSE: 0.9070751, NOVELTY: 0.0054621, AVERAGE_POPULARITY: 0.5709358, DIVERSITY_MEAN_INTER_LIST: 0.8960430, DIVERSITY_HERFINDAHL: 0.9896003, COVERAGE_ITEM: 0.4401190, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0868540, SHANNON_ENTROPY: 8.3523223, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 957, 'shrink': 1135, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0578504, PRECISION: 0.0079195, PRECISION_RECALL_MIN_DEN: 0.0791953, RECALL: 0.0791953, MAP: 0.0418819, MRR: 0.0418819, NDCG: 0.0507047, F1: 0.0143992, HIT_RATE: 0.0791953, ARHR: 0.0418819, RMSE: 0.7752332, NOVELTY: 0.0059654, AVERAGE_POPULARITY: 0.4427325, DIVERSITY_MEAN_INTER_LIST: 0.9394170, DIVERSITY_HERFINDAHL: 0.9939375, COVERAGE_ITEM: 0.6521330, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1548268, SHANNON_ENTROPY: 9.7565725, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 425, 'shrink': 304, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0586270, PRECISION: 0.0081691, PRECISION_RECALL_MIN_DEN: 0.0816910, RECALL: 0.0816910, MAP: 0.0419358, MRR: 0.0419358, NDCG: 0.0513166, F1: 0.0148529, HIT_RATE: 0.0816910, ARHR: 0.0419358, RMSE: 3.1791035, NOVELTY: 0.0055348, AVERAGE_POPULARITY: 0.5385572, DIVERSITY_MEAN_INTER_LIST: 0.9151265, DIVERSITY_HERFINDAHL: 0.9915086, COVERAGE_ITEM: 0.4573236, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0962099, SHANNON_ENTROPY: 8.6723480, 
CrossSearchBayesianSkopt: New best config found. Config 21: {'topK': 283, 'shrink': 1561, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0605119, PRECISION: 0.0083467, PRECISION_RECALL_MIN_DEN: 0.0834673, RECALL: 0.0834673, MAP: 0.0435313, MRR: 0.0435313, NDCG: 0.0529684, F1: 0.0151759, HIT_RATE: 0.0834673, ARHR: 0.0435313, RMSE: 0.8035698, NOVELTY: 0.0060794, AVERAGE_POPULARITY: 0.3844055, DIVERSITY_MEAN_INTER_LIST: 0.9658354, DIVERSITY_HERFINDAHL: 0.9965793, COVERAGE_ITEM: 0.6659962, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1682369, SHANNON_ENTROPY: 10.2796141, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 553, 'shrink': 1354, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0429307, PRECISION: 0.0060660, PRECISION_RECALL_MIN_DEN: 0.0606599, RECALL: 0.0606599, MAP: 0.0311591, MRR: 0.0311591, NDCG: 0.0380860, F1: 0.0110291, HIT_RATE: 0.0606599, ARHR: 0.0311591, RMSE: 0.9728942, NOVELTY: 0.0051307, AVERAGE_POPULARITY: 0.7161511, DIVERSITY_MEAN_INTER_LIST: 0.7505075, DIVERSITY_HERFINDAHL: 0.9750474, COVERAGE_ITEM: 0.2562530, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0484454, SHANNON_ENTROPY: 6.6581557, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 586, 'shrink': 998, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0428093, PRECISION: 0.0060527, PRECISION_RECALL_MIN_DEN: 0.0605267, RECALL: 0.0605267, MAP: 0.0310750, MRR: 0.0310750, NDCG: 0.0379893, F1: 0.0110048, HIT_RATE: 0.0605267, ARHR: 0.0310750, RMSE: 0.9630109, NOVELTY: 0.0051247, AVERAGE_POPULARITY: 0.7192644, DIVERSITY_MEAN_INTER_LIST: 0.7459621, DIVERSITY_HERFINDAHL: 0.9745929, COVERAGE_ITEM: 0.2527494, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0476680, SHANNON_ENTROPY: 6.6168442, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 556, 'shrink': 577, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0558926, PRECISION: 0.0077117, PRECISION_RECALL_MIN_DEN: 0.0771171, RECALL: 0.0771171, MAP: 0.0402836, MRR: 0.0402836, NDCG: 0.0489825, F1: 0.0140213, HIT_RATE: 0.0771171, ARHR: 0.0402836, RMSE: 0.8011880, NOVELTY: 0.0070707, AVERAGE_POPULARITY: 0.2073367, DIVERSITY_MEAN_INTER_LIST: 0.9900721, DIVERSITY_HERFINDAHL: 0.9990028, COVERAGE_ITEM: 0.7061584, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3946069, SHANNON_ENTROPY: 12.1244884, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 862, 'shrink': 620, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0574517, PRECISION: 0.0080004, PRECISION_RECALL_MIN_DEN: 0.0800036, RECALL: 0.0800036, MAP: 0.0411878, MRR: 0.0411878, NDCG: 0.0503435, F1: 0.0145461, HIT_RATE: 0.0800036, ARHR: 0.0411878, RMSE: 1.7016762, NOVELTY: 0.0054519, AVERAGE_POPULARITY: 0.5754463, DIVERSITY_MEAN_INTER_LIST: 0.8932254, DIVERSITY_HERFINDAHL: 0.9893186, COVERAGE_ITEM: 0.4376534, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0854935, SHANNON_ENTROPY: 8.3059655, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 691, 'shrink': 237, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0577626, PRECISION: 0.0080421, PRECISION_RECALL_MIN_DEN: 0.0804210, RECALL: 0.0804210, MAP: 0.0413448, MRR: 0.0413448, NDCG: 0.0505656, F1: 0.0146220, HIT_RATE: 0.0804210, ARHR: 0.0413448, RMSE: 4.4862824, NOVELTY: 0.0054753, AVERAGE_POPULARITY: 0.5650186, DIVERSITY_MEAN_INTER_LIST: 0.8996594, DIVERSITY_HERFINDAHL: 0.9899619, COVERAGE_ITEM: 0.4433955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0885878, SHANNON_ENTROPY: 8.4121006, 
CrossSearchBayesianSkopt: New best config found. Config 27: {'topK': 606, 'shrink': 1396, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0605602, PRECISION: 0.0083423, PRECISION_RECALL_MIN_DEN: 0.0834229, RECALL: 0.0834229, MAP: 0.0435462, MRR: 0.0435462, NDCG: 0.0529710, F1: 0.0151678, HIT_RATE: 0.0834229, ARHR: 0.0435462, RMSE: 0.8146962, NOVELTY: 0.0063989, AVERAGE_POPULARITY: 0.3176960, DIVERSITY_MEAN_INTER_LIST: 0.9774755, DIVERSITY_HERFINDAHL: 0.9977432, COVERAGE_ITEM: 0.6472236, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2593662, SHANNON_ENTROPY: 11.0447695, 
CrossSearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 766, 'shrink': 1673, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0581632, PRECISION: 0.0079977, PRECISION_RECALL_MIN_DEN: 0.0799769, RECALL: 0.0799769, MAP: 0.0421492, MRR: 0.0421492, NDCG: 0.0510848, F1: 0.0145413, HIT_RATE: 0.0799769, ARHR: 0.0421492, RMSE: 0.7720724, NOVELTY: 0.0058190, AVERAGE_POPULARITY: 0.4620369, DIVERSITY_MEAN_INTER_LIST: 0.9373999, DIVERSITY_HERFINDAHL: 0.9937358, COVERAGE_ITEM: 0.5976750, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1334409, SHANNON_ENTROPY: 9.4969509, 
CrossSearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 726, 'shrink': 1018, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0521377, PRECISION: 0.0072623, PRECISION_RECALL_MIN_DEN: 0.0726231, RECALL: 0.0726231, MAP: 0.0376678, MRR: 0.0376678, NDCG: 0.0459024, F1: 0.0132042, HIT_RATE: 0.0726231, ARHR: 0.0376678, RMSE: 2.9880519, NOVELTY: 0.0052840, AVERAGE_POPULARITY: 0.6347877, DIVERSITY_MEAN_INTER_LIST: 0.8446076, DIVERSITY_HERFINDAHL: 0.9844570, COVERAGE_ITEM: 0.3236767, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0627971, SHANNON_ENTROPY: 7.5561209, 
CrossSearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 772, 'shrink': 1711, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0581701, PRECISION: 0.0079915, PRECISION_RECALL_MIN_DEN: 0.0799147, RECALL: 0.0799147, MAP: 0.0421120, MRR: 0.0421120, NDCG: 0.0510441, F1: 0.0145300, HIT_RATE: 0.0799147, ARHR: 0.0421120, RMSE: 0.7717169, NOVELTY: 0.0058074, AVERAGE_POPULARITY: 0.4645057, DIVERSITY_MEAN_INTER_LIST: 0.9365561, DIVERSITY_HERFINDAHL: 0.9936515, COVERAGE_ITEM: 0.5929494, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1318287, SHANNON_ENTROPY: 9.4674162, 
CrossSearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 503, 'shrink': 1159, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0598369, PRECISION: 0.0082375, PRECISION_RECALL_MIN_DEN: 0.0823749, RECALL: 0.0823749, MAP: 0.0430178, MRR: 0.0430178, NDCG: 0.0523216, F1: 0.0149773, HIT_RATE: 0.0823749, ARHR: 0.0430178, RMSE: 0.8196212, NOVELTY: 0.0065733, AVERAGE_POPULARITY: 0.2832486, DIVERSITY_MEAN_INTER_LIST: 0.9823016, DIVERSITY_HERFINDAHL: 0.9982258, COVERAGE_ITEM: 0.6635415, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2960031, SHANNON_ENTROPY: 11.3805884, 
CrossSearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 100, 'shrink': 1402, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0506910, PRECISION: 0.0071309, PRECISION_RECALL_MIN_DEN: 0.0713087, RECALL: 0.0713087, MAP: 0.0366218, MRR: 0.0366218, NDCG: 0.0447784, F1: 0.0129652, HIT_RATE: 0.0713087, ARHR: 0.0366218, RMSE: 0.9862722, NOVELTY: 0.0054672, AVERAGE_POPULARITY: 0.5594686, DIVERSITY_MEAN_INTER_LIST: 0.9060942, DIVERSITY_HERFINDAHL: 0.9906054, COVERAGE_ITEM: 0.4320735, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0858693, SHANNON_ENTROPY: 8.4594489, 
CrossSearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 294, 'shrink': 266, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0528403, PRECISION: 0.0073973, PRECISION_RECALL_MIN_DEN: 0.0739731, RECALL: 0.0739731, MAP: 0.0381574, MRR: 0.0381574, NDCG: 0.0465907, F1: 0.0134497, HIT_RATE: 0.0739731, ARHR: 0.0381574, RMSE: 0.9446622, NOVELTY: 0.0053692, AVERAGE_POPULARITY: 0.5823439, DIVERSITY_MEAN_INTER_LIST: 0.8962605, DIVERSITY_HERFINDAHL: 0.9896221, COVERAGE_ITEM: 0.3384050, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0695547, SHANNON_ENTROPY: 8.0721466, 
