CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 23, 'shrink': 1165, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.065079±0.0018, PRECISION: 0.009113±0.0004, PRECISION_RECALL_MIN_DEN: 0.091129±0.0039, RECALL: 0.091129±0.0039, MAP: 0.046484±0.0013, MRR: 0.046484±0.0013, NDCG: 0.057001±0.0015, F1: 0.016569±0.0007, HIT_RATE: 0.091129±0.0039, ARHR: 0.046484±0.0013, RMSE: 0.991390±0.0002, NOVELTY: 0.006707±0.0000, AVERAGE_POPULARITY: 0.195789±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.992036±0.0000, DIVERSITY_HERFINDAHL: 0.999183±0.0000, COVERAGE_ITEM: 0.522044±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.347942±0.0006, SHANNON_ENTROPY: 11.719604±0.0050, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 70, 'shrink': 902, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.063645±0.0015, PRECISION: 0.008909±0.0003, PRECISION_RECALL_MIN_DEN: 0.089088±0.0031, RECALL: 0.089088±0.0031, MAP: 0.045342±0.0016, MRR: 0.045342±0.0016, NDCG: 0.055658±0.0017, F1: 0.016198±0.0006, HIT_RATE: 0.089088±0.0031, ARHR: 0.045342±0.0016, RMSE: 0.985853±0.0003, NOVELTY: 0.006544±0.0000, AVERAGE_POPULARITY: 0.242834±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.988474±0.0000, DIVERSITY_HERFINDAHL: 0.998827±0.0000, COVERAGE_ITEM: 0.489786±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.319686±0.0004, SHANNON_ENTROPY: 11.387457±0.0027, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 167, 'shrink': 190, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.059285±0.0018, PRECISION: 0.008247±0.0003, PRECISION_RECALL_MIN_DEN: 0.082466±0.0030, RECALL: 0.082466±0.0030, MAP: 0.042867±0.0009, MRR: 0.042867±0.0009, NDCG: 0.052202±0.0013, F1: 0.014994±0.0006, HIT_RATE: 0.082466±0.0030, ARHR: 0.042867±0.0009, RMSE: 0.969653±0.0007, NOVELTY: 0.005715±0.0000, AVERAGE_POPULARITY: 0.436867±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.957339±0.0002, DIVERSITY_HERFINDAHL: 0.995714±0.0000, COVERAGE_ITEM: 0.253225±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.176578±0.0004, SHANNON_ENTROPY: 9.384738±0.0084, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 175, 'shrink': 1756, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.050757±0.0016, PRECISION: 0.007143±0.0002, PRECISION_RECALL_MIN_DEN: 0.071429±0.0021, RECALL: 0.071429±0.0021, MAP: 0.036234±0.0010, MRR: 0.036234±0.0010, NDCG: 0.044517±0.0012, F1: 0.012987±0.0004, HIT_RATE: 0.071429±0.0021, ARHR: 0.036234±0.0010, RMSE: 0.925632±0.0015, NOVELTY: 0.005405±0.0000, AVERAGE_POPULARITY: 0.578932±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.895760±0.0009, DIVERSITY_HERFINDAHL: 0.989557±0.0001, COVERAGE_ITEM: 0.199005±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125602±0.0006, SHANNON_ENTROPY: 8.133537±0.0119, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 199, 'shrink': 1060, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.052177±0.0015, PRECISION: 0.007284±0.0002, PRECISION_RECALL_MIN_DEN: 0.072845±0.0025, RECALL: 0.072845±0.0025, MAP: 0.037519±0.0007, MRR: 0.037519±0.0007, NDCG: 0.045842±0.0010, F1: 0.013244±0.0005, HIT_RATE: 0.072845±0.0025, ARHR: 0.037519±0.0007, RMSE: 0.983714±0.0004, NOVELTY: 0.005427±0.0000, AVERAGE_POPULARITY: 0.564135±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.905477±0.0005, DIVERSITY_HERFINDAHL: 0.990529±0.0001, COVERAGE_ITEM: 0.198508±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128071±0.0006, SHANNON_ENTROPY: 8.245382±0.0139, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 78, 'shrink': 1490, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.063561±0.0016, PRECISION: 0.008934±0.0004, PRECISION_RECALL_MIN_DEN: 0.089338±0.0039, RECALL: 0.089338±0.0039, MAP: 0.045548±0.0013, MRR: 0.045548±0.0013, NDCG: 0.055859±0.0015, F1: 0.016243±0.0007, HIT_RATE: 0.089338±0.0039, ARHR: 0.045548±0.0013, RMSE: 0.989815±0.0002, NOVELTY: 0.006363±0.0000, AVERAGE_POPULARITY: 0.291402±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.982858±0.0000, DIVERSITY_HERFINDAHL: 0.998265±0.0000, COVERAGE_ITEM: 0.455583±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.287537±0.0006, SHANNON_ENTROPY: 10.979472±0.0054, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 145, 'shrink': 1557, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.051145±0.0011, PRECISION: 0.007214±0.0002, PRECISION_RECALL_MIN_DEN: 0.072137±0.0019, RECALL: 0.072137±0.0019, MAP: 0.036529±0.0004, MRR: 0.036529±0.0004, NDCG: 0.044912±0.0006, F1: 0.013116±0.0003, HIT_RATE: 0.072137±0.0019, ARHR: 0.036529±0.0004, RMSE: 0.988434±0.0003, NOVELTY: 0.005443±0.0000, AVERAGE_POPULARITY: 0.558574±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.909070±0.0007, DIVERSITY_HERFINDAHL: 0.990888±0.0001, COVERAGE_ITEM: 0.204866±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132448±0.0006, SHANNON_ENTROPY: 8.332341±0.0100, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 147, 'shrink': 1849, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.061655±0.0009, PRECISION: 0.008626±0.0001, PRECISION_RECALL_MIN_DEN: 0.086256±0.0010, RECALL: 0.086256±0.0010, MAP: 0.044014±0.0011, MRR: 0.044014±0.0011, NDCG: 0.053975±0.0009, F1: 0.015683±0.0002, HIT_RATE: 0.086256±0.0010, ARHR: 0.044014±0.0011, RMSE: 0.989102±0.0002, NOVELTY: 0.006104±0.0000, AVERAGE_POPULARITY: 0.374284±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.967616±0.0002, DIVERSITY_HERFINDAHL: 0.996741±0.0000, COVERAGE_ITEM: 0.412836±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.244330±0.0012, SHANNON_ENTROPY: 10.294657±0.0122, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 63, 'shrink': 1195, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.053371±0.0017, PRECISION: 0.007455±0.0002, PRECISION_RECALL_MIN_DEN: 0.074552±0.0023, RECALL: 0.074552±0.0023, MAP: 0.038314±0.0007, MRR: 0.038314±0.0007, NDCG: 0.046860±0.0010, F1: 0.013555±0.0004, HIT_RATE: 0.074552±0.0023, ARHR: 0.038314±0.0007, RMSE: 0.933012±0.0016, NOVELTY: 0.005594±0.0000, AVERAGE_POPULARITY: 0.480735±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.946356±0.0004, DIVERSITY_HERFINDAHL: 0.994616±0.0000, COVERAGE_ITEM: 0.225261±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.160493±0.0004, SHANNON_ENTROPY: 9.032009±0.0093, 
CrossSearchBayesianSkopt: New best config found. Config 19: {'topK': 14, 'shrink': 1792, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.066181±0.0025, PRECISION: 0.009125±0.0004, PRECISION_RECALL_MIN_DEN: 0.091254±0.0039, RECALL: 0.091254±0.0039, MAP: 0.047245±0.0013, MRR: 0.047245±0.0013, NDCG: 0.057646±0.0016, F1: 0.016592±0.0007, HIT_RATE: 0.091254±0.0039, ARHR: 0.047245±0.0013, RMSE: 0.994520±0.0001, NOVELTY: 0.006674±0.0000, AVERAGE_POPULARITY: 0.197583±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.991690±0.0000, DIVERSITY_HERFINDAHL: 0.999148±0.0000, COVERAGE_ITEM: 0.520649±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.340693±0.0012, SHANNON_ENTROPY: 11.662370±0.0046, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 17, 'shrink': 458, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.059429±0.0021, PRECISION: 0.008380±0.0003, PRECISION_RECALL_MIN_DEN: 0.083798±0.0034, RECALL: 0.083798±0.0034, MAP: 0.042815±0.0011, MRR: 0.042815±0.0011, NDCG: 0.052448±0.0016, F1: 0.015236±0.0006, HIT_RATE: 0.083798±0.0034, ARHR: 0.042815±0.0011, RMSE: 0.936303±0.0023, NOVELTY: 0.005853±0.0000, AVERAGE_POPULARITY: 0.361234±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.976535±0.0002, DIVERSITY_HERFINDAHL: 0.997633±0.0000, COVERAGE_ITEM: 0.253268±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.206308±0.0008, SHANNON_ENTROPY: 9.931776±0.0086, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 124, 'shrink': 1063, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.052645±0.0017, PRECISION: 0.007393±0.0002, PRECISION_RECALL_MIN_DEN: 0.073928±0.0023, RECALL: 0.073928±0.0023, MAP: 0.037889±0.0007, MRR: 0.037889±0.0007, NDCG: 0.046375±0.0011, F1: 0.013441±0.0004, HIT_RATE: 0.073928±0.0023, ARHR: 0.037889±0.0007, RMSE: 0.986047±0.0003, NOVELTY: 0.005498±0.0000, AVERAGE_POPULARITY: 0.527805±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.926186±0.0005, DIVERSITY_HERFINDAHL: 0.992599±0.0001, COVERAGE_ITEM: 0.210003±0.0042, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.141964±0.0006, SHANNON_ENTROPY: 8.602261±0.0127, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 81, 'shrink': 250, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.059360±0.0019, PRECISION: 0.008280±0.0002, PRECISION_RECALL_MIN_DEN: 0.082799±0.0021, RECALL: 0.082799±0.0021, MAP: 0.042498±0.0010, MRR: 0.042498±0.0010, NDCG: 0.052002±0.0012, F1: 0.015054±0.0004, HIT_RATE: 0.082799±0.0021, ARHR: 0.042498±0.0010, RMSE: 0.877016±0.0017, NOVELTY: 0.005743±0.0000, AVERAGE_POPULARITY: 0.415186±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.965247±0.0001, DIVERSITY_HERFINDAHL: 0.996505±0.0000, COVERAGE_ITEM: 0.242228±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.183276±0.0003, SHANNON_ENTROPY: 9.532849±0.0077, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 107, 'shrink': 1444, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.062784±0.0010, PRECISION: 0.008842±0.0003, PRECISION_RECALL_MIN_DEN: 0.088421±0.0028, RECALL: 0.088421±0.0028, MAP: 0.044905±0.0010, MRR: 0.044905±0.0010, NDCG: 0.055151±0.0011, F1: 0.016077±0.0005, HIT_RATE: 0.088421±0.0028, ARHR: 0.044905±0.0010, RMSE: 0.988330±0.0002, NOVELTY: 0.006274±0.0000, AVERAGE_POPULARITY: 0.319539±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.978557±0.0001, DIVERSITY_HERFINDAHL: 0.997835±0.0000, COVERAGE_ITEM: 0.440400±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.272725±0.0007, SHANNON_ENTROPY: 10.755779±0.0066, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 70, 'shrink': 275, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.058911±0.0018, PRECISION: 0.008167±0.0003, PRECISION_RECALL_MIN_DEN: 0.081674±0.0029, RECALL: 0.081674±0.0029, MAP: 0.042197±0.0009, MRR: 0.042197±0.0009, NDCG: 0.051519±0.0013, F1: 0.014850±0.0005, HIT_RATE: 0.081674±0.0029, ARHR: 0.042197±0.0009, RMSE: 0.884980±0.0019, NOVELTY: 0.005744±0.0000, AVERAGE_POPULARITY: 0.412650±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.966301±0.0001, DIVERSITY_HERFINDAHL: 0.996610±0.0000, COVERAGE_ITEM: 0.239805±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.184143±0.0004, SHANNON_ENTROPY: 9.548993±0.0066, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 61, 'shrink': 1730, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.052237±0.0018, PRECISION: 0.007268±0.0003, PRECISION_RECALL_MIN_DEN: 0.072678±0.0029, RECALL: 0.072678±0.0029, MAP: 0.037486±0.0008, MRR: 0.037486±0.0008, NDCG: 0.045788±0.0012, F1: 0.013214±0.0005, HIT_RATE: 0.072678±0.0029, ARHR: 0.037486±0.0008, RMSE: 0.991977±0.0002, NOVELTY: 0.005577±0.0000, AVERAGE_POPULARITY: 0.491669±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.941648±0.0006, DIVERSITY_HERFINDAHL: 0.994145±0.0001, COVERAGE_ITEM: 0.228321±0.0042, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.158762±0.0005, SHANNON_ENTROPY: 8.964047±0.0099, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 3, 'shrink': 474, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.062687±0.0027, PRECISION: 0.008530±0.0004, PRECISION_RECALL_MIN_DEN: 0.085298±0.0041, RECALL: 0.085298±0.0041, MAP: 0.044767±0.0022, MRR: 0.044767±0.0022, NDCG: 0.054378±0.0022, F1: 0.015509±0.0007, HIT_RATE: 0.085298±0.0041, ARHR: 0.044767±0.0022, RMSE: 0.989598±0.0003, NOVELTY: 0.006904±0.0000, AVERAGE_POPULARITY: 0.128942±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.991922±0.0001, DIVERSITY_HERFINDAHL: 0.999172±0.0000, COVERAGE_ITEM: 0.533528±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.388199±0.0012, SHANNON_ENTROPY: 11.994855±0.0114, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 50, 'shrink': 70, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.062465±0.0019, PRECISION: 0.008809±0.0003, PRECISION_RECALL_MIN_DEN: 0.088088±0.0032, RECALL: 0.088088±0.0032, MAP: 0.044809±0.0013, MRR: 0.044809±0.0013, NDCG: 0.054992±0.0016, F1: 0.016016±0.0006, HIT_RATE: 0.088088±0.0032, ARHR: 0.044809±0.0013, RMSE: 0.976297±0.0007, NOVELTY: 0.006103±0.0000, AVERAGE_POPULARITY: 0.322246±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.980764±0.0001, DIVERSITY_HERFINDAHL: 0.998056±0.0000, COVERAGE_ITEM: 0.361092±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238151±0.0005, SHANNON_ENTROPY: 10.472183±0.0081, 
