SearchBayesianSkopt: New best config found. Config 0: {'topK': 1907, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.000874413730873078, 'lambda_j': 4.760889527991688e-05, 'learning_rate': 2.5118780459428312e-08} - results: ROC_AUC: 0.0858970, PRECISION: 0.0142275, PRECISION_RECALL_MIN_DEN: 0.0474249, RECALL: 0.0474249, MAP: 0.0220199, MRR: 0.0621499, NDCG: 0.0385896, F1: 0.0218884, HIT_RATE: 0.1422747, ARHR: 0.0640895, RMSE: 0.9998800, NOVELTY: 0.0055336, AVERAGE_POPULARITY: 0.6592175, DIVERSITY_MEAN_INTER_LIST: 0.8064230, DIVERSITY_HERFINDAHL: 0.9806373, COVERAGE_ITEM: 0.2941876, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0664595, SHANNON_ENTROPY: 7.1979756, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1460, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.004708617697346275, 'lambda_j': 7.772288139438849e-07, 'learning_rate': 4.002017520985184e-06} - results: ROC_AUC: 0.0949511, PRECISION: 0.0154136, PRECISION_RECALL_MIN_DEN: 0.0513787, RECALL: 0.0513787, MAP: 0.0244401, MRR: 0.0679616, NDCG: 0.0422929, F1: 0.0237132, HIT_RATE: 0.1541360, ARHR: 0.0706067, RMSE: 0.9998050, NOVELTY: 0.0057960, AVERAGE_POPULARITY: 0.5545087, DIVERSITY_MEAN_INTER_LIST: 0.8886299, DIVERSITY_HERFINDAHL: 0.9888575, COVERAGE_ITEM: 0.4042174, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1147534, SHANNON_ENTROPY: 8.4988274, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1727, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.002196083631646031, 'lambda_j': 13.811660072874302, 'learning_rate': 8.222365804288087e-06} - results: ROC_AUC: 0.0937533, PRECISION: 0.0153518, PRECISION_RECALL_MIN_DEN: 0.0511728, RECALL: 0.0511728, MAP: 0.0243394, MRR: 0.0677046, NDCG: 0.0421108, F1: 0.0236182, HIT_RATE: 0.1535183, ARHR: 0.0703322, RMSE: 0.9995882, NOVELTY: 0.0057851, AVERAGE_POPULARITY: 0.5597053, DIVERSITY_MEAN_INTER_LIST: 0.8842891, DIVERSITY_HERFINDAHL: 0.9884235, COVERAGE_ITEM: 0.4028116, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1129836, SHANNON_ENTROPY: 8.4412334, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1211, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 12.072351111402885, 'lambda_j': 0.7899763970843721, 'learning_rate': 2.130185649744466e-07} - results: ROC_AUC: 0.0949025, PRECISION: 0.0154445, PRECISION_RECALL_MIN_DEN: 0.0514816, RECALL: 0.0514816, MAP: 0.0245216, MRR: 0.0682100, NDCG: 0.0424102, F1: 0.0237608, HIT_RATE: 0.1544449, ARHR: 0.0708592, RMSE: 0.9999901, NOVELTY: 0.0058091, AVERAGE_POPULARITY: 0.5476340, DIVERSITY_MEAN_INTER_LIST: 0.8950165, DIVERSITY_HERFINDAHL: 0.9894961, COVERAGE_ITEM: 0.4063260, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1165276, SHANNON_ENTROPY: 8.5764032, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1408, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.0014664666115318564, 'lambda_j': 3.8554120552124446e-07, 'learning_rate': 4.853000996205775e-06} - results: ROC_AUC: 0.0895714, PRECISION: 0.0147340, PRECISION_RECALL_MIN_DEN: 0.0491135, RECALL: 0.0491135, MAP: 0.0229822, MRR: 0.0643875, NDCG: 0.0400843, F1: 0.0226678, HIT_RATE: 0.1473405, ARHR: 0.0666483, RMSE: 0.9998832, NOVELTY: 0.0055772, AVERAGE_POPULARITY: 0.6332186, DIVERSITY_MEAN_INTER_LIST: 0.8400944, DIVERSITY_HERFINDAHL: 0.9840042, COVERAGE_ITEM: 0.2996486, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0739544, SHANNON_ENTROPY: 7.5284104, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1052, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.2123855661906, 'lambda_j': 1.21166231217499e-07, 'learning_rate': 2.6404001589418897e-08} - results: ROC_AUC: 0.0873317, PRECISION: 0.0142645, PRECISION_RECALL_MIN_DEN: 0.0475484, RECALL: 0.0475484, MAP: 0.0223549, MRR: 0.0629938, NDCG: 0.0389847, F1: 0.0219454, HIT_RATE: 0.1426453, ARHR: 0.0650180, RMSE: 0.9999411, NOVELTY: 0.0055476, AVERAGE_POPULARITY: 0.6467708, DIVERSITY_MEAN_INTER_LIST: 0.8256795, DIVERSITY_HERFINDAHL: 0.9825629, COVERAGE_ITEM: 0.2835902, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0682184, SHANNON_ENTROPY: 7.3343678, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1514, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 20.43224067534559, 'lambda_j': 0.005003215608393855, 'learning_rate': 1.6592954784319697e-08} - results: ROC_AUC: 0.0858231, PRECISION: 0.0140977, PRECISION_RECALL_MIN_DEN: 0.0469924, RECALL: 0.0469924, MAP: 0.0220408, MRR: 0.0622694, NDCG: 0.0384903, F1: 0.0216888, HIT_RATE: 0.1409773, ARHR: 0.0641837, RMSE: 0.9999224, NOVELTY: 0.0055394, AVERAGE_POPULARITY: 0.6560822, DIVERSITY_MEAN_INTER_LIST: 0.8109607, DIVERSITY_HERFINDAHL: 0.9810911, COVERAGE_ITEM: 0.2954312, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0673653, SHANNON_ENTROPY: 7.2374930, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1138, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.0005740137231353523, 'lambda_j': 1.906750981414063e-07, 'learning_rate': 3.8572661283961776e-05} - results: ROC_AUC: 0.0869545, PRECISION: 0.0142460, PRECISION_RECALL_MIN_DEN: 0.0474867, RECALL: 0.0474867, MAP: 0.0222444, MRR: 0.0627133, NDCG: 0.0388496, F1: 0.0219169, HIT_RATE: 0.1424600, ARHR: 0.0647120, RMSE: 0.9282678, NOVELTY: 0.0055455, AVERAGE_POPULARITY: 0.6478736, DIVERSITY_MEAN_INTER_LIST: 0.8244493, DIVERSITY_HERFINDAHL: 0.9824398, COVERAGE_ITEM: 0.2829413, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0679905, SHANNON_ENTROPY: 7.3238908, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1461, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.1433076291015475, 'lambda_j': 0.04852611666116757, 'learning_rate': 5.601478433209599e-06} - results: ROC_AUC: 0.0861629, PRECISION: 0.0141286, PRECISION_RECALL_MIN_DEN: 0.0470954, RECALL: 0.0470954, MAP: 0.0221673, MRR: 0.0626370, NDCG: 0.0386558, F1: 0.0217363, HIT_RATE: 0.1412862, ARHR: 0.0645577, RMSE: 0.9749338, NOVELTY: 0.0055417, AVERAGE_POPULARITY: 0.6543246, DIVERSITY_MEAN_INTER_LIST: 0.8140304, DIVERSITY_HERFINDAHL: 0.9813980, COVERAGE_ITEM: 0.2962422, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0675738, SHANNON_ENTROPY: 7.2567555, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1046, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.4784268875922117, 'lambda_j': 0.0003070038278573219, 'learning_rate': 2.0014482162196288e-07} - results: ROC_AUC: 0.0951473, PRECISION: 0.0155186, PRECISION_RECALL_MIN_DEN: 0.0517288, RECALL: 0.0517288, MAP: 0.0246532, MRR: 0.0685848, NDCG: 0.0426245, F1: 0.0238748, HIT_RATE: 0.1551863, ARHR: 0.0712414, RMSE: 0.9999909, NOVELTY: 0.0058195, AVERAGE_POPULARITY: 0.5423346, DIVERSITY_MEAN_INTER_LIST: 0.8990609, DIVERSITY_HERFINDAHL: 0.9899005, COVERAGE_ITEM: 0.4057853, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1180313, SHANNON_ENTROPY: 8.6259993, 
SearchBayesianSkopt: New best config found. Config 20: {'topK': 5, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-08, 'lambda_j': 100.0, 'learning_rate': 1e-08} - results: ROC_AUC: 0.1012171, PRECISION: 0.0152839, PRECISION_RECALL_MIN_DEN: 0.0509462, RECALL: 0.0509462, MAP: 0.0263319, MRR: 0.0731818, NDCG: 0.0442183, F1: 0.0235136, HIT_RATE: 0.1528387, ARHR: 0.0760569, RMSE: 0.9999999, NOVELTY: 0.0067335, AVERAGE_POPULARITY: 0.2386662, DIVERSITY_MEAN_INTER_LIST: 0.9798293, DIVERSITY_HERFINDAHL: 0.9979769, COVERAGE_ITEM: 0.4236280, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1895285, SHANNON_ENTROPY: 10.5310282, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-08, 'lambda_j': 1e-08, 'learning_rate': 1e-08} - results: ROC_AUC: 0.1010256, PRECISION: 0.0152592, PRECISION_RECALL_MIN_DEN: 0.0508639, RECALL: 0.0508639, MAP: 0.0262746, MRR: 0.0730684, NDCG: 0.0441361, F1: 0.0234756, HIT_RATE: 0.1525916, ARHR: 0.0759139, RMSE: 0.9999999, NOVELTY: 0.0067332, AVERAGE_POPULARITY: 0.2380324, DIVERSITY_MEAN_INTER_LIST: 0.9796979, DIVERSITY_HERFINDAHL: 0.9979637, COVERAGE_ITEM: 0.4229792, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1895998, SHANNON_ENTROPY: 10.5258266, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 5, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-08, 'lambda_j': 1e-08, 'learning_rate': 1e-08} - results: ROC_AUC: 0.1007121, PRECISION: 0.0152221, PRECISION_RECALL_MIN_DEN: 0.0507403, RECALL: 0.0507403, MAP: 0.0263248, MRR: 0.0730560, NDCG: 0.0441185, F1: 0.0234186, HIT_RATE: 0.1522209, ARHR: 0.0759824, RMSE: 0.9999999, NOVELTY: 0.0067357, AVERAGE_POPULARITY: 0.2374202, DIVERSITY_MEAN_INTER_LIST: 0.9798469, DIVERSITY_HERFINDAHL: 0.9979786, COVERAGE_ITEM: 0.4210327, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1901631, SHANNON_ENTROPY: 10.5302429, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1409, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.2799633041744615e-08, 'lambda_j': 98.51532277409338, 'learning_rate': 9.021125875303372e-05} - results: ROC_AUC: 0.0782569, PRECISION: 0.0128992, PRECISION_RECALL_MIN_DEN: 0.0429975, RECALL: 0.0429975, MAP: 0.0196201, MRR: 0.0558309, NDCG: 0.0347108, F1: 0.0198450, HIT_RATE: 0.1289924, ARHR: 0.0573421, RMSE: 1.0268244, NOVELTY: 0.0054565, AVERAGE_POPULARITY: 0.7002209, DIVERSITY_MEAN_INTER_LIST: 0.7464854, DIVERSITY_HERFINDAHL: 0.9746439, COVERAGE_ITEM: 0.2544471, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0545904, SHANNON_ENTROPY: 6.6550760, 
SearchBayesianSkopt: New best config found. Config 24: {'topK': 5, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-08, 'lambda_j': 1e-08, 'learning_rate': 1e-08} - results: ROC_AUC: 0.1007727, PRECISION: 0.0152159, PRECISION_RECALL_MIN_DEN: 0.0507197, RECALL: 0.0507197, MAP: 0.0263451, MRR: 0.0731770, NDCG: 0.0441434, F1: 0.0234091, HIT_RATE: 0.1521591, ARHR: 0.0760735, RMSE: 0.9999999, NOVELTY: 0.0067383, AVERAGE_POPULARITY: 0.2364645, DIVERSITY_MEAN_INTER_LIST: 0.9798628, DIVERSITY_HERFINDAHL: 0.9979802, COVERAGE_ITEM: 0.4210868, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1902361, SHANNON_ENTROPY: 10.5294773, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 5, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-08, 'lambda_j': 1e-08, 'learning_rate': 1e-08} - results: ROC_AUC: 0.1005329, PRECISION: 0.0152653, PRECISION_RECALL_MIN_DEN: 0.0508845, RECALL: 0.0508845, MAP: 0.0261680, MRR: 0.0726595, NDCG: 0.0440099, F1: 0.0234851, HIT_RATE: 0.1526534, ARHR: 0.0755546, RMSE: 0.9999999, NOVELTY: 0.0067358, AVERAGE_POPULARITY: 0.2370439, DIVERSITY_MEAN_INTER_LIST: 0.9800059, DIVERSITY_HERFINDAHL: 0.9979945, COVERAGE_ITEM: 0.4241687, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1890570, SHANNON_ENTROPY: 10.5335394, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 67, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 8.728679317683076, 'lambda_j': 3.1877030489003295, 'learning_rate': 8.738211709748318e-05} - results: ROC_AUC: 0.0283083, PRECISION: 0.0048557, PRECISION_RECALL_MIN_DEN: 0.0161858, RECALL: 0.0161858, MAP: 0.0064665, MRR: 0.0182745, NDCG: 0.0120858, F1: 0.0074704, HIT_RATE: 0.0485575, ARHR: 0.0188186, RMSE: 0.9997387, NOVELTY: 0.0073039, AVERAGE_POPULARITY: 0.0837783, DIVERSITY_MEAN_INTER_LIST: 0.9972523, DIVERSITY_HERFINDAHL: 0.9997191, COVERAGE_ITEM: 0.5817248, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.4007085, SHANNON_ENTROPY: 12.4555129, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 1986, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.4365246946894337e-08, 'lambda_j': 0.006070793276963667, 'learning_rate': 1.1718598693262253e-08} - results: ROC_AUC: 0.0883272, PRECISION: 0.0147340, PRECISION_RECALL_MIN_DEN: 0.0491135, RECALL: 0.0491135, MAP: 0.0227844, MRR: 0.0639594, NDCG: 0.0398789, F1: 0.0226678, HIT_RATE: 0.1473405, ARHR: 0.0661413, RMSE: 0.9999997, NOVELTY: 0.0055617, AVERAGE_POPULARITY: 0.6425271, DIVERSITY_MEAN_INTER_LIST: 0.8286665, DIVERSITY_HERFINDAHL: 0.9828615, COVERAGE_ITEM: 0.2966207, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0718216, SHANNON_ENTROPY: 7.4230358, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 2000, 'epochs': 1999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1e-08, 'lambda_j': 1e-08, 'learning_rate': 1e-08} - results: ROC_AUC: 0.0859089, PRECISION: 0.0142954, PRECISION_RECALL_MIN_DEN: 0.0476514, RECALL: 0.0476514, MAP: 0.0221074, MRR: 0.0623879, NDCG: 0.0387465, F1: 0.0219930, HIT_RATE: 0.1429542, ARHR: 0.0643428, RMSE: 0.9999521, NOVELTY: 0.0055326, AVERAGE_POPULARITY: 0.6598476, DIVERSITY_MEAN_INTER_LIST: 0.8058352, DIVERSITY_HERFINDAHL: 0.9805785, COVERAGE_ITEM: 0.2941876, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0662166, SHANNON_ENTROPY: 7.1902881, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 2000, 'epochs': 1999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1e-08, 'lambda_j': 1e-08, 'learning_rate': 1e-08} - results: ROC_AUC: 0.0862823, PRECISION: 0.0141533, PRECISION_RECALL_MIN_DEN: 0.0471778, RECALL: 0.0471778, MAP: 0.0221904, MRR: 0.0626125, NDCG: 0.0386947, F1: 0.0217744, HIT_RATE: 0.1415333, ARHR: 0.0645805, RMSE: 0.9999760, NOVELTY: 0.0055308, AVERAGE_POPULARITY: 0.6564146, DIVERSITY_MEAN_INTER_LIST: 0.8132000, DIVERSITY_HERFINDAHL: 0.9813150, COVERAGE_ITEM: 0.2771560, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0659627, SHANNON_ENTROPY: 7.2205540, 
