CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2327, 'shrink': 143, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0684621876754077, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.028435±0.0020, PRECISION: 0.004449±0.0003, PRECISION_RECALL_MIN_DEN: 0.044490±0.0027, RECALL: 0.044490±0.0027, MAP: 0.019846±0.0010, MRR: 0.019846±0.0010, NDCG: 0.025563±0.0013, F1: 0.008089±0.0005, HIT_RATE: 0.044490±0.0027, ARHR: 0.019846±0.0010, RMSE: 57.902565±0.7074, NOVELTY: 0.004968±0.0000, AVERAGE_POPULARITY: 0.790128±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.637450±0.0007, DIVERSITY_HERFINDAHL: 0.963731±0.0001, COVERAGE_ITEM: 0.018113±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107402±0.0010, SHANNON_ENTROPY: 5.448045±0.0033, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1955, 'shrink': 1196, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3853274701881118, 'feature_weighting': 'none'} - results: ROC_AUC: 0.026322±0.0010, PRECISION: 0.003902±0.0001, PRECISION_RECALL_MIN_DEN: 0.039024±0.0010, RECALL: 0.039024±0.0010, MAP: 0.018211±0.0010, MRR: 0.018211±0.0010, NDCG: 0.023077±0.0009, F1: 0.007095±0.0002, HIT_RATE: 0.039024±0.0010, ARHR: 0.018211±0.0010, RMSE: 0.933699±0.0011, NOVELTY: 0.004929±0.0000, AVERAGE_POPULARITY: 0.819834±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.596962±0.0009, DIVERSITY_HERFINDAHL: 0.959683±0.0001, COVERAGE_ITEM: 0.012295±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125122±0.0022, SHANNON_ENTROPY: 5.174764±0.0052, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 214, 'shrink': 1096, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3554770675377479, 'feature_weighting': 'none'} - results: ROC_AUC: 0.029489±0.0021, PRECISION: 0.004544±0.0003, PRECISION_RECALL_MIN_DEN: 0.045438±0.0026, RECALL: 0.045438±0.0026, MAP: 0.020296±0.0014, MRR: 0.020296±0.0014, NDCG: 0.026142±0.0016, F1: 0.008261±0.0005, HIT_RATE: 0.045438±0.0026, ARHR: 0.020296±0.0014, RMSE: 0.981395±0.0006, NOVELTY: 0.005307±0.0000, AVERAGE_POPULARITY: 0.584836±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.910210±0.0004, DIVERSITY_HERFINDAHL: 0.991000±0.0000, COVERAGE_ITEM: 0.099378±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140556±0.0007, SHANNON_ENTROPY: 8.004180±0.0061, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 786, 'shrink': 746, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0675663519058627, 'feature_weighting': 'none'} - results: ROC_AUC: 0.030267±0.0017, PRECISION: 0.004589±0.0002, PRECISION_RECALL_MIN_DEN: 0.045890±0.0022, RECALL: 0.045890±0.0022, MAP: 0.020971±0.0014, MRR: 0.020971±0.0014, NDCG: 0.026774±0.0014, F1: 0.008344±0.0004, HIT_RATE: 0.045890±0.0022, ARHR: 0.020971±0.0014, RMSE: 0.937790±0.0013, NOVELTY: 0.005022±0.0000, AVERAGE_POPULARITY: 0.748134±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.761057±0.0009, DIVERSITY_HERFINDAHL: 0.976088±0.0001, COVERAGE_ITEM: 0.025715±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119602±0.0010, SHANNON_ENTROPY: 6.118832±0.0051, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1154, 'shrink': 1080, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6914268975168808, 'feature_weighting': 'none'} - results: ROC_AUC: 0.030026±0.0019, PRECISION: 0.004625±0.0002, PRECISION_RECALL_MIN_DEN: 0.046251±0.0019, RECALL: 0.046251±0.0019, MAP: 0.020810±0.0014, MRR: 0.020810±0.0014, NDCG: 0.026724±0.0015, F1: 0.008409±0.0003, HIT_RATE: 0.046251±0.0019, ARHR: 0.020810±0.0014, RMSE: 0.955249±0.0008, NOVELTY: 0.005011±0.0000, AVERAGE_POPULARITY: 0.756152±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.732774±0.0006, DIVERSITY_HERFINDAHL: 0.973261±0.0001, COVERAGE_ITEM: 0.024331±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.115667±0.0020, SHANNON_ENTROPY: 5.980451±0.0033, 
CrossSearchBayesianSkopt: New best config found. Config 15: {'topK': 1086, 'shrink': 1996, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9376370553713333, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039145±0.0029, PRECISION: 0.006034±0.0003, PRECISION_RECALL_MIN_DEN: 0.060343±0.0030, RECALL: 0.060343±0.0030, MAP: 0.026336±0.0020, MRR: 0.026336±0.0020, NDCG: 0.034267±0.0022, F1: 0.010972±0.0005, HIT_RATE: 0.060343±0.0030, ARHR: 0.026336±0.0020, RMSE: 0.694778±0.0048, NOVELTY: 0.005180±0.0000, AVERAGE_POPULARITY: 0.664837±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.843377±0.0019, DIVERSITY_HERFINDAHL: 0.984319±0.0002, COVERAGE_ITEM: 0.043428±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145484±0.0010, SHANNON_ENTROPY: 7.015498±0.0159, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 2842, 'shrink': 799, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.32661222241370585, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035346±0.0023, PRECISION: 0.005510±0.0003, PRECISION_RECALL_MIN_DEN: 0.055104±0.0026, RECALL: 0.055104±0.0026, MAP: 0.023897±0.0014, MRR: 0.023897±0.0014, NDCG: 0.031158±0.0017, F1: 0.010019±0.0005, HIT_RATE: 0.055104±0.0026, ARHR: 0.023897±0.0014, RMSE: 1.115796±0.0106, NOVELTY: 0.005031±0.0000, AVERAGE_POPULARITY: 0.749432±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.745884±0.0018, DIVERSITY_HERFINDAHL: 0.974572±0.0002, COVERAGE_ITEM: 0.023877±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125182±0.0008, SHANNON_ENTROPY: 6.062518±0.0096, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 150, 'shrink': 383, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0559062650201871, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.021695±0.0009, PRECISION: 0.003329±0.0001, PRECISION_RECALL_MIN_DEN: 0.033288±0.0009, RECALL: 0.033288±0.0009, MAP: 0.014967±0.0009, MRR: 0.014967±0.0009, NDCG: 0.019229±0.0006, F1: 0.006052±0.0002, HIT_RATE: 0.033288±0.0009, ARHR: 0.014967±0.0009, RMSE: 0.851786±0.0052, NOVELTY: 0.006430±0.0000, AVERAGE_POPULARITY: 0.297738±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.984233±0.0002, DIVERSITY_HERFINDAHL: 0.998401±0.0000, COVERAGE_ITEM: 0.414134±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.328148±0.0010, SHANNON_ENTROPY: 11.147556±0.0111, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1169, 'shrink': 1226, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6315174541178383, 'feature_weighting': 'none'} - results: ROC_AUC: 0.028425±0.0015, PRECISION: 0.004322±0.0002, PRECISION_RECALL_MIN_DEN: 0.043225±0.0018, RECALL: 0.043225±0.0018, MAP: 0.019494±0.0012, MRR: 0.019494±0.0012, NDCG: 0.025026±0.0012, F1: 0.007859±0.0003, HIT_RATE: 0.043225±0.0018, ARHR: 0.019494±0.0012, RMSE: 0.951894±0.0009, NOVELTY: 0.004981±0.0000, AVERAGE_POPULARITY: 0.777581±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.705353±0.0008, DIVERSITY_HERFINDAHL: 0.970519±0.0001, COVERAGE_ITEM: 0.019248±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119718±0.0015, SHANNON_ENTROPY: 5.732410±0.0063, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 865, 'shrink': 1307, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.03574974392591002, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.033399±0.0022, PRECISION: 0.005212±0.0003, PRECISION_RECALL_MIN_DEN: 0.052123±0.0033, RECALL: 0.052123±0.0033, MAP: 0.022734±0.0012, MRR: 0.022734±0.0012, NDCG: 0.029563±0.0017, F1: 0.009477±0.0006, HIT_RATE: 0.052123±0.0033, ARHR: 0.022734±0.0012, RMSE: 1.069652±0.0131, NOVELTY: 0.005124±0.0000, AVERAGE_POPULARITY: 0.692036±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.812009±0.0005, DIVERSITY_HERFINDAHL: 0.981183±0.0000, COVERAGE_ITEM: 0.045829±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.115164±0.0012, SHANNON_ENTROPY: 6.724831±0.0059, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 2147, 'shrink': 492, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2362216855830024, 'feature_weighting': 'none'} - results: ROC_AUC: 0.025856±0.0008, PRECISION: 0.003853±0.0001, PRECISION_RECALL_MIN_DEN: 0.038528±0.0013, RECALL: 0.038528±0.0013, MAP: 0.018075±0.0011, MRR: 0.018075±0.0011, NDCG: 0.022848±0.0010, F1: 0.007005±0.0002, HIT_RATE: 0.038528±0.0013, ARHR: 0.018075±0.0011, RMSE: 0.857591±0.0013, NOVELTY: 0.004924±0.0000, AVERAGE_POPULARITY: 0.824332±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.581761±0.0015, DIVERSITY_HERFINDAHL: 0.958163±0.0002, COVERAGE_ITEM: 0.011333±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128458±0.0024, SHANNON_ENTROPY: 5.100986±0.0048, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 2864, 'shrink': 901, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8690951618011826, 'feature_weighting': 'none'} - results: ROC_AUC: 0.024631±0.0006, PRECISION: 0.003618±0.0001, PRECISION_RECALL_MIN_DEN: 0.036179±0.0014, RECALL: 0.036179±0.0014, MAP: 0.017381±0.0008, MRR: 0.017381±0.0008, NDCG: 0.021772±0.0006, F1: 0.006578±0.0003, HIT_RATE: 0.036179±0.0014, ARHR: 0.017381±0.0008, RMSE: 0.907667±0.0013, NOVELTY: 0.004911±0.0000, AVERAGE_POPULARITY: 0.834866±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.531165±0.0014, DIVERSITY_HERFINDAHL: 0.953105±0.0001, COVERAGE_ITEM: 0.009019±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138665±0.0028, SHANNON_ENTROPY: 4.884336±0.0020, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 673, 'shrink': 319, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7973221488629729, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038382±0.0024, PRECISION: 0.005917±0.0004, PRECISION_RECALL_MIN_DEN: 0.059169±0.0036, RECALL: 0.059169±0.0036, MAP: 0.025794±0.0014, MRR: 0.025794±0.0014, NDCG: 0.033583±0.0019, F1: 0.010758±0.0007, HIT_RATE: 0.059169±0.0036, ARHR: 0.025794±0.0014, RMSE: 1.774491±0.0162, NOVELTY: 0.005304±0.0000, AVERAGE_POPULARITY: 0.607221±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.885385±0.0012, DIVERSITY_HERFINDAHL: 0.988518±0.0001, COVERAGE_ITEM: 0.074690±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145028±0.0013, SHANNON_ENTROPY: 7.660023±0.0110, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 64, 'shrink': 232, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.44414561229386373, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.014825±0.0008, PRECISION: 0.002304±0.0001, PRECISION_RECALL_MIN_DEN: 0.023035±0.0011, RECALL: 0.023035±0.0011, MAP: 0.010349±0.0007, MRR: 0.010349±0.0007, NDCG: 0.013293±0.0007, F1: 0.004188±0.0002, HIT_RATE: 0.023035±0.0011, ARHR: 0.010349±0.0007, RMSE: 0.890434±0.0036, NOVELTY: 0.006781±0.0000, AVERAGE_POPULARITY: 0.207546±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.994271±0.0000, DIVERSITY_HERFINDAHL: 0.999405±0.0000, COVERAGE_ITEM: 0.557167±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.398495±0.0012, SHANNON_ENTROPY: 12.099209±0.0075, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 631, 'shrink': 920, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2780562490764, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.037880±0.0020, PRECISION: 0.005831±0.0004, PRECISION_RECALL_MIN_DEN: 0.058311±0.0039, RECALL: 0.058311±0.0039, MAP: 0.025661±0.0011, MRR: 0.025661±0.0011, NDCG: 0.033273±0.0017, F1: 0.010602±0.0007, HIT_RATE: 0.058311±0.0039, ARHR: 0.025661±0.0011, RMSE: 0.761876±0.0052, NOVELTY: 0.005325±0.0000, AVERAGE_POPULARITY: 0.598521±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.890875±0.0010, DIVERSITY_HERFINDAHL: 0.989067±0.0001, COVERAGE_ITEM: 0.081081±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145479±0.0018, SHANNON_ENTROPY: 7.759634±0.0096, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 429, 'shrink': 617, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.04546037490128741, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029860±0.0013, PRECISION: 0.004625±0.0001, PRECISION_RECALL_MIN_DEN: 0.046251±0.0015, RECALL: 0.046251±0.0015, MAP: 0.020093±0.0012, MRR: 0.020093±0.0012, NDCG: 0.026194±0.0012, F1: 0.008409±0.0003, HIT_RATE: 0.046251±0.0015, ARHR: 0.020093±0.0012, RMSE: 0.881562±0.0057, NOVELTY: 0.005608±0.0000, AVERAGE_POPULARITY: 0.498180±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.936965±0.0004, DIVERSITY_HERFINDAHL: 0.993675±0.0000, COVERAGE_ITEM: 0.210500±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.166181±0.0004, SHANNON_ENTROPY: 8.947155±0.0043, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 1865, 'shrink': 324, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4967421033788524, 'feature_weighting': 'none'} - results: ROC_AUC: 0.026874±0.0011, PRECISION: 0.003993±0.0001, PRECISION_RECALL_MIN_DEN: 0.039928±0.0011, RECALL: 0.039928±0.0011, MAP: 0.018707±0.0009, MRR: 0.018707±0.0009, NDCG: 0.023666±0.0008, F1: 0.007260±0.0002, HIT_RATE: 0.039928±0.0011, ARHR: 0.018707±0.0009, RMSE: 0.830289±0.0020, NOVELTY: 0.004934±0.0000, AVERAGE_POPULARITY: 0.816875±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.609012±0.0011, DIVERSITY_HERFINDAHL: 0.960887±0.0001, COVERAGE_ITEM: 0.013106±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123355±0.0014, SHANNON_ENTROPY: 5.245867±0.0039, 
