CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 1370, 'shrink': 972, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.4659765866607084, 'tversky_beta': 0.18627103480235133} - results: ROC_AUC: 0.029554±0.0017, PRECISION: 0.004539±0.0002, PRECISION_RECALL_MIN_DEN: 0.045393±0.0017, RECALL: 0.045393±0.0017, MAP: 0.020480±0.0014, MRR: 0.020480±0.0014, NDCG: 0.026273±0.0014, F1: 0.008253±0.0003, HIT_RATE: 0.045393±0.0017, ARHR: 0.020480±0.0014, RMSE: 0.949145±0.0009, NOVELTY: 0.004998±0.0000, AVERAGE_POPULARITY: 0.765793±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.715075±0.0008, DIVERSITY_HERFINDAHL: 0.971491±0.0001, COVERAGE_ITEM: 0.021606±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118756±0.0011, SHANNON_ENTROPY: 5.861116±0.0057, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 104, 'shrink': 1043, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.40445694982802183, 'tversky_beta': 1.3631795747800395} - results: ROC_AUC: 0.026684±0.0023, PRECISION: 0.004051±0.0003, PRECISION_RECALL_MIN_DEN: 0.040515±0.0030, RECALL: 0.040515±0.0030, MAP: 0.018643±0.0018, MRR: 0.018643±0.0018, NDCG: 0.023732±0.0021, F1: 0.007366±0.0006, HIT_RATE: 0.040515±0.0030, ARHR: 0.018643±0.0018, RMSE: 0.990532±0.0004, NOVELTY: 0.005403±0.0000, AVERAGE_POPULARITY: 0.532484±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.937065±0.0003, DIVERSITY_HERFINDAHL: 0.993685±0.0000, COVERAGE_ITEM: 0.118345±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.158718±0.0011, SHANNON_ENTROPY: 8.488540±0.0077, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 216, 'shrink': 1089, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.4242388269982589, 'tversky_beta': 0.9554905929468953} - results: ROC_AUC: 0.029760±0.0023, PRECISION: 0.004616±0.0003, PRECISION_RECALL_MIN_DEN: 0.046161±0.0035, RECALL: 0.046161±0.0035, MAP: 0.020444±0.0018, MRR: 0.020444±0.0018, NDCG: 0.026423±0.0021, F1: 0.008393±0.0006, HIT_RATE: 0.046161±0.0035, ARHR: 0.020444±0.0018, RMSE: 0.984866±0.0005, NOVELTY: 0.005228±0.0000, AVERAGE_POPULARITY: 0.619690±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.891759±0.0004, DIVERSITY_HERFINDAHL: 0.989156±0.0000, COVERAGE_ITEM: 0.070722±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134320±0.0010, SHANNON_ENTROPY: 7.575103±0.0060, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 2265, 'shrink': 1638, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.7137192388864803, 'tversky_beta': 1.4655224435714904} - results: ROC_AUC: 0.027457±0.0015, PRECISION: 0.004187±0.0001, PRECISION_RECALL_MIN_DEN: 0.041870±0.0014, RECALL: 0.041870±0.0014, MAP: 0.019161±0.0013, MRR: 0.019161±0.0013, NDCG: 0.024442±0.0013, F1: 0.007613±0.0002, HIT_RATE: 0.041870±0.0014, ARHR: 0.019161±0.0013, RMSE: 0.960161±0.0007, NOVELTY: 0.004955±0.0000, AVERAGE_POPULARITY: 0.797684±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.646729±0.0009, DIVERSITY_HERFINDAHL: 0.964658±0.0001, COVERAGE_ITEM: 0.014880±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123588±0.0012, SHANNON_ENTROPY: 5.425931±0.0035, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1000, 'shrink': 407, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.159896164570317, 'tversky_beta': 1.7920820546076246} - results: ROC_AUC: 0.030774±0.0019, PRECISION: 0.004788±0.0002, PRECISION_RECALL_MIN_DEN: 0.047877±0.0016, RECALL: 0.047877±0.0016, MAP: 0.021374±0.0013, MRR: 0.021374±0.0013, NDCG: 0.027524±0.0013, F1: 0.008705±0.0003, HIT_RATE: 0.047877±0.0016, ARHR: 0.021374±0.0013, RMSE: 0.920338±0.0012, NOVELTY: 0.005026±0.0000, AVERAGE_POPULARITY: 0.745910±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.753052±0.0009, DIVERSITY_HERFINDAHL: 0.975288±0.0001, COVERAGE_ITEM: 0.026580±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117448±0.0015, SHANNON_ENTROPY: 6.120237±0.0036, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1971, 'shrink': 739, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.8229948397566518, 'tversky_beta': 1.0758839042179278} - results: ROC_AUC: 0.027974±0.0015, PRECISION: 0.004322±0.0002, PRECISION_RECALL_MIN_DEN: 0.043225±0.0015, RECALL: 0.043225±0.0015, MAP: 0.019604±0.0012, MRR: 0.019604±0.0012, NDCG: 0.025085±0.0012, F1: 0.007859±0.0003, HIT_RATE: 0.043225±0.0015, ARHR: 0.019604±0.0012, RMSE: 0.924162±0.0011, NOVELTY: 0.004967±0.0000, AVERAGE_POPULARITY: 0.789281±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.667232±0.0007, DIVERSITY_HERFINDAHL: 0.966708±0.0001, COVERAGE_ITEM: 0.016318±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123751±0.0019, SHANNON_ENTROPY: 5.549841±0.0041, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 2013, 'shrink': 2000, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.44276375155390124, 'tversky_beta': 1.1979649053774541} - results: ROC_AUC: 0.027682±0.0016, PRECISION: 0.004318±0.0002, PRECISION_RECALL_MIN_DEN: 0.043180±0.0018, RECALL: 0.043180±0.0018, MAP: 0.019338±0.0012, MRR: 0.019338±0.0012, NDCG: 0.024867±0.0013, F1: 0.007851±0.0003, HIT_RATE: 0.043180±0.0018, ARHR: 0.019338±0.0012, RMSE: 0.968105±0.0005, NOVELTY: 0.004964±0.0000, AVERAGE_POPULARITY: 0.790880±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.661901±0.0005, DIVERSITY_HERFINDAHL: 0.966175±0.0001, COVERAGE_ITEM: 0.015994±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123449±0.0014, SHANNON_ENTROPY: 5.518925±0.0046, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2345, 'shrink': 1179, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.05178065532185429, 'tversky_beta': 1.4964150822672868} - results: ROC_AUC: 0.027206±0.0014, PRECISION: 0.004133±0.0001, PRECISION_RECALL_MIN_DEN: 0.041328±0.0015, RECALL: 0.041328±0.0015, MAP: 0.019001±0.0013, MRR: 0.019001±0.0013, NDCG: 0.024196±0.0013, F1: 0.007514±0.0003, HIT_RATE: 0.041328±0.0015, ARHR: 0.019001±0.0013, RMSE: 0.943306±0.0009, NOVELTY: 0.004953±0.0000, AVERAGE_POPULARITY: 0.799557±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.641528±0.0005, DIVERSITY_HERFINDAHL: 0.964138±0.0000, COVERAGE_ITEM: 0.014490±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123881±0.0012, SHANNON_ENTROPY: 5.393795±0.0038, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 2950, 'shrink': 1174, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.6354348389997677, 'tversky_beta': 0.6452010872130088} - results: ROC_AUC: 0.026598±0.0009, PRECISION: 0.004002±0.0001, PRECISION_RECALL_MIN_DEN: 0.040018±0.0010, RECALL: 0.040018±0.0010, MAP: 0.018398±0.0009, MRR: 0.018398±0.0009, NDCG: 0.023442±0.0009, F1: 0.007276±0.0002, HIT_RATE: 0.040018±0.0010, ARHR: 0.018398±0.0009, RMSE: 0.940650±0.0009, NOVELTY: 0.004939±0.0000, AVERAGE_POPULARITY: 0.810984±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.615232±0.0013, DIVERSITY_HERFINDAHL: 0.961509±0.0001, COVERAGE_ITEM: 0.012046±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132410±0.0018, SHANNON_ENTROPY: 5.237763±0.0043, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 208, 'shrink': 364, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.979684842443212, 'tversky_beta': 1.328613777771831} - results: ROC_AUC: 0.030478±0.0020, PRECISION: 0.004679±0.0003, PRECISION_RECALL_MIN_DEN: 0.046793±0.0034, RECALL: 0.046793±0.0034, MAP: 0.020759±0.0016, MRR: 0.020759±0.0016, NDCG: 0.026827±0.0020, F1: 0.008508±0.0006, HIT_RATE: 0.046793±0.0034, ARHR: 0.020759±0.0016, RMSE: 0.967662±0.0008, NOVELTY: 0.005229±0.0000, AVERAGE_POPULARITY: 0.619548±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.892267±0.0003, DIVERSITY_HERFINDAHL: 0.989207±0.0000, COVERAGE_ITEM: 0.069997±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135045±0.0005, SHANNON_ENTROPY: 7.574845±0.0083, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1270, 'shrink': 1733, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.7435668337212666, 'tversky_beta': 1.303158244361329} - results: ROC_AUC: 0.029740±0.0020, PRECISION: 0.004548±0.0002, PRECISION_RECALL_MIN_DEN: 0.045483±0.0016, RECALL: 0.045483±0.0016, MAP: 0.020641±0.0015, MRR: 0.020641±0.0015, NDCG: 0.026420±0.0016, F1: 0.008270±0.0003, HIT_RATE: 0.045483±0.0016, ARHR: 0.020641±0.0015, RMSE: 0.972045±0.0005, NOVELTY: 0.005003±0.0000, AVERAGE_POPULARITY: 0.761854±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.722205±0.0008, DIVERSITY_HERFINDAHL: 0.972204±0.0001, COVERAGE_ITEM: 0.022568±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117915±0.0015, SHANNON_ENTROPY: 5.909152±0.0044, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 2044, 'shrink': 1446, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.22401842575524006, 'tversky_beta': 1.3740966255327638} - results: ROC_AUC: 0.027783±0.0016, PRECISION: 0.004282±0.0002, PRECISION_RECALL_MIN_DEN: 0.042818±0.0018, RECALL: 0.042818±0.0018, MAP: 0.019305±0.0012, MRR: 0.019305±0.0012, NDCG: 0.024771±0.0013, F1: 0.007785±0.0003, HIT_RATE: 0.042818±0.0018, ARHR: 0.019305±0.0012, RMSE: 0.956205±0.0008, NOVELTY: 0.004963±0.0000, AVERAGE_POPULARITY: 0.791630±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.660399±0.0007, DIVERSITY_HERFINDAHL: 0.966025±0.0001, COVERAGE_ITEM: 0.015896±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123243±0.0009, SHANNON_ENTROPY: 5.508799±0.0038, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 1626, 'shrink': 1265, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.7225647919404248, 'tversky_beta': 1.2324869210564682} - results: ROC_AUC: 0.028912±0.0018, PRECISION: 0.004408±0.0002, PRECISION_RECALL_MIN_DEN: 0.044083±0.0017, RECALL: 0.044083±0.0017, MAP: 0.020198±0.0015, MRR: 0.020198±0.0015, NDCG: 0.025751±0.0015, F1: 0.008015±0.0003, HIT_RATE: 0.044083±0.0017, ARHR: 0.020198±0.0015, RMSE: 0.958443±0.0007, NOVELTY: 0.004983±0.0000, AVERAGE_POPULARITY: 0.776663±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.693560±0.0009, DIVERSITY_HERFINDAHL: 0.969340±0.0001, COVERAGE_ITEM: 0.019043±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120104±0.0012, SHANNON_ENTROPY: 5.713234±0.0018, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1928, 'shrink': 1202, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.9313779233544026, 'tversky_beta': 1.2539113138276157} - results: ROC_AUC: 0.028229±0.0014, PRECISION: 0.004381±0.0002, PRECISION_RECALL_MIN_DEN: 0.043812±0.0019, RECALL: 0.043812±0.0019, MAP: 0.019800±0.0013, MRR: 0.019800±0.0013, NDCG: 0.025368±0.0013, F1: 0.007966±0.0004, HIT_RATE: 0.043812±0.0019, ARHR: 0.019800±0.0013, RMSE: 0.953486±0.0008, NOVELTY: 0.004969±0.0000, AVERAGE_POPULARITY: 0.787651±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.671571±0.0007, DIVERSITY_HERFINDAHL: 0.967142±0.0001, COVERAGE_ITEM: 0.016675±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123362±0.0015, SHANNON_ENTROPY: 5.575035±0.0035, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1794, 'shrink': 864, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.22628465500907852, 'tversky_beta': 1.5610913275593024} - results: ROC_AUC: 0.028234±0.0018, PRECISION: 0.004368±0.0002, PRECISION_RECALL_MIN_DEN: 0.043677±0.0023, RECALL: 0.043677±0.0023, MAP: 0.019664±0.0012, MRR: 0.019664±0.0012, NDCG: 0.025237±0.0014, F1: 0.007941±0.0004, HIT_RATE: 0.043677±0.0023, ARHR: 0.019664±0.0012, RMSE: 0.934860±0.0010, NOVELTY: 0.004974±0.0000, AVERAGE_POPULARITY: 0.783430±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.677964±0.0010, DIVERSITY_HERFINDAHL: 0.967781±0.0001, COVERAGE_ITEM: 0.017670±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120384±0.0014, SHANNON_ENTROPY: 5.615944±0.0042, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1866, 'shrink': 977, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.576854865676054, 'tversky_beta': 0.8112131385486021} - results: ROC_AUC: 0.028460±0.0016, PRECISION: 0.004377±0.0002, PRECISION_RECALL_MIN_DEN: 0.043767±0.0022, RECALL: 0.043767±0.0022, MAP: 0.019843±0.0012, MRR: 0.019843±0.0012, NDCG: 0.025400±0.0014, F1: 0.007958±0.0004, HIT_RATE: 0.043767±0.0022, ARHR: 0.019843±0.0012, RMSE: 0.943448±0.0009, NOVELTY: 0.004972±0.0000, AVERAGE_POPULARITY: 0.785415±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.676406±0.0009, DIVERSITY_HERFINDAHL: 0.967625±0.0001, COVERAGE_ITEM: 0.017129±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122708±0.0014, SHANNON_ENTROPY: 5.603428±0.0027, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 2985, 'shrink': 487, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.6123502333003807, 'tversky_beta': 1.1710336442205247} - results: ROC_AUC: 0.026965±0.0010, PRECISION: 0.004065±0.0002, PRECISION_RECALL_MIN_DEN: 0.040650±0.0016, RECALL: 0.040650±0.0016, MAP: 0.018685±0.0010, MRR: 0.018685±0.0010, NDCG: 0.023807±0.0011, F1: 0.007391±0.0003, HIT_RATE: 0.040650±0.0016, ARHR: 0.018685±0.0010, RMSE: 0.883677±0.0013, NOVELTY: 0.004939±0.0000, AVERAGE_POPULARITY: 0.810976±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.618356±0.0015, DIVERSITY_HERFINDAHL: 0.961822±0.0001, COVERAGE_ITEM: 0.012090±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133340±0.0018, SHANNON_ENTROPY: 5.253386±0.0042, 
