CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 715, 'shrink': 1106, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038252±0.0026, PRECISION: 0.005881±0.0003, PRECISION_RECALL_MIN_DEN: 0.058808±0.0031, RECALL: 0.058808±0.0031, MAP: 0.025737±0.0015, MRR: 0.025737±0.0015, NDCG: 0.033456±0.0019, F1: 0.010692±0.0006, HIT_RATE: 0.058808±0.0031, ARHR: 0.025737±0.0015, RMSE: 0.735656±0.0055, NOVELTY: 0.005287±0.0000, AVERAGE_POPULARITY: 0.614577±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.880729±0.0012, DIVERSITY_HERFINDAHL: 0.988053±0.0001, COVERAGE_ITEM: 0.069651±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144801±0.0012, SHANNON_ENTROPY: 7.576827±0.0156, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 90, 'shrink': 196, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.026071±0.0015, PRECISION: 0.003916±0.0002, PRECISION_RECALL_MIN_DEN: 0.039160±0.0018, RECALL: 0.039160±0.0018, MAP: 0.018029±0.0009, MRR: 0.018029±0.0009, NDCG: 0.022961±0.0011, F1: 0.007120±0.0003, HIT_RATE: 0.039160±0.0018, ARHR: 0.018029±0.0009, RMSE: 6.377948±0.2221, NOVELTY: 0.005854±0.0000, AVERAGE_POPULARITY: 0.415208±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.965171±0.0003, DIVERSITY_HERFINDAHL: 0.996495±0.0000, COVERAGE_ITEM: 0.294274±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.223985±0.0010, SHANNON_ENTROPY: 9.928830±0.0139, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1143, 'shrink': 568, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.028440±0.0015, PRECISION: 0.004322±0.0002, PRECISION_RECALL_MIN_DEN: 0.043225±0.0020, RECALL: 0.043225±0.0020, MAP: 0.019495±0.0010, MRR: 0.019495±0.0010, NDCG: 0.025027±0.0012, F1: 0.007859±0.0004, HIT_RATE: 0.043225±0.0020, ARHR: 0.019495±0.0010, RMSE: 0.903785±0.0015, NOVELTY: 0.004983±0.0000, AVERAGE_POPULARITY: 0.776292±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.708496±0.0011, DIVERSITY_HERFINDAHL: 0.970834±0.0001, COVERAGE_ITEM: 0.019519±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119725±0.0014, SHANNON_ENTROPY: 5.751575±0.0046, 
CrossSearchBayesianSkopt: New best config found. Config 13: {'topK': 1569, 'shrink': 269, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038512±0.0025, PRECISION: 0.005908±0.0003, PRECISION_RECALL_MIN_DEN: 0.059079±0.0027, RECALL: 0.059079±0.0027, MAP: 0.025950±0.0015, MRR: 0.025950±0.0015, NDCG: 0.033680±0.0017, F1: 0.010742±0.0005, HIT_RATE: 0.059079±0.0027, ARHR: 0.025950±0.0015, RMSE: 1.411743±0.0139, NOVELTY: 0.005121±0.0000, AVERAGE_POPULARITY: 0.694737±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.816628±0.0014, DIVERSITY_HERFINDAHL: 0.981644±0.0001, COVERAGE_ITEM: 0.034247±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138340±0.0014, SHANNON_ENTROPY: 6.667936±0.0090, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 485, 'shrink': 1661, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.034091±0.0015, PRECISION: 0.005190±0.0003, PRECISION_RECALL_MIN_DEN: 0.051897±0.0033, RECALL: 0.051897±0.0033, MAP: 0.023111±0.0007, MRR: 0.023111±0.0007, NDCG: 0.029835±0.0013, F1: 0.009436±0.0006, HIT_RATE: 0.051897±0.0033, ARHR: 0.023111±0.0007, RMSE: 2.013637±0.0430, NOVELTY: 0.005143±0.0000, AVERAGE_POPULARITY: 0.681685±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.829433±0.0005, DIVERSITY_HERFINDAHL: 0.982925±0.0000, COVERAGE_ITEM: 0.052436±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117752±0.0009, SHANNON_ENTROPY: 6.902945±0.0021, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 2894, 'shrink': 1551, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035291±0.0022, PRECISION: 0.005461±0.0003, PRECISION_RECALL_MIN_DEN: 0.054607±0.0029, RECALL: 0.054607±0.0029, MAP: 0.023854±0.0013, MRR: 0.023854±0.0013, NDCG: 0.031017±0.0017, F1: 0.009929±0.0005, HIT_RATE: 0.054607±0.0029, ARHR: 0.023854±0.0013, RMSE: 0.784522±0.0065, NOVELTY: 0.005028±0.0000, AVERAGE_POPULARITY: 0.751841±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.742154±0.0020, DIVERSITY_HERFINDAHL: 0.974199±0.0002, COVERAGE_ITEM: 0.023109±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126324±0.0014, SHANNON_ENTROPY: 6.033616±0.0096, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1970, 'shrink': 627, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.027858±0.0015, PRECISION: 0.004318±0.0002, PRECISION_RECALL_MIN_DEN: 0.043180±0.0017, RECALL: 0.043180±0.0017, MAP: 0.019471±0.0012, MRR: 0.019471±0.0012, NDCG: 0.024970±0.0013, F1: 0.007851±0.0003, HIT_RATE: 0.043180±0.0017, ARHR: 0.019471±0.0012, RMSE: 0.906982±0.0013, NOVELTY: 0.004966±0.0000, AVERAGE_POPULARITY: 0.789356±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.666555±0.0008, DIVERSITY_HERFINDAHL: 0.966640±0.0001, COVERAGE_ITEM: 0.016372±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122879±0.0021, SHANNON_ENTROPY: 5.544432±0.0050, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 662, 'shrink': 1224, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.030929±0.0018, PRECISION: 0.004770±0.0003, PRECISION_RECALL_MIN_DEN: 0.047696±0.0025, RECALL: 0.047696±0.0025, MAP: 0.021566±0.0012, MRR: 0.021566±0.0012, NDCG: 0.027636±0.0014, F1: 0.008672±0.0005, HIT_RATE: 0.047696±0.0025, ARHR: 0.021566±0.0012, RMSE: 0.970295±0.0007, NOVELTY: 0.005066±0.0000, AVERAGE_POPULARITY: 0.718122±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.796413±0.0012, DIVERSITY_HERFINDAHL: 0.979623±0.0001, COVERAGE_ITEM: 0.034377±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117798±0.0011, SHANNON_ENTROPY: 6.461516±0.0082, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 663, 'shrink': 558, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038236±0.0024, PRECISION: 0.005899±0.0003, PRECISION_RECALL_MIN_DEN: 0.058988±0.0034, RECALL: 0.058988±0.0034, MAP: 0.025920±0.0013, MRR: 0.025920±0.0013, NDCG: 0.033626±0.0018, F1: 0.010725±0.0006, HIT_RATE: 0.058988±0.0034, ARHR: 0.025920±0.0013, RMSE: 0.752175±0.0058, NOVELTY: 0.005344±0.0000, AVERAGE_POPULARITY: 0.584680±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.900487±0.0012, DIVERSITY_HERFINDAHL: 0.990028±0.0001, COVERAGE_ITEM: 0.080173±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.154957±0.0014, SHANNON_ENTROPY: 7.878440±0.0105, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1314, 'shrink': 121, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.027898±0.0015, PRECISION: 0.004232±0.0001, PRECISION_RECALL_MIN_DEN: 0.042322±0.0013, RECALL: 0.042322±0.0013, MAP: 0.019370±0.0012, MRR: 0.019370±0.0012, NDCG: 0.024717±0.0012, F1: 0.007695±0.0002, HIT_RATE: 0.042322±0.0013, ARHR: 0.019370±0.0012, RMSE: 0.827258±0.0083, NOVELTY: 0.004971±0.0000, AVERAGE_POPULARITY: 0.785267±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.687869±0.0008, DIVERSITY_HERFINDAHL: 0.968771±0.0001, COVERAGE_ITEM: 0.017648±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120556±0.0021, SHANNON_ENTROPY: 5.624802±0.0048, 
CrossSearchBayesianSkopt: New best config found. Config 20: {'topK': 948, 'shrink': 210, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039210±0.0026, PRECISION: 0.006084±0.0003, PRECISION_RECALL_MIN_DEN: 0.060840±0.0032, RECALL: 0.060840±0.0032, MAP: 0.026395±0.0016, MRR: 0.026395±0.0016, NDCG: 0.034420±0.0020, F1: 0.011062±0.0006, HIT_RATE: 0.060840±0.0032, ARHR: 0.026395±0.0016, RMSE: 1.077339±0.0077, NOVELTY: 0.005245±0.0000, AVERAGE_POPULARITY: 0.627775±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.874881±0.0017, DIVERSITY_HERFINDAHL: 0.987468±0.0002, COVERAGE_ITEM: 0.054242±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.151806±0.0010, SHANNON_ENTROPY: 7.388951±0.0158, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 2367, 'shrink': 1375, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036580±0.0023, PRECISION: 0.005565±0.0002, PRECISION_RECALL_MIN_DEN: 0.055646±0.0025, RECALL: 0.055646±0.0025, MAP: 0.024567±0.0012, MRR: 0.024567±0.0012, NDCG: 0.031830±0.0015, F1: 0.010117±0.0004, HIT_RATE: 0.055646±0.0025, ARHR: 0.024567±0.0012, RMSE: 0.786718±0.0069, NOVELTY: 0.005051±0.0000, AVERAGE_POPULARITY: 0.737491±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.762664±0.0018, DIVERSITY_HERFINDAHL: 0.976249±0.0002, COVERAGE_ITEM: 0.025921±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128290±0.0012, SHANNON_ENTROPY: 6.200666±0.0069, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 873, 'shrink': 511, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038949±0.0023, PRECISION: 0.005989±0.0003, PRECISION_RECALL_MIN_DEN: 0.059892±0.0033, RECALL: 0.059892±0.0033, MAP: 0.026345±0.0018, MRR: 0.026345±0.0018, NDCG: 0.034165±0.0021, F1: 0.010889±0.0006, HIT_RATE: 0.059892±0.0033, ARHR: 0.026345±0.0018, RMSE: 0.804284±0.0061, NOVELTY: 0.005256±0.0000, AVERAGE_POPULARITY: 0.623956±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.876693±0.0016, DIVERSITY_HERFINDAHL: 0.987650±0.0002, COVERAGE_ITEM: 0.057237±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.151663±0.0008, SHANNON_ENTROPY: 7.441993±0.0162, 
CrossSearchBayesianSkopt: New best config found. Config 23: {'topK': 1387, 'shrink': 1674, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039009±0.0024, PRECISION: 0.005917±0.0002, PRECISION_RECALL_MIN_DEN: 0.059169±0.0025, RECALL: 0.059169±0.0025, MAP: 0.026423±0.0018, MRR: 0.026423±0.0018, NDCG: 0.034069±0.0019, F1: 0.010758±0.0005, HIT_RATE: 0.059169±0.0025, ARHR: 0.026423±0.0018, RMSE: 0.717378±0.0061, NOVELTY: 0.005130±0.0000, AVERAGE_POPULARITY: 0.691462±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.818737±0.0015, DIVERSITY_HERFINDAHL: 0.981855±0.0001, COVERAGE_ITEM: 0.035285±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.141520±0.0009, SHANNON_ENTROPY: 6.721432±0.0121, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 302, 'shrink': 305, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.031622±0.0018, PRECISION: 0.004851±0.0002, PRECISION_RECALL_MIN_DEN: 0.048509±0.0021, RECALL: 0.048509±0.0021, MAP: 0.021266±0.0008, MRR: 0.021266±0.0008, NDCG: 0.027626±0.0011, F1: 0.008820±0.0004, HIT_RATE: 0.048509±0.0021, ARHR: 0.021266±0.0008, RMSE: 1.089764±0.0067, NOVELTY: 0.005705±0.0000, AVERAGE_POPULARITY: 0.470497±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.947602±0.0004, DIVERSITY_HERFINDAHL: 0.994739±0.0000, COVERAGE_ITEM: 0.215431±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.187766±0.0008, SHANNON_ENTROPY: 9.242119±0.0124, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1578, 'shrink': 1086, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038598±0.0024, PRECISION: 0.005845±0.0002, PRECISION_RECALL_MIN_DEN: 0.058446±0.0022, RECALL: 0.058446±0.0022, MAP: 0.026167±0.0016, MRR: 0.026167±0.0016, NDCG: 0.033706±0.0017, F1: 0.010627±0.0004, HIT_RATE: 0.058446±0.0022, ARHR: 0.026167±0.0016, RMSE: 0.769229±0.0069, NOVELTY: 0.005113±0.0000, AVERAGE_POPULARITY: 0.700552±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.809823±0.0014, DIVERSITY_HERFINDAHL: 0.980964±0.0001, COVERAGE_ITEM: 0.033241±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.137486±0.0010, SHANNON_ENTROPY: 6.614723±0.0097, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 1020, 'shrink': 1348, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.029318±0.0015, PRECISION: 0.004449±0.0001, PRECISION_RECALL_MIN_DEN: 0.044490±0.0013, RECALL: 0.044490±0.0013, MAP: 0.020108±0.0012, MRR: 0.020108±0.0012, NDCG: 0.025793±0.0011, F1: 0.008089±0.0002, HIT_RATE: 0.044490±0.0013, ARHR: 0.020108±0.0012, RMSE: 0.959062±0.0008, NOVELTY: 0.004994±0.0000, AVERAGE_POPULARITY: 0.768130±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.725187±0.0012, DIVERSITY_HERFINDAHL: 0.972502±0.0001, COVERAGE_ITEM: 0.021249±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119227±0.0012, SHANNON_ENTROPY: 5.860612±0.0058, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 2280, 'shrink': 1603, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036796±0.0023, PRECISION: 0.005628±0.0003, PRECISION_RECALL_MIN_DEN: 0.056278±0.0025, RECALL: 0.056278±0.0025, MAP: 0.024851±0.0011, MRR: 0.024851±0.0011, NDCG: 0.032186±0.0014, F1: 0.010232±0.0005, HIT_RATE: 0.056278±0.0025, ARHR: 0.024851±0.0011, RMSE: 0.737082±0.0063, NOVELTY: 0.005055±0.0000, AVERAGE_POPULARITY: 0.734939±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.766337±0.0016, DIVERSITY_HERFINDAHL: 0.976616±0.0002, COVERAGE_ITEM: 0.026418±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128881±0.0009, SHANNON_ENTROPY: 6.231245±0.0071, 
