SearchBayesianSkopt: New best config found. Config 0: {'topK': 207, 'shrink': 894, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.27419685337506167, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1015813, PRECISION: 0.0031508, PRECISION_RECALL_MIN_DEN: 0.0315083, RECALL: 0.0315083, MAP: 0.0168502, MRR: 0.0168502, NDCG: 0.0203146, F1: 0.0057288, HIT_RATE: 0.0315083, ARHR: 0.0168502, RMSE: nan, NOVELTY: 0.0093370, AVERAGE_POPULARITY: 0.0247615, DIVERSITY_MEAN_INTER_LIST: 0.9992285, DIVERSITY_HERFINDAHL: 0.9999043, COVERAGE_ITEM: 0.9622963, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.6743155, SHANNON_ENTROPY: 13.5801171, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1274154, PRECISION: 0.0070137, PRECISION_RECALL_MIN_DEN: 0.0701367, RECALL: 0.0701367, MAP: 0.0348999, MRR: 0.0348999, NDCG: 0.0431603, F1: 0.0127521, HIT_RATE: 0.0701367, ARHR: 0.0348999, RMSE: nan, NOVELTY: 0.0067414, AVERAGE_POPULARITY: 0.3186488, DIVERSITY_MEAN_INTER_LIST: 0.9807002, DIVERSITY_HERFINDAHL: 0.9977223, COVERAGE_ITEM: 0.6103947, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1468711, SHANNON_ENTROPY: 10.2002764, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1274154, PRECISION: 0.0070137, PRECISION_RECALL_MIN_DEN: 0.0701367, RECALL: 0.0701367, MAP: 0.0348999, MRR: 0.0348999, NDCG: 0.0431603, F1: 0.0127521, HIT_RATE: 0.0701367, ARHR: 0.0348999, RMSE: nan, NOVELTY: 0.0067414, AVERAGE_POPULARITY: 0.3186488, DIVERSITY_MEAN_INTER_LIST: 0.9807002, DIVERSITY_HERFINDAHL: 0.9977223, COVERAGE_ITEM: 0.6103947, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1468711, SHANNON_ENTROPY: 10.2002764, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1274154, PRECISION: 0.0070137, PRECISION_RECALL_MIN_DEN: 0.0701367, RECALL: 0.0701367, MAP: 0.0348999, MRR: 0.0348999, NDCG: 0.0431603, F1: 0.0127521, HIT_RATE: 0.0701367, ARHR: 0.0348999, RMSE: nan, NOVELTY: 0.0067414, AVERAGE_POPULARITY: 0.3186488, DIVERSITY_MEAN_INTER_LIST: 0.9807002, DIVERSITY_HERFINDAHL: 0.9977223, COVERAGE_ITEM: 0.6103947, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1468711, SHANNON_ENTROPY: 10.2002764, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1274154, PRECISION: 0.0070137, PRECISION_RECALL_MIN_DEN: 0.0701367, RECALL: 0.0701367, MAP: 0.0348999, MRR: 0.0348999, NDCG: 0.0431603, F1: 0.0127521, HIT_RATE: 0.0701367, ARHR: 0.0348999, RMSE: nan, NOVELTY: 0.0067414, AVERAGE_POPULARITY: 0.3186488, DIVERSITY_MEAN_INTER_LIST: 0.9807002, DIVERSITY_HERFINDAHL: 0.9977223, COVERAGE_ITEM: 0.6103947, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1468711, SHANNON_ENTROPY: 10.2002764, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1274154, PRECISION: 0.0070137, PRECISION_RECALL_MIN_DEN: 0.0701367, RECALL: 0.0701367, MAP: 0.0348999, MRR: 0.0348999, NDCG: 0.0431603, F1: 0.0127521, HIT_RATE: 0.0701367, ARHR: 0.0348999, RMSE: nan, NOVELTY: 0.0067414, AVERAGE_POPULARITY: 0.3186488, DIVERSITY_MEAN_INTER_LIST: 0.9807002, DIVERSITY_HERFINDAHL: 0.9977223, COVERAGE_ITEM: 0.6103947, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1468711, SHANNON_ENTROPY: 10.2002764, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1274154, PRECISION: 0.0070137, PRECISION_RECALL_MIN_DEN: 0.0701367, RECALL: 0.0701367, MAP: 0.0348999, MRR: 0.0348999, NDCG: 0.0431603, F1: 0.0127521, HIT_RATE: 0.0701367, ARHR: 0.0348999, RMSE: nan, NOVELTY: 0.0067414, AVERAGE_POPULARITY: 0.3186488, DIVERSITY_MEAN_INTER_LIST: 0.9807002, DIVERSITY_HERFINDAHL: 0.9977223, COVERAGE_ITEM: 0.6103947, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1468711, SHANNON_ENTROPY: 10.2002764, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1274154, PRECISION: 0.0070137, PRECISION_RECALL_MIN_DEN: 0.0701367, RECALL: 0.0701367, MAP: 0.0348999, MRR: 0.0348999, NDCG: 0.0431603, F1: 0.0127521, HIT_RATE: 0.0701367, ARHR: 0.0348999, RMSE: nan, NOVELTY: 0.0067414, AVERAGE_POPULARITY: 0.3186488, DIVERSITY_MEAN_INTER_LIST: 0.9807002, DIVERSITY_HERFINDAHL: 0.9977223, COVERAGE_ITEM: 0.6103947, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1468711, SHANNON_ENTROPY: 10.2002764, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1274154, PRECISION: 0.0070137, PRECISION_RECALL_MIN_DEN: 0.0701367, RECALL: 0.0701367, MAP: 0.0348999, MRR: 0.0348999, NDCG: 0.0431603, F1: 0.0127521, HIT_RATE: 0.0701367, ARHR: 0.0348999, RMSE: nan, NOVELTY: 0.0067414, AVERAGE_POPULARITY: 0.3186488, DIVERSITY_MEAN_INTER_LIST: 0.9807002, DIVERSITY_HERFINDAHL: 0.9977223, COVERAGE_ITEM: 0.6103947, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1468711, SHANNON_ENTROPY: 10.2002764, 
SearchBayesianSkopt: New best config found. Config 19: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1353493, PRECISION: 0.0077379, PRECISION_RECALL_MIN_DEN: 0.0773795, RECALL: 0.0773795, MAP: 0.0405575, MRR: 0.0405575, NDCG: 0.0492865, F1: 0.0140690, HIT_RATE: 0.0773795, ARHR: 0.0405575, RMSE: nan, NOVELTY: 0.0078835, AVERAGE_POPULARITY: 0.1582595, DIVERSITY_MEAN_INTER_LIST: 0.9778321, DIVERSITY_HERFINDAHL: 0.9973846, COVERAGE_ITEM: 0.8036918, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1965096, SHANNON_ENTROPY: 10.9296261, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1228551, PRECISION: 0.0065185, PRECISION_RECALL_MIN_DEN: 0.0651854, RECALL: 0.0651854, MAP: 0.0315495, MRR: 0.0315495, NDCG: 0.0394139, F1: 0.0118519, HIT_RATE: 0.0651854, ARHR: 0.0315495, RMSE: nan, NOVELTY: 0.0058181, AVERAGE_POPULARITY: 0.5859031, DIVERSITY_MEAN_INTER_LIST: 0.8856800, DIVERSITY_HERFINDAHL: 0.9865323, COVERAGE_ITEM: 0.2200694, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0627685, SHANNON_ENTROPY: 7.3887820, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 38, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4280762600764431, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1255695, PRECISION: 0.0062526, PRECISION_RECALL_MIN_DEN: 0.0625256, RECALL: 0.0625256, MAP: 0.0339235, MRR: 0.0339235, NDCG: 0.0407344, F1: 0.0113683, HIT_RATE: 0.0625256, ARHR: 0.0339235, RMSE: nan, NOVELTY: 0.0091175, AVERAGE_POPULARITY: 0.1060777, DIVERSITY_MEAN_INTER_LIST: 0.9559138, DIVERSITY_HERFINDAHL: 0.9948034, COVERAGE_ITEM: 0.7181384, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2347660, SHANNON_ENTROPY: 10.6875945, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 5, 'shrink': 36, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1029999, PRECISION: 0.0034086, PRECISION_RECALL_MIN_DEN: 0.0340863, RECALL: 0.0340863, MAP: 0.0174172, MRR: 0.0174172, NDCG: 0.0213566, F1: 0.0061975, HIT_RATE: 0.0340863, ARHR: 0.0174172, RMSE: nan, NOVELTY: 0.0077969, AVERAGE_POPULARITY: 0.0957860, DIVERSITY_MEAN_INTER_LIST: 0.9888424, DIVERSITY_HERFINDAHL: 0.9986812, COVERAGE_ITEM: 0.4949270, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2357868, SHANNON_ENTROPY: 10.9205994, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 37, 'shrink': 841, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8079159717679603, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1281974, PRECISION: 0.0067313, PRECISION_RECALL_MIN_DEN: 0.0673132, RECALL: 0.0673132, MAP: 0.0350543, MRR: 0.0350543, NDCG: 0.0427317, F1: 0.0122388, HIT_RATE: 0.0673132, ARHR: 0.0350543, RMSE: nan, NOVELTY: 0.0077366, AVERAGE_POPULARITY: 0.1365652, DIVERSITY_MEAN_INTER_LIST: 0.9942409, DIVERSITY_HERFINDAHL: 0.9993170, COVERAGE_ITEM: 0.8906853, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2798840, SHANNON_ENTROPY: 11.9438887, 
SearchBayesianSkopt: New best config found. Config 24: {'topK': 83, 'shrink': 986, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2911903724280311, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1370452, PRECISION: 0.0083927, PRECISION_RECALL_MIN_DEN: 0.0839267, RECALL: 0.0839267, MAP: 0.0413710, MRR: 0.0413710, NDCG: 0.0513658, F1: 0.0152594, HIT_RATE: 0.0839267, ARHR: 0.0413710, RMSE: nan, NOVELTY: 0.0065266, AVERAGE_POPULARITY: 0.3573248, DIVERSITY_MEAN_INTER_LIST: 0.9731554, DIVERSITY_HERFINDAHL: 0.9968338, COVERAGE_ITEM: 0.5931793, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1253443, SHANNON_ENTROPY: 9.8604835, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 95, 'shrink': 12, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.03216743901325159, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1040638, PRECISION: 0.0030649, PRECISION_RECALL_MIN_DEN: 0.0306490, RECALL: 0.0306490, MAP: 0.0202892, MRR: 0.0202892, NDCG: 0.0227855, F1: 0.0055725, HIT_RATE: 0.0306490, ARHR: 0.0202892, RMSE: nan, NOVELTY: 0.0088844, AVERAGE_POPULARITY: 0.0354447, DIVERSITY_MEAN_INTER_LIST: 0.9989916, DIVERSITY_HERFINDAHL: 0.9998764, COVERAGE_ITEM: 0.9598743, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.6120046, SHANNON_ENTROPY: 13.4427892, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 9, 'shrink': 968, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4364813294382626, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1249193, PRECISION: 0.0064940, PRECISION_RECALL_MIN_DEN: 0.0649398, RECALL: 0.0649398, MAP: 0.0330018, MRR: 0.0330018, NDCG: 0.0405320, F1: 0.0118072, HIT_RATE: 0.0649398, ARHR: 0.0330018, RMSE: nan, NOVELTY: 0.0069001, AVERAGE_POPULARITY: 0.2997504, DIVERSITY_MEAN_INTER_LIST: 0.9804618, DIVERSITY_HERFINDAHL: 0.9976943, COVERAGE_ITEM: 0.4995091, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1642725, SHANNON_ENTROPY: 10.1257540, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 11, 'shrink': 886, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9850644198762573, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1000991, PRECISION: 0.0029953, PRECISION_RECALL_MIN_DEN: 0.0299534, RECALL: 0.0299534, MAP: 0.0150588, MRR: 0.0150588, NDCG: 0.0185889, F1: 0.0054461, HIT_RATE: 0.0299534, ARHR: 0.0150588, RMSE: nan, NOVELTY: 0.0077988, AVERAGE_POPULARITY: 0.0792085, DIVERSITY_MEAN_INTER_LIST: 0.9930996, DIVERSITY_HERFINDAHL: 0.9991826, COVERAGE_ITEM: 0.7068796, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2269676, SHANNON_ENTROPY: 11.4191457, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 5, 'shrink': 204, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6779947961164896, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1297569, PRECISION: 0.0071323, PRECISION_RECALL_MIN_DEN: 0.0713233, RECALL: 0.0713233, MAP: 0.0363689, MRR: 0.0363689, NDCG: 0.0446207, F1: 0.0129679, HIT_RATE: 0.0713233, ARHR: 0.0363689, RMSE: nan, NOVELTY: 0.0069824, AVERAGE_POPULARITY: 0.2562935, DIVERSITY_MEAN_INTER_LIST: 0.9867762, DIVERSITY_HERFINDAHL: 0.9984379, COVERAGE_ITEM: 0.6304903, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1661217, SHANNON_ENTROPY: 10.6001178, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3447184801457126, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1264288, PRECISION: 0.0068295, PRECISION_RECALL_MIN_DEN: 0.0682953, RECALL: 0.0682953, MAP: 0.0343500, MRR: 0.0343500, NDCG: 0.0423189, F1: 0.0124173, HIT_RATE: 0.0682953, ARHR: 0.0343500, RMSE: nan, NOVELTY: 0.0068345, AVERAGE_POPULARITY: 0.3065614, DIVERSITY_MEAN_INTER_LIST: 0.9815417, DIVERSITY_HERFINDAHL: 0.9978214, COVERAGE_ITEM: 0.6247300, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1549825, SHANNON_ENTROPY: 10.2960283, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.31941145092402307, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1264879, PRECISION: 0.0068173, PRECISION_RECALL_MIN_DEN: 0.0681725, RECALL: 0.0681725, MAP: 0.0344495, MRR: 0.0344495, NDCG: 0.0423669, F1: 0.0123950, HIT_RATE: 0.0681725, ARHR: 0.0344495, RMSE: nan, NOVELTY: 0.0068306, AVERAGE_POPULARITY: 0.3071281, DIVERSITY_MEAN_INTER_LIST: 0.9814931, DIVERSITY_HERFINDAHL: 0.9978157, COVERAGE_ITEM: 0.6238790, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1546188, SHANNON_ENTROPY: 10.2908866, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3093223585386943, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1265606, PRECISION: 0.0068336, PRECISION_RECALL_MIN_DEN: 0.0683362, RECALL: 0.0683362, MAP: 0.0345198, MRR: 0.0345198, NDCG: 0.0424566, F1: 0.0124248, HIT_RATE: 0.0683362, ARHR: 0.0345198, RMSE: nan, NOVELTY: 0.0068282, AVERAGE_POPULARITY: 0.3076025, DIVERSITY_MEAN_INTER_LIST: 0.9814526, DIVERSITY_HERFINDAHL: 0.9978110, COVERAGE_ITEM: 0.6232899, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1544030, SHANNON_ENTROPY: 10.2872161, 
