CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 11, 'shrink': 1812, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3435839028372647, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.060457±0.0007, PRECISION: 0.008422±0.0001, PRECISION_RECALL_MIN_DEN: 0.084225±0.0013, RECALL: 0.084225±0.0013, MAP: 0.043775±0.0006, MRR: 0.043775±0.0006, NDCG: 0.053302±0.0007, F1: 0.015314±0.0002, HIT_RATE: 0.084225±0.0013, ARHR: 0.043775±0.0006, RMSE: 2.422316±0.0170, NOVELTY: 0.005793±0.0000, AVERAGE_POPULARITY: 0.396057±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.968611±0.0003, DIVERSITY_HERFINDAHL: 0.996857±0.0000, COVERAGE_ITEM: 0.645255±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134733±0.0005, SHANNON_ENTROPY: 10.075064±0.0091, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 6, 'shrink': 1021, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.136063666389692, 'feature_weighting': 'none'} - results: ROC_AUC: 0.059100±0.0010, PRECISION: 0.008188±0.0001, PRECISION_RECALL_MIN_DEN: 0.081883±0.0013, RECALL: 0.081883±0.0013, MAP: 0.042595±0.0009, MRR: 0.042595±0.0009, NDCG: 0.051865±0.0010, F1: 0.014888±0.0002, HIT_RATE: 0.081883±0.0013, ARHR: 0.042595±0.0009, RMSE: 0.989280±0.0001, NOVELTY: 0.005880±0.0000, AVERAGE_POPULARITY: 0.352024±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.976077±0.0002, DIVERSITY_HERFINDAHL: 0.997603±0.0000, COVERAGE_ITEM: 0.655712±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.146912±0.0004, SHANNON_ENTROPY: 10.367362±0.0080, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 165, 'shrink': 816, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9365096750376063, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.025890±0.0007, PRECISION: 0.003650±0.0001, PRECISION_RECALL_MIN_DEN: 0.036499±0.0008, RECALL: 0.036499±0.0008, MAP: 0.018253±0.0007, MRR: 0.018253±0.0007, NDCG: 0.022556±0.0007, F1: 0.006636±0.0001, HIT_RATE: 0.036499±0.0008, ARHR: 0.018253±0.0007, RMSE: 0.816913±0.0008, NOVELTY: 0.006239±0.0000, AVERAGE_POPULARITY: 0.024363±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.998443±0.0000, DIVERSITY_HERFINDAHL: 0.999840±0.0000, COVERAGE_ITEM: 0.931592±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.510382±0.0007, SHANNON_ENTROPY: 13.409081±0.0015, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 17, 'shrink': 96, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.11755594279304107, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.055603±0.0005, PRECISION: 0.007843±0.0001, PRECISION_RECALL_MIN_DEN: 0.078434±0.0012, RECALL: 0.078434±0.0012, MAP: 0.039265±0.0004, MRR: 0.039265±0.0004, NDCG: 0.048498±0.0005, F1: 0.014261±0.0002, HIT_RATE: 0.078434±0.0012, ARHR: 0.039265±0.0004, RMSE: 2.755263±0.0286, NOVELTY: 0.006717±0.0000, AVERAGE_POPULARITY: 0.067323±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.995872±0.0000, DIVERSITY_HERFINDAHL: 0.999583±0.0000, COVERAGE_ITEM: 0.920703±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.408720±0.0008, SHANNON_ENTROPY: 12.930267±0.0034, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 21, 'shrink': 350, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7129800411478467, 'feature_weighting': 'none'} - results: ROC_AUC: 0.058054±0.0011, PRECISION: 0.008080±0.0001, PRECISION_RECALL_MIN_DEN: 0.080802±0.0012, RECALL: 0.080802±0.0012, MAP: 0.042029±0.0009, MRR: 0.042029±0.0009, NDCG: 0.051163±0.0010, F1: 0.014691±0.0002, HIT_RATE: 0.080802±0.0012, ARHR: 0.042029±0.0009, RMSE: 0.941835±0.0022, NOVELTY: 0.005693±0.0000, AVERAGE_POPULARITY: 0.438752±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.956746±0.0003, DIVERSITY_HERFINDAHL: 0.995670±0.0000, COVERAGE_ITEM: 0.628808±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126565±0.0004, SHANNON_ENTROPY: 9.760288±0.0049, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 161, 'shrink': 1530, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9419915890623372, 'feature_weighting': 'none'} - results: ROC_AUC: 0.057796±0.0009, PRECISION: 0.007964±0.0001, PRECISION_RECALL_MIN_DEN: 0.079640±0.0010, RECALL: 0.079640±0.0010, MAP: 0.042027±0.0007, MRR: 0.042027±0.0007, NDCG: 0.050900±0.0008, F1: 0.014480±0.0002, HIT_RATE: 0.079640±0.0010, ARHR: 0.042027±0.0007, RMSE: 0.900464±0.0007, NOVELTY: 0.005427±0.0000, AVERAGE_POPULARITY: 0.557105±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.907277±0.0006, DIVERSITY_HERFINDAHL: 0.990724±0.0001, COVERAGE_ITEM: 0.541855±0.0060, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.087531±0.0006, SHANNON_ENTROPY: 8.544525±0.0103, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 122, 'shrink': 996, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4337444406354312, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.024431±0.0005, PRECISION: 0.003335±0.0001, PRECISION_RECALL_MIN_DEN: 0.033351±0.0005, RECALL: 0.033351±0.0005, MAP: 0.017684±0.0004, MRR: 0.017684±0.0004, NDCG: 0.021390±0.0004, F1: 0.006064±0.0001, HIT_RATE: 0.033351±0.0005, ARHR: 0.017684±0.0004, RMSE: 0.933767±0.0006, NOVELTY: 0.004729±0.0000, AVERAGE_POPULARITY: 0.024038±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.998806±0.0000, DIVERSITY_HERFINDAHL: 0.999876±0.0000, COVERAGE_ITEM: 0.889473±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.499785±0.0008, SHANNON_ENTROPY: 13.398365±0.0026, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 183, 'shrink': 1555, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8735127266714713, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.065760±0.0007, PRECISION: 0.008991±0.0001, PRECISION_RECALL_MIN_DEN: 0.089909±0.0010, RECALL: 0.089909±0.0010, MAP: 0.047210±0.0005, MRR: 0.047210±0.0005, NDCG: 0.057323±0.0006, F1: 0.016347±0.0002, HIT_RATE: 0.089909±0.0010, ARHR: 0.047210±0.0005, RMSE: 0.906231±0.0004, NOVELTY: 0.006230±0.0000, AVERAGE_POPULARITY: 0.182954±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.991108±0.0000, DIVERSITY_HERFINDAHL: 0.999106±0.0000, COVERAGE_ITEM: 0.788083±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.212028±0.0010, SHANNON_ENTROPY: 11.552276±0.0038, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 84, 'shrink': 889, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9235071918686304, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.057476±0.0009, PRECISION: 0.008016±0.0001, PRECISION_RECALL_MIN_DEN: 0.080163±0.0012, RECALL: 0.080163±0.0012, MAP: 0.041764±0.0006, MRR: 0.041764±0.0006, NDCG: 0.050802±0.0007, F1: 0.014575±0.0002, HIT_RATE: 0.080163±0.0012, ARHR: 0.041764±0.0006, RMSE: 1.291208±0.0064, NOVELTY: 0.005454±0.0000, AVERAGE_POPULARITY: 0.558664±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.906954±0.0002, DIVERSITY_HERFINDAHL: 0.990691±0.0000, COVERAGE_ITEM: 0.492230±0.0048, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.089337±0.0003, SHANNON_ENTROPY: 8.583645±0.0078, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 122, 'shrink': 1424, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.7437173170254614, 'feature_weighting': 'none'} - results: ROC_AUC: 0.059412±0.0009, PRECISION: 0.008151±0.0001, PRECISION_RECALL_MIN_DEN: 0.081511±0.0011, RECALL: 0.081511±0.0011, MAP: 0.043117±0.0006, MRR: 0.043117±0.0006, NDCG: 0.052186±0.0007, F1: 0.014820±0.0002, HIT_RATE: 0.081511±0.0011, ARHR: 0.043117±0.0006, RMSE: 0.899201±0.0007, NOVELTY: 0.005592±0.0000, AVERAGE_POPULARITY: 0.463776±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.947056±0.0004, DIVERSITY_HERFINDAHL: 0.994701±0.0000, COVERAGE_ITEM: 0.578286±0.0056, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105245±0.0007, SHANNON_ENTROPY: 9.300085±0.0106, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 143, 'shrink': 467, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.36982101988373733, 'feature_weighting': 'none'} - results: ROC_AUC: 0.060251±0.0009, PRECISION: 0.008373±0.0001, PRECISION_RECALL_MIN_DEN: 0.083728±0.0009, RECALL: 0.083728±0.0009, MAP: 0.043618±0.0008, MRR: 0.043618±0.0008, NDCG: 0.053068±0.0008, F1: 0.015223±0.0002, HIT_RATE: 0.083728±0.0009, ARHR: 0.043618±0.0008, RMSE: 0.851278±0.0012, NOVELTY: 0.005454±0.0000, AVERAGE_POPULARITY: 0.543481±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.917934±0.0006, DIVERSITY_HERFINDAHL: 0.991789±0.0001, COVERAGE_ITEM: 0.549186±0.0066, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.089877±0.0006, SHANNON_ENTROPY: 8.688059±0.0095, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 34, 'shrink': 176, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.002318734664471, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.054682±0.0006, PRECISION: 0.007676±0.0001, PRECISION_RECALL_MIN_DEN: 0.076758±0.0008, RECALL: 0.076758±0.0008, MAP: 0.038741±0.0004, MRR: 0.038741±0.0004, NDCG: 0.047707±0.0005, F1: 0.013956±0.0001, HIT_RATE: 0.076758±0.0008, ARHR: 0.038741±0.0004, RMSE: 1.823272±0.0165, NOVELTY: 0.006536±0.0000, AVERAGE_POPULARITY: 0.064944±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.997659±0.0000, DIVERSITY_HERFINDAHL: 0.999761±0.0000, COVERAGE_ITEM: 0.936502±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.431166±0.0007, SHANNON_ENTROPY: 13.118859±0.0026, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 79, 'shrink': 1778, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.575381104478805, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.057718±0.0008, PRECISION: 0.008037±0.0001, PRECISION_RECALL_MIN_DEN: 0.080367±0.0012, RECALL: 0.080367±0.0012, MAP: 0.041918±0.0006, MRR: 0.041918±0.0006, NDCG: 0.050971±0.0007, F1: 0.014612±0.0002, HIT_RATE: 0.080367±0.0012, ARHR: 0.041918±0.0006, RMSE: 3.568625±0.0196, NOVELTY: 0.005466±0.0000, AVERAGE_POPULARITY: 0.552989±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.910064±0.0003, DIVERSITY_HERFINDAHL: 0.991002±0.0000, COVERAGE_ITEM: 0.497399±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.090787±0.0003, SHANNON_ENTROPY: 8.640798±0.0078, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 47, 'shrink': 1879, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.551269688149914, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.054386±0.0007, PRECISION: 0.007601±0.0001, PRECISION_RECALL_MIN_DEN: 0.076013±0.0008, RECALL: 0.076013±0.0008, MAP: 0.038606±0.0005, MRR: 0.038606±0.0005, NDCG: 0.047432±0.0005, F1: 0.013821±0.0001, HIT_RATE: 0.076013±0.0008, ARHR: 0.038606±0.0005, RMSE: 0.982770±0.0002, NOVELTY: 0.006489±0.0000, AVERAGE_POPULARITY: 0.064200±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.997915±0.0000, DIVERSITY_HERFINDAHL: 0.999787±0.0000, COVERAGE_ITEM: 0.940362±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.439769±0.0009, SHANNON_ENTROPY: 13.170087±0.0023, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 128, 'shrink': 274, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.59124937368559, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.028354±0.0007, PRECISION: 0.003898±0.0001, PRECISION_RECALL_MIN_DEN: 0.038982±0.0008, RECALL: 0.038982±0.0008, MAP: 0.020534±0.0006, MRR: 0.020534±0.0006, NDCG: 0.024891±0.0006, F1: 0.007088±0.0001, HIT_RATE: 0.038982±0.0008, ARHR: 0.020534±0.0006, RMSE: 0.902367±0.0016, NOVELTY: 0.004671±0.0000, AVERAGE_POPULARITY: 0.025949±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.998768±0.0000, DIVERSITY_HERFINDAHL: 0.999872±0.0000, COVERAGE_ITEM: 0.907034±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.491606±0.0012, SHANNON_ENTROPY: 13.397947±0.0030, 
