CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 11, 'shrink': 1812, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.3435839028372647, 'tversky_beta': 1.6558212544824547} - results: ROC_AUC: 0.063668±0.0011, PRECISION: 0.008820±0.0001, PRECISION_RECALL_MIN_DEN: 0.088197±0.0011, RECALL: 0.088197±0.0011, MAP: 0.045838±0.0009, MRR: 0.045838±0.0009, NDCG: 0.055832±0.0010, F1: 0.016036±0.0002, HIT_RATE: 0.088197±0.0011, ARHR: 0.045838±0.0009, RMSE: 0.969318±0.0002, NOVELTY: 0.005864±0.0000, AVERAGE_POPULARITY: 0.374658±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.974035±0.0002, DIVERSITY_HERFINDAHL: 0.997399±0.0000, COVERAGE_ITEM: 0.518562±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128727±0.0006, SHANNON_ENTROPY: 10.019374±0.0064, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 6, 'shrink': 1021, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.136063666389692, 'tversky_beta': 0.206041371473541} - results: ROC_AUC: 0.061832±0.0012, PRECISION: 0.008470±0.0001, PRECISION_RECALL_MIN_DEN: 0.084703±0.0011, RECALL: 0.084703±0.0011, MAP: 0.044622±0.0010, MRR: 0.044622±0.0010, NDCG: 0.054097±0.0010, F1: 0.015401±0.0002, HIT_RATE: 0.084703±0.0011, ARHR: 0.044622±0.0010, RMSE: 0.992791±0.0001, NOVELTY: 0.006047±0.0000, AVERAGE_POPULARITY: 0.321976±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.978536±0.0001, DIVERSITY_HERFINDAHL: 0.997849±0.0000, COVERAGE_ITEM: 0.513998±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140332±0.0006, SHANNON_ENTROPY: 10.231341±0.0057, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 165, 'shrink': 816, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.9365096750376063, 'tversky_beta': 1.750834174473501} - results: ROC_AUC: 0.069023±0.0010, PRECISION: 0.009380±0.0001, PRECISION_RECALL_MIN_DEN: 0.093802±0.0008, RECALL: 0.093802±0.0008, MAP: 0.050309±0.0009, MRR: 0.050309±0.0009, NDCG: 0.060596±0.0008, F1: 0.017055±0.0001, HIT_RATE: 0.093802±0.0008, ARHR: 0.050309±0.0009, RMSE: 0.982193±0.0001, NOVELTY: 0.006586±0.0000, AVERAGE_POPULARITY: 0.242548±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.988805±0.0000, DIVERSITY_HERFINDAHL: 0.998876±0.0000, COVERAGE_ITEM: 0.779594±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.267231±0.0006, SHANNON_ENTROPY: 11.697399±0.0022, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 17, 'shrink': 96, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.11755594279304107, 'tversky_beta': 0.7010030070836922} - results: ROC_AUC: 0.070328±0.0012, PRECISION: 0.009855±0.0001, PRECISION_RECALL_MIN_DEN: 0.098546±0.0011, RECALL: 0.098546±0.0011, MAP: 0.050498±0.0009, MRR: 0.050498±0.0009, NDCG: 0.061816±0.0009, F1: 0.017917±0.0002, HIT_RATE: 0.098546±0.0011, ARHR: 0.050498±0.0009, RMSE: 0.934790±0.0020, NOVELTY: 0.005825±0.0000, AVERAGE_POPULARITY: 0.382219±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.974268±0.0001, DIVERSITY_HERFINDAHL: 0.997422±0.0000, COVERAGE_ITEM: 0.495561±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120482±0.0005, SHANNON_ENTROPY: 9.934728±0.0022, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 21, 'shrink': 350, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.7129800411478467, 'tversky_beta': 0.17504328740736266} - results: ROC_AUC: 0.063547±0.0009, PRECISION: 0.008789±0.0001, PRECISION_RECALL_MIN_DEN: 0.087887±0.0010, RECALL: 0.087887±0.0010, MAP: 0.045767±0.0008, MRR: 0.045767±0.0008, NDCG: 0.055712±0.0008, F1: 0.015979±0.0002, HIT_RATE: 0.087887±0.0010, ARHR: 0.045767±0.0008, RMSE: 0.897888±0.0012, NOVELTY: 0.005869±0.0000, AVERAGE_POPULARITY: 0.360262±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.976207±0.0001, DIVERSITY_HERFINDAHL: 0.997616±0.0000, COVERAGE_ITEM: 0.534696±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130733±0.0006, SHANNON_ENTROPY: 10.114467±0.0075, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 161, 'shrink': 1530, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.9419915890623372, 'tversky_beta': 0.5602995253004471} - results: ROC_AUC: 0.057438±0.0011, PRECISION: 0.007928±0.0001, PRECISION_RECALL_MIN_DEN: 0.079276±0.0009, RECALL: 0.079276±0.0009, MAP: 0.041923±0.0008, MRR: 0.041923±0.0008, NDCG: 0.050728±0.0008, F1: 0.014414±0.0002, HIT_RATE: 0.079276±0.0009, ARHR: 0.041923±0.0008, RMSE: 0.909096±0.0006, NOVELTY: 0.005427±0.0000, AVERAGE_POPULARITY: 0.570415±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.901940±0.0006, DIVERSITY_HERFINDAHL: 0.990190±0.0001, COVERAGE_ITEM: 0.456318±0.0042, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.081078±0.0004, SHANNON_ENTROPY: 8.369195±0.0098, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 122, 'shrink': 996, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.4337444406354312, 'tversky_beta': 0.8392056662681324} - results: ROC_AUC: 0.071190±0.0007, PRECISION: 0.009732±0.0001, PRECISION_RECALL_MIN_DEN: 0.097322±0.0008, RECALL: 0.097322±0.0008, MAP: 0.051643±0.0007, MRR: 0.051643±0.0007, NDCG: 0.062443±0.0007, F1: 0.017695±0.0001, HIT_RATE: 0.097322±0.0008, ARHR: 0.051643±0.0007, RMSE: 0.983207±0.0001, NOVELTY: 0.006407±0.0000, AVERAGE_POPULARITY: 0.279335±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.984895±0.0000, DIVERSITY_HERFINDAHL: 0.998485±0.0000, COVERAGE_ITEM: 0.758227±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.230291±0.0005, SHANNON_ENTROPY: 11.317391±0.0037, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 183, 'shrink': 1555, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.8735127266714713, 'tversky_beta': 1.7678236120504351} - results: ROC_AUC: 0.057509±0.0009, PRECISION: 0.007961±0.0001, PRECISION_RECALL_MIN_DEN: 0.079613±0.0010, RECALL: 0.079613±0.0010, MAP: 0.041874±0.0008, MRR: 0.041874±0.0008, NDCG: 0.050769±0.0009, F1: 0.014475±0.0002, HIT_RATE: 0.079613±0.0010, ARHR: 0.041874±0.0008, RMSE: 0.987953±0.0001, NOVELTY: 0.005397±0.0000, AVERAGE_POPULARITY: 0.585665±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.893309±0.0005, DIVERSITY_HERFINDAHL: 0.989327±0.0000, COVERAGE_ITEM: 0.448705±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.077296±0.0004, SHANNON_ENTROPY: 8.221733±0.0076, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 84, 'shrink': 889, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.9235071918686304, 'tversky_beta': 1.7304137394670922} - results: ROC_AUC: 0.064509±0.0008, PRECISION: 0.008886±0.0001, PRECISION_RECALL_MIN_DEN: 0.088862±0.0011, RECALL: 0.088862±0.0011, MAP: 0.046593±0.0009, MRR: 0.046593±0.0009, NDCG: 0.056579±0.0009, F1: 0.016157±0.0002, HIT_RATE: 0.088862±0.0011, ARHR: 0.046593±0.0009, RMSE: 0.988760±0.0001, NOVELTY: 0.005646±0.0000, AVERAGE_POPULARITY: 0.456114±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.954918±0.0003, DIVERSITY_HERFINDAHL: 0.995488±0.0000, COVERAGE_ITEM: 0.473274±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102207±0.0004, SHANNON_ENTROPY: 9.340201±0.0074, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 122, 'shrink': 1424, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.7437173170254614, 'tversky_beta': 0.36886284010680753} - results: ROC_AUC: 0.060171±0.0008, PRECISION: 0.008308±0.0001, PRECISION_RECALL_MIN_DEN: 0.083081±0.0008, RECALL: 0.083081±0.0008, MAP: 0.043742±0.0007, MRR: 0.043742±0.0007, NDCG: 0.053021±0.0007, F1: 0.015106±0.0001, HIT_RATE: 0.083081±0.0008, ARHR: 0.043742±0.0007, RMSE: 0.915769±0.0005, NOVELTY: 0.005543±0.0000, AVERAGE_POPULARITY: 0.505592±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.935828±0.0004, DIVERSITY_HERFINDAHL: 0.993579±0.0000, COVERAGE_ITEM: 0.465921±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.092102±0.0004, SHANNON_ENTROPY: 8.919646±0.0080, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 143, 'shrink': 467, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.36982101988373733, 'tversky_beta': 0.2106947706720646} - results: ROC_AUC: 0.058301±0.0009, PRECISION: 0.008048±0.0001, PRECISION_RECALL_MIN_DEN: 0.080482±0.0008, RECALL: 0.080482±0.0008, MAP: 0.042593±0.0007, MRR: 0.042593±0.0007, NDCG: 0.051523±0.0007, F1: 0.014633±0.0001, HIT_RATE: 0.080482±0.0008, ARHR: 0.042593±0.0007, RMSE: 0.836524±0.0010, NOVELTY: 0.005467±0.0000, AVERAGE_POPULARITY: 0.548258±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.915673±0.0005, DIVERSITY_HERFINDAHL: 0.991563±0.0001, COVERAGE_ITEM: 0.460881±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085001±0.0004, SHANNON_ENTROPY: 8.574127±0.0073, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 34, 'shrink': 176, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.002318734664471, 'tversky_beta': 1.240474383866011} - results: ROC_AUC: 0.070150±0.0007, PRECISION: 0.009607±0.0001, PRECISION_RECALL_MIN_DEN: 0.096072±0.0009, RECALL: 0.096072±0.0009, MAP: 0.050420±0.0008, MRR: 0.050420±0.0008, NDCG: 0.061226±0.0007, F1: 0.017468±0.0002, HIT_RATE: 0.096072±0.0009, ARHR: 0.050420±0.0008, RMSE: 0.907773±0.0014, NOVELTY: 0.005889±0.0000, AVERAGE_POPULARITY: 0.366984±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.975619±0.0001, DIVERSITY_HERFINDAHL: 0.997558±0.0000, COVERAGE_ITEM: 0.540297±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129742±0.0003, SHANNON_ENTROPY: 10.111742±0.0022, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 79, 'shrink': 1778, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.575381104478805, 'tversky_beta': 1.6527919215210825} - results: ROC_AUC: 0.058893±0.0009, PRECISION: 0.008135±0.0001, PRECISION_RECALL_MIN_DEN: 0.081351±0.0009, RECALL: 0.081351±0.0009, MAP: 0.042690±0.0007, MRR: 0.042690±0.0007, NDCG: 0.051810±0.0007, F1: 0.014791±0.0002, HIT_RATE: 0.081351±0.0009, ARHR: 0.042690±0.0007, RMSE: 0.940458±0.0004, NOVELTY: 0.005503±0.0000, AVERAGE_POPULARITY: 0.532782±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.924596±0.0004, DIVERSITY_HERFINDAHL: 0.992455±0.0000, COVERAGE_ITEM: 0.469284±0.0047, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.090652±0.0003, SHANNON_ENTROPY: 8.766831±0.0092, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 47, 'shrink': 1879, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.551269688149914, 'tversky_beta': 0.9851315250954695} - results: ROC_AUC: 0.060925±0.0010, PRECISION: 0.008419±0.0001, PRECISION_RECALL_MIN_DEN: 0.084189±0.0008, RECALL: 0.084189±0.0008, MAP: 0.044393±0.0009, MRR: 0.044393±0.0009, NDCG: 0.053775±0.0009, F1: 0.015307±0.0001, HIT_RATE: 0.084189±0.0008, ARHR: 0.044393±0.0009, RMSE: 0.992683±0.0000, NOVELTY: 0.005647±0.0000, AVERAGE_POPULARITY: 0.461060±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.952962±0.0002, DIVERSITY_HERFINDAHL: 0.995292±0.0000, COVERAGE_ITEM: 0.497789±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107083±0.0004, SHANNON_ENTROPY: 9.377014±0.0040, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 128, 'shrink': 274, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.59124937368559, 'tversky_beta': 1.9416990792644448} - results: ROC_AUC: 0.064324±0.0011, PRECISION: 0.008719±0.0001, PRECISION_RECALL_MIN_DEN: 0.087186±0.0010, RECALL: 0.087186±0.0010, MAP: 0.046751±0.0009, MRR: 0.046751±0.0009, NDCG: 0.056324±0.0008, F1: 0.015852±0.0002, HIT_RATE: 0.087186±0.0010, ARHR: 0.046751±0.0009, RMSE: 0.965584±0.0002, NOVELTY: 0.006819±0.0000, AVERAGE_POPULARITY: 0.204516±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.992425±0.0000, DIVERSITY_HERFINDAHL: 0.999238±0.0000, COVERAGE_ITEM: 0.818502±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.316230±0.0005, SHANNON_ENTROPY: 12.154868±0.0023, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 39, 'shrink': 459, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.354238908292584, 'tversky_beta': 0.38312809326956165} - results: ROC_AUC: 0.070234±0.0009, PRECISION: 0.009463±0.0001, PRECISION_RECALL_MIN_DEN: 0.094626±0.0007, RECALL: 0.094626±0.0007, MAP: 0.050826±0.0008, MRR: 0.050826±0.0008, NDCG: 0.061217±0.0007, F1: 0.017205±0.0001, HIT_RATE: 0.094626±0.0007, ARHR: 0.050826±0.0008, RMSE: 0.978346±0.0002, NOVELTY: 0.006877±0.0000, AVERAGE_POPULARITY: 0.157766±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.994547±0.0000, DIVERSITY_HERFINDAHL: 0.999450±0.0000, COVERAGE_ITEM: 0.821963±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.308960±0.0006, SHANNON_ENTROPY: 12.269364±0.0027, 
