SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.0885900402673354, 'item_asymmetric_alpha': 2.254904273910028, 'user_topK': 345, 'user_shrink': 1563, 'item_topK': 701, 'item_shrink': 1408} - results: ROC_AUC: 0.0440162, PRECISION: 0.0066967, PRECISION_RECALL_MIN_DEN: 0.0223224, RECALL: 0.0223224, MAP: 0.0111727, MRR: 0.0314059, NDCG: 0.0190411, F1: 0.0103027, HIT_RATE: 0.0669673, ARHR: 0.0324475, RMSE: 1.7406027, NOVELTY: 0.0063917, AVERAGE_POPULARITY: 0.1398940, DIVERSITY_MEAN_INTER_LIST: 0.8851131, DIVERSITY_HERFINDAHL: 0.9885058, COVERAGE_ITEM: 0.3095431, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1003134, SHANNON_ENTROPY: 8.4777669, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0869196, PRECISION: 0.0135973, PRECISION_RECALL_MIN_DEN: 0.0453244, RECALL: 0.0453244, MAP: 0.0229090, MRR: 0.0633144, NDCG: 0.0386647, F1: 0.0209190, HIT_RATE: 0.1359733, ARHR: 0.0659605, RMSE: 0.9118782, NOVELTY: 0.0063357, AVERAGE_POPULARITY: 0.2281837, DIVERSITY_MEAN_INTER_LIST: 0.9922579, DIVERSITY_HERFINDAHL: 0.9992197, COVERAGE_ITEM: 0.5639903, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2317351, SHANNON_ENTROPY: 11.4563190, 
SearchBayesianSkopt: New best config found. Config 12: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 0, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1038858, PRECISION: 0.0165874, PRECISION_RECALL_MIN_DEN: 0.0552913, RECALL: 0.0552913, MAP: 0.0271833, MRR: 0.0747604, NDCG: 0.0463177, F1: 0.0255191, HIT_RATE: 0.1658738, ARHR: 0.0781091, RMSE: 0.9968089, NOVELTY: 0.0058468, AVERAGE_POPULARITY: 0.3848794, DIVERSITY_MEAN_INTER_LIST: 0.9717726, DIVERSITY_HERFINDAHL: 0.9971713, COVERAGE_ITEM: 0.4118410, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1457969, SHANNON_ENTROPY: 9.8950999, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.9517092514874266, 'item_asymmetric_alpha': 2.5119168924514312, 'user_topK': 11, 'user_shrink': 492, 'item_topK': 968, 'item_shrink': 292} - results: ROC_AUC: 0.0919284, PRECISION: 0.0140051, PRECISION_RECALL_MIN_DEN: 0.0466836, RECALL: 0.0466836, MAP: 0.0240410, MRR: 0.0662868, NDCG: 0.0403157, F1: 0.0215463, HIT_RATE: 0.1400507, ARHR: 0.0691383, RMSE: 1.0891953, NOVELTY: 0.0058917, AVERAGE_POPULARITY: 0.2861857, DIVERSITY_MEAN_INTER_LIST: 0.9596139, DIVERSITY_HERFINDAHL: 0.9959555, COVERAGE_ITEM: 0.3720465, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1204477, SHANNON_ENTROPY: 9.4949652, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.350543992664957, 'item_asymmetric_alpha': 3.906884090032572, 'user_topK': 999, 'user_shrink': 60, 'item_topK': 892, 'item_shrink': 1976} - results: ROC_AUC: 0.0648634, PRECISION: 0.0099030, PRECISION_RECALL_MIN_DEN: 0.0330100, RECALL: 0.0330100, MAP: 0.0174329, MRR: 0.0486186, NDCG: 0.0290168, F1: 0.0152354, HIT_RATE: 0.0990301, ARHR: 0.0504266, RMSE: 2.4279964, NOVELTY: 0.0053425, AVERAGE_POPULARITY: 0.5207103, DIVERSITY_MEAN_INTER_LIST: 0.7184375, DIVERSITY_HERFINDAHL: 0.9718393, COVERAGE_ITEM: 0.1586375, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0448849, SHANNON_ENTROPY: 6.3726718, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.934163147785623, 'item_asymmetric_alpha': 0.4102058022481977, 'user_topK': 57, 'user_shrink': 1904, 'item_topK': 51, 'item_shrink': 1944} - results: ROC_AUC: 0.0862868, PRECISION: 0.0139556, PRECISION_RECALL_MIN_DEN: 0.0465188, RECALL: 0.0465188, MAP: 0.0225898, MRR: 0.0629359, NDCG: 0.0387779, F1: 0.0214702, HIT_RATE: 0.1395564, ARHR: 0.0653212, RMSE: 0.9895955, NOVELTY: 0.0052105, AVERAGE_POPULARITY: 0.6715369, DIVERSITY_MEAN_INTER_LIST: 0.8031442, DIVERSITY_HERFINDAHL: 0.9803095, COVERAGE_ITEM: 0.2800216, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0621959, SHANNON_ENTROPY: 7.1342610, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.2588199142080701, 'item_asymmetric_alpha': 3.444447059825566, 'user_topK': 17, 'user_shrink': 1823, 'item_topK': 140, 'item_shrink': 283} - results: ROC_AUC: 0.0844869, PRECISION: 0.0127139, PRECISION_RECALL_MIN_DEN: 0.0423797, RECALL: 0.0423797, MAP: 0.0215987, MRR: 0.0597624, NDCG: 0.0364368, F1: 0.0195599, HIT_RATE: 0.1271391, ARHR: 0.0622339, RMSE: 0.9328381, NOVELTY: 0.0057985, AVERAGE_POPULARITY: 0.3188455, DIVERSITY_MEAN_INTER_LIST: 0.9456405, DIVERSITY_HERFINDAHL: 0.9945582, COVERAGE_ITEM: 0.2559611, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1140098, SHANNON_ENTROPY: 8.9736433, 
SearchBayesianSkopt: New best config found. Config 17: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.4379989853541586, 'item_asymmetric_alpha': 0.48300127408921123, 'user_topK': 8, 'user_shrink': 479, 'item_topK': 58, 'item_shrink': 423} - results: ROC_AUC: 0.1191736, PRECISION: 0.0189720, PRECISION_RECALL_MIN_DEN: 0.0632400, RECALL: 0.0632400, MAP: 0.0317168, MRR: 0.0867349, NDCG: 0.0535312, F1: 0.0291877, HIT_RATE: 0.1897201, ARHR: 0.0908592, RMSE: 0.9569720, NOVELTY: 0.0060050, AVERAGE_POPULARITY: 0.3099822, DIVERSITY_MEAN_INTER_LIST: 0.9771182, DIVERSITY_HERFINDAHL: 0.9977058, COVERAGE_ITEM: 0.7880508, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2366939, SHANNON_ENTROPY: 11.0548651, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'item_asymmetric_alpha': 4.0, 'user_topK': 1000, 'user_shrink': 990, 'item_topK': 1000, 'item_shrink': 2000} - results: ROC_AUC: 0.0295573, PRECISION: 0.0045036, PRECISION_RECALL_MIN_DEN: 0.0150120, RECALL: 0.0150120, MAP: 0.0072587, MRR: 0.0211042, NDCG: 0.0126487, F1: 0.0069286, HIT_RATE: 0.0450361, ARHR: 0.0214401, RMSE: 2.5019765, NOVELTY: 0.0059681, AVERAGE_POPULARITY: 0.2241491, DIVERSITY_MEAN_INTER_LIST: 0.5694844, DIVERSITY_HERFINDAHL: 0.9569449, COVERAGE_ITEM: 0.0280076, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0756265, SHANNON_ENTROPY: 5.4219831, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.41369936249900363, 'item_asymmetric_alpha': 3.551565707022663, 'user_topK': 8, 'user_shrink': 658, 'item_topK': 800, 'item_shrink': 1507} - results: ROC_AUC: 0.0519001, PRECISION: 0.0077099, PRECISION_RECALL_MIN_DEN: 0.0256996, RECALL: 0.0256996, MAP: 0.0131500, MRR: 0.0373889, NDCG: 0.0223046, F1: 0.0118614, HIT_RATE: 0.0770989, ARHR: 0.0384098, RMSE: 0.7520350, NOVELTY: 0.0061941, AVERAGE_POPULARITY: 0.1777147, DIVERSITY_MEAN_INTER_LIST: 0.9579909, DIVERSITY_HERFINDAHL: 0.9957932, COVERAGE_ITEM: 0.1664774, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1528902, SHANNON_ENTROPY: 9.0841825, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.801164673426038, 'item_asymmetric_alpha': 0.06971840931890806, 'user_topK': 79, 'user_shrink': 1199, 'item_topK': 86, 'item_shrink': 146} - results: ROC_AUC: 0.0881258, PRECISION: 0.0143634, PRECISION_RECALL_MIN_DEN: 0.0478779, RECALL: 0.0478779, MAP: 0.0225144, MRR: 0.0624730, NDCG: 0.0391169, F1: 0.0220975, HIT_RATE: 0.1436338, ARHR: 0.0649694, RMSE: 0.9351976, NOVELTY: 0.0052047, AVERAGE_POPULARITY: 0.6681147, DIVERSITY_MEAN_INTER_LIST: 0.8224332, DIVERSITY_HERFINDAHL: 0.9822382, COVERAGE_ITEM: 0.2481211, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0588397, SHANNON_ENTROPY: 7.1615242, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 2000} - results: ROC_AUC: 0.0764499, PRECISION: 0.0124112, PRECISION_RECALL_MIN_DEN: 0.0413706, RECALL: 0.0413706, MAP: 0.0197029, MRR: 0.0553106, NDCG: 0.0341357, F1: 0.0190941, HIT_RATE: 0.1241119, ARHR: 0.0571689, RMSE: 1.2118781, NOVELTY: 0.0050801, AVERAGE_POPULARITY: 0.7486486, DIVERSITY_MEAN_INTER_LIST: 0.6873943, DIVERSITY_HERFINDAHL: 0.9687352, COVERAGE_ITEM: 0.1672344, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0436817, SHANNON_ENTROPY: 6.1707533, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'item_asymmetric_alpha': 4.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 1000, 'item_shrink': 2000} - results: ROC_AUC: 0.0958254, PRECISION: 0.0148761, PRECISION_RECALL_MIN_DEN: 0.0495871, RECALL: 0.0495871, MAP: 0.0256162, MRR: 0.0705124, NDCG: 0.0428413, F1: 0.0228864, HIT_RATE: 0.1487614, ARHR: 0.0736297, RMSE: 0.9910783, NOVELTY: 0.0056199, AVERAGE_POPULARITY: 0.4120554, DIVERSITY_MEAN_INTER_LIST: 0.9495877, DIVERSITY_HERFINDAHL: 0.9949529, COVERAGE_ITEM: 0.3543120, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1009482, SHANNON_ENTROPY: 9.0207811, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'item_asymmetric_alpha': 4.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 1000, 'item_shrink': 2000} - results: ROC_AUC: 0.0926635, PRECISION: 0.0141780, PRECISION_RECALL_MIN_DEN: 0.0472601, RECALL: 0.0472601, MAP: 0.0247068, MRR: 0.0681377, NDCG: 0.0411743, F1: 0.0218124, HIT_RATE: 0.1417804, ARHR: 0.0710834, RMSE: 0.9867275, NOVELTY: 0.0055521, AVERAGE_POPULARITY: 0.4338973, DIVERSITY_MEAN_INTER_LIST: 0.9352412, DIVERSITY_HERFINDAHL: 0.9935183, COVERAGE_ITEM: 0.3010003, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0867722, SHANNON_ENTROPY: 8.5752346, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'item_asymmetric_alpha': 4.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 1000, 'item_shrink': 2000} - results: ROC_AUC: 0.0962458, PRECISION: 0.0148638, PRECISION_RECALL_MIN_DEN: 0.0495459, RECALL: 0.0495459, MAP: 0.0256538, MRR: 0.0705674, NDCG: 0.0428697, F1: 0.0228674, HIT_RATE: 0.1486378, ARHR: 0.0737136, RMSE: 0.9878488, NOVELTY: 0.0056228, AVERAGE_POPULARITY: 0.4107753, DIVERSITY_MEAN_INTER_LIST: 0.9511976, DIVERSITY_HERFINDAHL: 0.9951139, COVERAGE_ITEM: 0.3571235, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1013473, SHANNON_ENTROPY: 9.0492373, 
