SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 1.0885900402673354, 'user_topK': 566, 'user_shrink': 683, 'item_topK': 783, 'item_shrink': 1399} - results: ROC_AUC: 0.0944460, PRECISION: 0.0142645, PRECISION_RECALL_MIN_DEN: 0.0475484, RECALL: 0.0475484, MAP: 0.0247541, MRR: 0.0682837, NDCG: 0.0413553, F1: 0.0219454, HIT_RATE: 0.1426453, ARHR: 0.0712076, RMSE: 0.8094443, NOVELTY: 0.0062497, AVERAGE_POPULARITY: 0.1968386, DIVERSITY_MEAN_INTER_LIST: 0.9580503, DIVERSITY_HERFINDAHL: 0.9957991, COVERAGE_ITEM: 0.3279805, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1381187, SHANNON_ENTROPY: 9.5777972, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.0050589, PRECISION: 0.0005992, PRECISION_RECALL_MIN_DEN: 0.0019975, RECALL: 0.0019975, MAP: 0.0015058, MRR: 0.0045173, NDCG: 0.0022813, F1: 0.0009219, HIT_RATE: 0.0059925, ARHR: 0.0045173, RMSE: 0.9992764, NOVELTY: 0.0055972, AVERAGE_POPULARITY: 0.0077809, DIVERSITY_MEAN_INTER_LIST: 0.8516759, DIVERSITY_HERFINDAHL: 0.9851623, COVERAGE_ITEM: 0.4297918, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1948031, SHANNON_ENTROPY: 9.2295288, 
SearchBayesianSkopt: New best config found. Config 12: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 0.1878964519144738, 'user_topK': 1000, 'user_shrink': 1702, 'item_topK': 5, 'item_shrink': 1163} - results: ROC_AUC: 0.1328799, PRECISION: 0.0213010, PRECISION_RECALL_MIN_DEN: 0.0710035, RECALL: 0.0710035, MAP: 0.0351688, MRR: 0.0947698, NDCG: 0.0594298, F1: 0.0327708, HIT_RATE: 0.2130104, ARHR: 0.1000208, RMSE: 0.9818791, NOVELTY: 0.0061153, AVERAGE_POPULARITY: 0.3006262, DIVERSITY_MEAN_INTER_LIST: 0.9699532, DIVERSITY_HERFINDAHL: 0.9969893, COVERAGE_ITEM: 0.5403623, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1828207, SHANNON_ENTROPY: 10.5179078, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'item_asymmetric_alpha': 4.0, 'user_topK': 5, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 2000} - results: ROC_AUC: 0.0897389, PRECISION: 0.0137827, PRECISION_RECALL_MIN_DEN: 0.0459422, RECALL: 0.0459422, MAP: 0.0238706, MRR: 0.0660152, NDCG: 0.0398930, F1: 0.0212041, HIT_RATE: 0.1378267, ARHR: 0.0687819, RMSE: 0.9817950, NOVELTY: 0.0055152, AVERAGE_POPULARITY: 0.4455041, DIVERSITY_MEAN_INTER_LIST: 0.9241475, DIVERSITY_HERFINDAHL: 0.9924090, COVERAGE_ITEM: 0.2951609, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0767777, SHANNON_ENTROPY: 8.3040676, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'asymmetric', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'item_asymmetric_alpha': 0.0, 'user_topK': 1000, 'user_shrink': 0, 'item_topK': 1000, 'item_shrink': 0} - results: ROC_AUC: 0.0852089, PRECISION: 0.0135108, PRECISION_RECALL_MIN_DEN: 0.0450361, RECALL: 0.0450361, MAP: 0.0219951, MRR: 0.0609115, NDCG: 0.0376456, F1: 0.0207859, HIT_RATE: 0.1351084, ARHR: 0.0634000, RMSE: 2.0145387, NOVELTY: 0.0057093, AVERAGE_POPULARITY: 0.3966312, DIVERSITY_MEAN_INTER_LIST: 0.8351377, DIVERSITY_HERFINDAHL: 0.9835086, COVERAGE_ITEM: 0.1525277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1103249, SHANNON_ENTROPY: 7.7702971, 
