SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 1.0885900402673354, 'user_topK': 566, 'user_shrink': 683, 'item_topK': 783, 'item_shrink': 1399} - results: ROC_AUC: 0.0518581, PRECISION: 0.0088960, PRECISION_RECALL_MIN_DEN: 0.0296534, RECALL: 0.0296534, MAP: 0.0129023, MRR: 0.0368448, NDCG: 0.0232546, F1: 0.0136862, HIT_RATE: 0.0889603, ARHR: 0.0377578, RMSE: 13.7169456, NOVELTY: 0.0049066, AVERAGE_POPULARITY: 0.8620626, DIVERSITY_MEAN_INTER_LIST: 0.2964254, DIVERSITY_HERFINDAHL: 0.9296407, COVERAGE_ITEM: 0.0218978, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0396112, SHANNON_ENTROPY: 4.1695258, 
SearchBayesianSkopt: New best config found. Config 11: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.497092465166056, 'user_topK': 94, 'user_shrink': 1991, 'item_topK': 479, 'item_shrink': 167} - results: ROC_AUC: 0.1039486, PRECISION: 0.0161982, PRECISION_RECALL_MIN_DEN: 0.0539939, RECALL: 0.0539939, MAP: 0.0279350, MRR: 0.0765287, NDCG: 0.0466308, F1: 0.0249203, HIT_RATE: 0.1619818, ARHR: 0.0800928, RMSE: 1.0169400, NOVELTY: 0.0055738, AVERAGE_POPULARITY: 0.3770568, DIVERSITY_MEAN_INTER_LIST: 0.9408712, DIVERSITY_HERFINDAHL: 0.9940813, COVERAGE_ITEM: 0.8701271, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2665665, SHANNON_ENTROPY: 10.7093456, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.7860363764149954, 'user_topK': 323, 'user_shrink': 1991, 'item_topK': 903, 'item_shrink': 1916} - results: ROC_AUC: 0.0647185, PRECISION: 0.0106814, PRECISION_RECALL_MIN_DEN: 0.0356047, RECALL: 0.0356047, MAP: 0.0166628, MRR: 0.0469865, NDCG: 0.0290861, F1: 0.0164329, HIT_RATE: 0.1068141, ARHR: 0.0484531, RMSE: 0.9667555, NOVELTY: 0.0049889, AVERAGE_POPULARITY: 0.8023311, DIVERSITY_MEAN_INTER_LIST: 0.5163104, DIVERSITY_HERFINDAHL: 0.9516279, COVERAGE_ITEM: 0.1139227, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0312096, SHANNON_ENTROPY: 5.2646958, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'TF-IDF', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.887519286858783, 'user_topK': 109, 'user_shrink': 1564, 'item_topK': 17, 'item_shrink': 101} - results: ROC_AUC: 0.0767562, PRECISION: 0.0121085, PRECISION_RECALL_MIN_DEN: 0.0403616, RECALL: 0.0403616, MAP: 0.0197639, MRR: 0.0548325, NDCG: 0.0338152, F1: 0.0186284, HIT_RATE: 0.1210848, ARHR: 0.0570110, RMSE: 0.9912024, NOVELTY: 0.0066890, AVERAGE_POPULARITY: 0.0511844, DIVERSITY_MEAN_INTER_LIST: 0.9974390, DIVERSITY_HERFINDAHL: 0.9997377, COVERAGE_ITEM: 0.8541768, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4605996, SHANNON_ENTROPY: 13.0808427, 
SearchBayesianSkopt: New best config found. Config 14: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1271038, PRECISION: 0.0204238, PRECISION_RECALL_MIN_DEN: 0.0680793, RECALL: 0.0680793, MAP: 0.0336109, MRR: 0.0911510, NDCG: 0.0569523, F1: 0.0314212, HIT_RATE: 0.2042380, ARHR: 0.0958768, RMSE: 0.9839441, NOVELTY: 0.0062239, AVERAGE_POPULARITY: 0.2556479, DIVERSITY_MEAN_INTER_LIST: 0.9875850, DIVERSITY_HERFINDAHL: 0.9987524, COVERAGE_ITEM: 0.4880238, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1867322, SHANNON_ENTROPY: 10.8159237, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 2.6245354632236517, 'user_topK': 57, 'user_shrink': 58, 'item_topK': 27, 'item_shrink': 801} - results: ROC_AUC: 0.1237486, PRECISION: 0.0198554, PRECISION_RECALL_MIN_DEN: 0.0661848, RECALL: 0.0661848, MAP: 0.0329717, MRR: 0.0894683, NDCG: 0.0556749, F1: 0.0305468, HIT_RATE: 0.1985544, ARHR: 0.0940929, RMSE: 0.9804827, NOVELTY: 0.0060657, AVERAGE_POPULARITY: 0.2994634, DIVERSITY_MEAN_INTER_LIST: 0.9824942, DIVERSITY_HERFINDAHL: 0.9982433, COVERAGE_ITEM: 0.6784536, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1888029, SHANNON_ENTROPY: 10.8581922, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.3472875981505992, 'user_topK': 18, 'user_shrink': 1858, 'item_topK': 61, 'item_shrink': 1923} - results: ROC_AUC: 0.1240941, PRECISION: 0.0196516, PRECISION_RECALL_MIN_DEN: 0.0655052, RECALL: 0.0655052, MAP: 0.0328294, MRR: 0.0895149, NDCG: 0.0553889, F1: 0.0302332, HIT_RATE: 0.1965157, ARHR: 0.0938974, RMSE: 0.9626712, NOVELTY: 0.0058754, AVERAGE_POPULARITY: 0.3652038, DIVERSITY_MEAN_INTER_LIST: 0.9754373, DIVERSITY_HERFINDAHL: 0.9975377, COVERAGE_ITEM: 0.4627737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1442433, SHANNON_ENTROPY: 10.1006297, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1026453, PRECISION: 0.0168654, PRECISION_RECALL_MIN_DEN: 0.0562180, RECALL: 0.0562180, MAP: 0.0264728, MRR: 0.0719892, NDCG: 0.0457244, F1: 0.0259467, HIT_RATE: 0.1686539, ARHR: 0.0756268, RMSE: 0.9824519, NOVELTY: 0.0057645, AVERAGE_POPULARITY: 0.1668093, DIVERSITY_MEAN_INTER_LIST: 0.9772575, DIVERSITY_HERFINDAHL: 0.9977197, COVERAGE_ITEM: 0.5138145, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2477949, SHANNON_ENTROPY: 11.0165725, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.0864811, PRECISION: 0.0143201, PRECISION_RECALL_MIN_DEN: 0.0477338, RECALL: 0.0477338, MAP: 0.0221132, MRR: 0.0606105, NDCG: 0.0385107, F1: 0.0220310, HIT_RATE: 0.1432013, ARHR: 0.0634138, RMSE: 0.9968029, NOVELTY: 0.0067872, AVERAGE_POPULARITY: 0.0680390, DIVERSITY_MEAN_INTER_LIST: 0.9676540, DIVERSITY_HERFINDAHL: 0.9967594, COVERAGE_ITEM: 0.7251149, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3640822, SHANNON_ENTROPY: 11.8391113, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.004815904343782763, 'user_topK': 975, 'user_shrink': 803, 'item_topK': 47, 'item_shrink': 1970} - results: ROC_AUC: 0.1133635, PRECISION: 0.0182369, PRECISION_RECALL_MIN_DEN: 0.0607895, RECALL: 0.0607895, MAP: 0.0300847, MRR: 0.0820677, NDCG: 0.0509933, F1: 0.0280567, HIT_RATE: 0.1823686, ARHR: 0.0860866, RMSE: 0.9239743, NOVELTY: 0.0054928, AVERAGE_POPULARITY: 0.5228540, DIVERSITY_MEAN_INTER_LIST: 0.9149317, DIVERSITY_HERFINDAHL: 0.9914875, COVERAGE_ITEM: 0.2965126, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0926704, SHANNON_ENTROPY: 8.4961828, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 4.0, 'user_topK': 5, 'user_shrink': 0, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.0862280, PRECISION: 0.0142831, PRECISION_RECALL_MIN_DEN: 0.0476102, RECALL: 0.0476102, MAP: 0.0220692, MRR: 0.0604785, NDCG: 0.0384225, F1: 0.0219739, HIT_RATE: 0.1428307, ARHR: 0.0632818, RMSE: 61.9286827, NOVELTY: 0.0067893, AVERAGE_POPULARITY: 0.0678920, DIVERSITY_MEAN_INTER_LIST: 0.9660165, DIVERSITY_HERFINDAHL: 0.9965957, COVERAGE_ITEM: 0.7231684, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3622951, SHANNON_ENTROPY: 11.8023683, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 0.45977617936227777, 'user_topK': 88, 'user_shrink': 1573, 'item_topK': 916, 'item_shrink': 95} - results: ROC_AUC: 0.0844620, PRECISION: 0.0136962, PRECISION_RECALL_MIN_DEN: 0.0456539, RECALL: 0.0456539, MAP: 0.0218146, MRR: 0.0610539, NDCG: 0.0377257, F1: 0.0210710, HIT_RATE: 0.1369618, ARHR: 0.0632060, RMSE: 16.4536596, NOVELTY: 0.0050783, AVERAGE_POPULARITY: 0.7515905, DIVERSITY_MEAN_INTER_LIST: 0.6991647, DIVERSITY_HERFINDAHL: 0.9699122, COVERAGE_ITEM: 0.1764261, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0429860, SHANNON_ENTROPY: 6.2015065, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': False, 'user_asymmetric_alpha': 3.1858976571756625, 'user_topK': 995, 'user_shrink': 1545, 'item_topK': 26, 'item_shrink': 1989} - results: ROC_AUC: 0.0984846, PRECISION: 0.0156607, PRECISION_RECALL_MIN_DEN: 0.0522024, RECALL: 0.0522024, MAP: 0.0259456, MRR: 0.0715935, NDCG: 0.0440525, F1: 0.0240934, HIT_RATE: 0.1566072, ARHR: 0.0746761, RMSE: 0.9966395, NOVELTY: 0.0055190, AVERAGE_POPULARITY: 0.5397728, DIVERSITY_MEAN_INTER_LIST: 0.9090372, DIVERSITY_HERFINDAHL: 0.9908981, COVERAGE_ITEM: 0.4023250, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1079804, SHANNON_ENTROPY: 8.7109118, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.843136701644533, 'user_topK': 120, 'user_shrink': 174, 'item_topK': 142, 'item_shrink': 9} - results: ROC_AUC: 0.0720012, PRECISION: 0.0110335, PRECISION_RECALL_MIN_DEN: 0.0367785, RECALL: 0.0367785, MAP: 0.0193592, MRR: 0.0535716, NDCG: 0.0321986, F1: 0.0169747, HIT_RATE: 0.1103355, ARHR: 0.0557818, RMSE: 0.9610484, NOVELTY: 0.0039691, AVERAGE_POPULARITY: 0.1676990, DIVERSITY_MEAN_INTER_LIST: 0.9882520, DIVERSITY_HERFINDAHL: 0.9988191, COVERAGE_ITEM: 0.7563666, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3721369, SHANNON_ENTROPY: 12.2603123, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'BM25', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 1.0184404991863485, 'user_topK': 68, 'user_shrink': 1956, 'item_topK': 70, 'item_shrink': 1424} - results: ROC_AUC: 0.1187904, PRECISION: 0.0192562, PRECISION_RECALL_MIN_DEN: 0.0641873, RECALL: 0.0641873, MAP: 0.0316565, MRR: 0.0864996, NDCG: 0.0537266, F1: 0.0296249, HIT_RATE: 0.1925619, ARHR: 0.0906394, RMSE: 0.9317231, NOVELTY: 0.0056259, AVERAGE_POPULARITY: 0.4735984, DIVERSITY_MEAN_INTER_LIST: 0.9445304, DIVERSITY_HERFINDAHL: 0.9944472, COVERAGE_ITEM: 0.3610706, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1025038, SHANNON_ENTROPY: 9.0080304, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 3.6425195858061703, 'user_topK': 908, 'user_shrink': 1843, 'item_topK': 12, 'item_shrink': 294} - results: ROC_AUC: 0.1213358, PRECISION: 0.0191203, PRECISION_RECALL_MIN_DEN: 0.0637343, RECALL: 0.0637343, MAP: 0.0323305, MRR: 0.0879957, NDCG: 0.0542850, F1: 0.0294158, HIT_RATE: 0.1912028, ARHR: 0.0923975, RMSE: 0.9719081, NOVELTY: 0.0060186, AVERAGE_POPULARITY: 0.2228627, DIVERSITY_MEAN_INTER_LIST: 0.9876742, DIVERSITY_HERFINDAHL: 0.9987613, COVERAGE_ITEM: 0.7297648, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2708592, SHANNON_ENTROPY: 11.5800394, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'user_similarity_type': 'asymmetric', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_asymmetric_alpha': 0.0, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.0868359, PRECISION: 0.0143819, PRECISION_RECALL_MIN_DEN: 0.0479397, RECALL: 0.0479397, MAP: 0.0221959, MRR: 0.0608568, NDCG: 0.0386660, F1: 0.0221260, HIT_RATE: 0.1438191, ARHR: 0.0636610, RMSE: 0.9968024, NOVELTY: 0.0068037, AVERAGE_POPULARITY: 0.0721341, DIVERSITY_MEAN_INTER_LIST: 0.9900721, DIVERSITY_HERFINDAHL: 0.9990011, COVERAGE_ITEM: 0.7304677, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4046571, SHANNON_ENTROPY: 12.4451278, 
