CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 605, 'shrink': 840, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.049696±0.0012, PRECISION: 0.006939±0.0002, PRECISION_RECALL_MIN_DEN: 0.069390±0.0016, RECALL: 0.069390±0.0016, MAP: 0.035885±0.0010, MRR: 0.035885±0.0010, NDCG: 0.043776±0.0011, F1: 0.012616±0.0003, HIT_RATE: 0.069390±0.0016, ARHR: 0.035885±0.0010, RMSE: 0.975580±0.0002, NOVELTY: 0.005300±0.0000, AVERAGE_POPULARITY: 0.626583±0.0069, DIVERSITY_MEAN_INTER_LIST: 0.850619±0.0015, DIVERSITY_HERFINDAHL: 0.985058±0.0001, COVERAGE_ITEM: 0.389630±0.0066, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.064997±0.0005, SHANNON_ENTROPY: 7.646796±0.0115, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 19, 'shrink': 1054, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.056205±0.0012, PRECISION: 0.007857±0.0001, PRECISION_RECALL_MIN_DEN: 0.078569±0.0009, RECALL: 0.078569±0.0009, MAP: 0.039926±0.0008, MRR: 0.039926±0.0008, NDCG: 0.049044±0.0008, F1: 0.014285±0.0002, HIT_RATE: 0.078569±0.0009, ARHR: 0.039926±0.0008, RMSE: 0.992773±0.0001, NOVELTY: 0.005776±0.0000, AVERAGE_POPULARITY: 0.398760±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.969377±0.0002, DIVERSITY_HERFINDAHL: 0.996933±0.0000, COVERAGE_ITEM: 0.500935±0.0045, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124418±0.0006, SHANNON_ENTROPY: 9.842463±0.0054, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 272, 'shrink': 721, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.052327±0.0010, PRECISION: 0.007294±0.0001, PRECISION_RECALL_MIN_DEN: 0.072943±0.0009, RECALL: 0.072943±0.0009, MAP: 0.037645±0.0010, MRR: 0.037645±0.0010, NDCG: 0.045967±0.0009, F1: 0.013262±0.0002, HIT_RATE: 0.072943±0.0009, ARHR: 0.037645±0.0010, RMSE: 0.977990±0.0001, NOVELTY: 0.005412±0.0000, AVERAGE_POPULARITY: 0.567611±0.0067, DIVERSITY_MEAN_INTER_LIST: 0.900183±0.0008, DIVERSITY_HERFINDAHL: 0.990014±0.0001, COVERAGE_ITEM: 0.424753±0.0056, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.078978±0.0005, SHANNON_ENTROPY: 8.289934±0.0085, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 655, 'shrink': 1523, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.052930±0.0007, PRECISION: 0.007459±0.0001, PRECISION_RECALL_MIN_DEN: 0.074594±0.0010, RECALL: 0.074594±0.0010, MAP: 0.038038±0.0006, MRR: 0.038038±0.0006, NDCG: 0.046636±0.0007, F1: 0.013563±0.0002, HIT_RATE: 0.074594±0.0010, ARHR: 0.038038±0.0006, RMSE: 0.978951±0.0001, NOVELTY: 0.005611±0.0000, AVERAGE_POPULARITY: 0.539089±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.905680±0.0005, DIVERSITY_HERFINDAHL: 0.990564±0.0000, COVERAGE_ITEM: 0.603233±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112634±0.0006, SHANNON_ENTROPY: 8.811198±0.0101, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 199, 'shrink': 117, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.059324±0.0008, PRECISION: 0.008198±0.0001, PRECISION_RECALL_MIN_DEN: 0.081978±0.0009, RECALL: 0.081978±0.0009, MAP: 0.042316±0.0007, MRR: 0.042316±0.0007, NDCG: 0.051698±0.0007, F1: 0.014905±0.0002, HIT_RATE: 0.081978±0.0009, ARHR: 0.042316±0.0007, RMSE: 0.826693±0.0014, NOVELTY: 0.005779±0.0000, AVERAGE_POPULARITY: 0.421324±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.959275±0.0004, DIVERSITY_HERFINDAHL: 0.995923±0.0000, COVERAGE_ITEM: 0.553068±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124990±0.0008, SHANNON_ENTROPY: 9.717529±0.0124, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 438, 'shrink': 335, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.054495±0.0010, PRECISION: 0.007513±0.0001, PRECISION_RECALL_MIN_DEN: 0.075132±0.0014, RECALL: 0.075132±0.0014, MAP: 0.039425±0.0009, MRR: 0.039425±0.0009, NDCG: 0.047859±0.0009, F1: 0.013660±0.0003, HIT_RATE: 0.075132±0.0014, ARHR: 0.039425±0.0009, RMSE: 0.817870±0.0014, NOVELTY: 0.005474±0.0000, AVERAGE_POPULARITY: 0.539438±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.911512±0.0009, DIVERSITY_HERFINDAHL: 0.991147±0.0001, COVERAGE_ITEM: 0.440941±0.0063, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085419±0.0005, SHANNON_ENTROPY: 8.529952±0.0120, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 847, 'shrink': 1913, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.045752±0.0011, PRECISION: 0.006440±0.0002, PRECISION_RECALL_MIN_DEN: 0.064398±0.0015, RECALL: 0.064398±0.0015, MAP: 0.033060±0.0010, MRR: 0.033060±0.0010, NDCG: 0.040427±0.0011, F1: 0.011709±0.0003, HIT_RATE: 0.064398±0.0015, ARHR: 0.033060±0.0010, RMSE: 0.985199±0.0001, NOVELTY: 0.005197±0.0000, AVERAGE_POPULARITY: 0.684979±0.0076, DIVERSITY_MEAN_INTER_LIST: 0.787877±0.0016, DIVERSITY_HERFINDAHL: 0.978784±0.0002, COVERAGE_ITEM: 0.355664±0.0063, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.053450±0.0004, SHANNON_ENTROPY: 7.001757±0.0091, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 505, 'shrink': 318, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.056169±0.0013, PRECISION: 0.007774±0.0001, PRECISION_RECALL_MIN_DEN: 0.077744±0.0014, RECALL: 0.077744±0.0014, MAP: 0.040490±0.0010, MRR: 0.040490±0.0010, NDCG: 0.049281±0.0011, F1: 0.014135±0.0003, HIT_RATE: 0.077744±0.0014, ARHR: 0.040490±0.0010, RMSE: 0.947598±0.0002, NOVELTY: 0.006371±0.0000, AVERAGE_POPULARITY: 0.306932±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.979297±0.0002, DIVERSITY_HERFINDAHL: 0.997925±0.0000, COVERAGE_ITEM: 0.749651±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.240732±0.0006, SHANNON_ENTROPY: 11.180961±0.0091, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 12, 'shrink': 1232, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.056495±0.0012, PRECISION: 0.007843±0.0001, PRECISION_RECALL_MIN_DEN: 0.078435±0.0014, RECALL: 0.078435±0.0014, MAP: 0.040163±0.0011, MRR: 0.040163±0.0011, NDCG: 0.049205±0.0012, F1: 0.014261±0.0003, HIT_RATE: 0.078435±0.0014, ARHR: 0.040163±0.0011, RMSE: 0.961767±0.0005, NOVELTY: 0.005852±0.0000, AVERAGE_POPULARITY: 0.375012±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.973492±0.0002, DIVERSITY_HERFINDAHL: 0.997345±0.0000, COVERAGE_ITEM: 0.507737±0.0045, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.131124±0.0006, SHANNON_ENTROPY: 10.001449±0.0095, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 929, 'shrink': 895, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.052763±0.0006, PRECISION: 0.007415±0.0001, PRECISION_RECALL_MIN_DEN: 0.074153±0.0009, RECALL: 0.074153±0.0009, MAP: 0.038067±0.0005, MRR: 0.038067±0.0005, NDCG: 0.046554±0.0006, F1: 0.013482±0.0002, HIT_RATE: 0.074153±0.0009, ARHR: 0.038067±0.0005, RMSE: 0.965471±0.0001, NOVELTY: 0.005655±0.0000, AVERAGE_POPULARITY: 0.522772±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.912418±0.0006, DIVERSITY_HERFINDAHL: 0.991237±0.0001, COVERAGE_ITEM: 0.615712±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118251±0.0006, SHANNON_ENTROPY: 8.958347±0.0058, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 243, 'shrink': 693, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.052708±0.0011, PRECISION: 0.007376±0.0001, PRECISION_RECALL_MIN_DEN: 0.073759±0.0009, RECALL: 0.073759±0.0009, MAP: 0.037975±0.0010, MRR: 0.037975±0.0010, NDCG: 0.046404±0.0009, F1: 0.013411±0.0002, HIT_RATE: 0.073759±0.0009, ARHR: 0.037975±0.0010, RMSE: 0.870842±0.0012, NOVELTY: 0.005432±0.0000, AVERAGE_POPULARITY: 0.557562±0.0065, DIVERSITY_MEAN_INTER_LIST: 0.906791±0.0006, DIVERSITY_HERFINDAHL: 0.990675±0.0001, COVERAGE_ITEM: 0.428883±0.0055, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.081274±0.0004, SHANNON_ENTROPY: 8.391699±0.0086, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 220, 'shrink': 1475, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.050014±0.0014, PRECISION: 0.007010±0.0001, PRECISION_RECALL_MIN_DEN: 0.070101±0.0014, RECALL: 0.070101±0.0014, MAP: 0.035948±0.0012, MRR: 0.035948±0.0012, NDCG: 0.043991±0.0012, F1: 0.012746±0.0003, HIT_RATE: 0.070101±0.0014, ARHR: 0.035948±0.0012, RMSE: 0.912597±0.0007, NOVELTY: 0.005373±0.0000, AVERAGE_POPULARITY: 0.591778±0.0069, DIVERSITY_MEAN_INTER_LIST: 0.884140±0.0005, DIVERSITY_HERFINDAHL: 0.988410±0.0000, COVERAGE_ITEM: 0.426721±0.0062, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.076410±0.0004, SHANNON_ENTROPY: 8.092461±0.0083, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 519, 'shrink': 463, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.056919±0.0011, PRECISION: 0.007905±0.0001, PRECISION_RECALL_MIN_DEN: 0.079049±0.0009, RECALL: 0.079049±0.0009, MAP: 0.040947±0.0007, MRR: 0.040947±0.0007, NDCG: 0.049934±0.0008, F1: 0.014373±0.0002, HIT_RATE: 0.079049±0.0009, ARHR: 0.040947±0.0007, RMSE: 0.956602±0.0001, NOVELTY: 0.006137±0.0000, AVERAGE_POPULARITY: 0.368860±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.967530±0.0002, DIVERSITY_HERFINDAHL: 0.996748±0.0000, COVERAGE_ITEM: 0.716626±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.197228±0.0008, SHANNON_ENTROPY: 10.568004±0.0093, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 228, 'shrink': 582, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.053738±0.0009, PRECISION: 0.007495±0.0001, PRECISION_RECALL_MIN_DEN: 0.074950±0.0011, RECALL: 0.074950±0.0011, MAP: 0.038606±0.0009, MRR: 0.038606±0.0009, NDCG: 0.047174±0.0010, F1: 0.013627±0.0002, HIT_RATE: 0.074950±0.0011, ARHR: 0.038606±0.0009, RMSE: 0.976779±0.0001, NOVELTY: 0.005463±0.0000, AVERAGE_POPULARITY: 0.541734±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.915763±0.0006, DIVERSITY_HERFINDAHL: 0.991572±0.0001, COVERAGE_ITEM: 0.433566±0.0058, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.084616±0.0004, SHANNON_ENTROPY: 8.539849±0.0089, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 339, 'shrink': 1678, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.048220±0.0014, PRECISION: 0.006775±0.0002, PRECISION_RECALL_MIN_DEN: 0.067748±0.0018, RECALL: 0.067748±0.0018, MAP: 0.034852±0.0011, MRR: 0.034852±0.0011, NDCG: 0.042589±0.0013, F1: 0.012318±0.0003, HIT_RATE: 0.067748±0.0018, ARHR: 0.034852±0.0011, RMSE: 0.986258±0.0001, NOVELTY: 0.005304±0.0000, AVERAGE_POPULARITY: 0.627926±0.0073, DIVERSITY_MEAN_INTER_LIST: 0.853409±0.0012, DIVERSITY_HERFINDAHL: 0.985337±0.0001, COVERAGE_ITEM: 0.407191±0.0062, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.067778±0.0005, SHANNON_ENTROPY: 7.695546±0.0089, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 206, 'shrink': 293, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.056463±0.0009, PRECISION: 0.007844±0.0001, PRECISION_RECALL_MIN_DEN: 0.078445±0.0010, RECALL: 0.078445±0.0010, MAP: 0.040352±0.0007, MRR: 0.040352±0.0007, NDCG: 0.049348±0.0008, F1: 0.014263±0.0002, HIT_RATE: 0.078445±0.0010, ARHR: 0.040352±0.0007, RMSE: 0.970687±0.0002, NOVELTY: 0.005583±0.0000, AVERAGE_POPULARITY: 0.486925±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.939960±0.0005, DIVERSITY_HERFINDAHL: 0.993992±0.0001, COVERAGE_ITEM: 0.460114±0.0055, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.098441±0.0005, SHANNON_ENTROPY: 9.045869±0.0096, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 760, 'shrink': 1908, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.046019±0.0012, PRECISION: 0.006444±0.0001, PRECISION_RECALL_MIN_DEN: 0.064436±0.0014, RECALL: 0.064436±0.0014, MAP: 0.033255±0.0010, MRR: 0.033255±0.0010, NDCG: 0.040593±0.0011, F1: 0.011716±0.0003, HIT_RATE: 0.064436±0.0014, ARHR: 0.033255±0.0010, RMSE: 0.985400±0.0001, NOVELTY: 0.005207±0.0000, AVERAGE_POPULARITY: 0.679897±0.0074, DIVERSITY_MEAN_INTER_LIST: 0.795258±0.0014, DIVERSITY_HERFINDAHL: 0.979522±0.0001, COVERAGE_ITEM: 0.361557±0.0058, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.054736±0.0004, SHANNON_ENTROPY: 7.068129±0.0112, 
CrossSearchBayesianSkopt: New best config found. Config 27: {'topK': 107, 'shrink': 868, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.062470±0.0010, PRECISION: 0.008609±0.0001, PRECISION_RECALL_MIN_DEN: 0.086087±0.0012, RECALL: 0.086087±0.0012, MAP: 0.044805±0.0007, MRR: 0.044805±0.0007, NDCG: 0.054565±0.0007, F1: 0.015652±0.0002, HIT_RATE: 0.086087±0.0012, ARHR: 0.044805±0.0007, RMSE: 0.983727±0.0001, NOVELTY: 0.006409±0.0000, AVERAGE_POPULARITY: 0.279793±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.984588±0.0001, DIVERSITY_HERFINDAHL: 0.998454±0.0000, COVERAGE_ITEM: 0.755631±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238412±0.0011, SHANNON_ENTROPY: 11.347763±0.0091, 
