CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 529, 'shrink': 435, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9833509727730589, 'feature_weighting': 'none'} - results: ROC_AUC: 0.056689±0.0008, PRECISION: 0.007882±0.0001, PRECISION_RECALL_MIN_DEN: 0.078815±0.0013, RECALL: 0.078815±0.0013, MAP: 0.041128±0.0007, MRR: 0.041128±0.0007, NDCG: 0.050006±0.0008, F1: 0.014330±0.0002, HIT_RATE: 0.078815±0.0013, ARHR: 0.041128±0.0007, RMSE: 0.897020±0.0004, NOVELTY: 0.005660±0.0000, AVERAGE_POPULARITY: 0.551550±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.882843±0.0003, DIVERSITY_HERFINDAHL: 0.988280±0.0000, COVERAGE_ITEM: 0.749024±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142037±0.0003, SHANNON_ENTROPY: 8.926622±0.0049, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 556, 'shrink': 598, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8153136759839221, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.037701±0.0008, PRECISION: 0.005214±0.0001, PRECISION_RECALL_MIN_DEN: 0.052142±0.0007, RECALL: 0.052142±0.0007, MAP: 0.027244±0.0007, MRR: 0.027244±0.0007, NDCG: 0.033117±0.0007, F1: 0.009480±0.0001, HIT_RATE: 0.052142±0.0007, ARHR: 0.027244±0.0007, RMSE: 0.953579±0.0002, NOVELTY: 0.003760±0.0000, AVERAGE_POPULARITY: 0.063925±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.997313±0.0000, DIVERSITY_HERFINDAHL: 0.999727±0.0000, COVERAGE_ITEM: 0.730316±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.395474±0.0006, SHANNON_ENTROPY: 12.728088±0.0013, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 351, 'shrink': 766, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9549992572605062, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.024529±0.0004, PRECISION: 0.003314±0.0001, PRECISION_RECALL_MIN_DEN: 0.033138±0.0006, RECALL: 0.033138±0.0006, MAP: 0.017888±0.0004, MRR: 0.017888±0.0004, NDCG: 0.021501±0.0004, F1: 0.006025±0.0001, HIT_RATE: 0.033138±0.0006, ARHR: 0.017888±0.0004, RMSE: 0.909489±0.0007, NOVELTY: 0.004500±0.0000, AVERAGE_POPULARITY: 0.021818±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.998757±0.0000, DIVERSITY_HERFINDAHL: 0.999871±0.0000, COVERAGE_ITEM: 0.891755±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.486728±0.0005, SHANNON_ENTROPY: 13.366104±0.0027, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 699, 'shrink': 169, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.291545617115894, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.013470±0.0004, PRECISION: 0.001920±0.0001, PRECISION_RECALL_MIN_DEN: 0.019198±0.0006, RECALL: 0.019198±0.0006, MAP: 0.009653±0.0002, MRR: 0.009653±0.0002, NDCG: 0.011893±0.0003, F1: 0.003491±0.0001, HIT_RATE: 0.019198±0.0006, ARHR: 0.009653±0.0002, RMSE: 0.840393±0.0027, NOVELTY: 0.002298±0.0000, AVERAGE_POPULARITY: 0.019167±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.997313±0.0000, DIVERSITY_HERFINDAHL: 0.999727±0.0000, COVERAGE_ITEM: 0.588267±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.361907±0.0006, SHANNON_ENTROPY: 12.364859±0.0024, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 580, 'shrink': 1174, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0816096110300384, 'feature_weighting': 'none'} - results: ROC_AUC: 0.055972±0.0007, PRECISION: 0.007765±0.0001, PRECISION_RECALL_MIN_DEN: 0.077654±0.0012, RECALL: 0.077654±0.0012, MAP: 0.040552±0.0007, MRR: 0.040552±0.0007, NDCG: 0.049296±0.0007, F1: 0.014119±0.0002, HIT_RATE: 0.077654±0.0012, ARHR: 0.040552±0.0007, RMSE: 0.959700±0.0001, NOVELTY: 0.005634±0.0000, AVERAGE_POPULARITY: 0.561901±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.875932±0.0004, DIVERSITY_HERFINDAHL: 0.987589±0.0000, COVERAGE_ITEM: 0.741584±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.137299±0.0004, SHANNON_ENTROPY: 8.806329±0.0053, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 286, 'shrink': 549, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.3582098363021196, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.031684±0.0006, PRECISION: 0.004240±0.0001, PRECISION_RECALL_MIN_DEN: 0.042396±0.0010, RECALL: 0.042396±0.0010, MAP: 0.023138±0.0003, MRR: 0.023138±0.0003, NDCG: 0.027710±0.0004, F1: 0.007708±0.0002, HIT_RATE: 0.042396±0.0010, ARHR: 0.023138±0.0003, RMSE: 0.929405±0.0046, NOVELTY: 0.006479±0.0000, AVERAGE_POPULARITY: 0.027017±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.999167±0.0000, DIVERSITY_HERFINDAHL: 0.999912±0.0000, COVERAGE_ITEM: 0.980762±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.618166±0.0007, SHANNON_ENTROPY: 13.790442±0.0015, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 692, 'shrink': 684, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7649005660558699, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.053827±0.0006, PRECISION: 0.007429±0.0000, PRECISION_RECALL_MIN_DEN: 0.074293±0.0005, RECALL: 0.074293±0.0005, MAP: 0.038517±0.0005, MRR: 0.038517±0.0005, NDCG: 0.046971±0.0005, F1: 0.013508±0.0001, HIT_RATE: 0.074293±0.0005, ARHR: 0.038517±0.0005, RMSE: 0.838743±0.0064, NOVELTY: 0.006735±0.0000, AVERAGE_POPULARITY: 0.066492±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.997955±0.0000, DIVERSITY_HERFINDAHL: 0.999791±0.0000, COVERAGE_ITEM: 0.960552±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.442796±0.0005, SHANNON_ENTROPY: 13.206702±0.0010, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 982, 'shrink': 389, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.5793364940446765, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.065800±0.0007, PRECISION: 0.009027±0.0001, PRECISION_RECALL_MIN_DEN: 0.090272±0.0006, RECALL: 0.090272±0.0006, MAP: 0.047630±0.0007, MRR: 0.047630±0.0007, NDCG: 0.057708±0.0007, F1: 0.016413±0.0001, HIT_RATE: 0.090272±0.0006, ARHR: 0.047630±0.0007, RMSE: 0.871538±0.0003, NOVELTY: 0.005415±0.0000, AVERAGE_POPULARITY: 0.288390±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.976329±0.0001, DIVERSITY_HERFINDAHL: 0.997629±0.0000, COVERAGE_ITEM: 0.874042±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.258828±0.0004, SHANNON_ENTROPY: 11.391993±0.0020, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 752, 'shrink': 1207, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0782239015095305, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.056990±0.0006, PRECISION: 0.007662±0.0001, PRECISION_RECALL_MIN_DEN: 0.076616±0.0009, RECALL: 0.076616±0.0009, MAP: 0.041014±0.0003, MRR: 0.041014±0.0003, NDCG: 0.049480±0.0004, F1: 0.013930±0.0002, HIT_RATE: 0.076616±0.0009, ARHR: 0.041014±0.0003, RMSE: 0.852189±0.0006, NOVELTY: 0.006501±0.0000, AVERAGE_POPULARITY: 0.117804±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.992538±0.0000, DIVERSITY_HERFINDAHL: 0.999249±0.0000, COVERAGE_ITEM: 0.799394±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.228993±0.0007, SHANNON_ENTROPY: 11.756231±0.0037, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 679, 'shrink': 452, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6823229264400289, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.031356±0.0008, PRECISION: 0.004297±0.0001, PRECISION_RECALL_MIN_DEN: 0.042972±0.0008, RECALL: 0.042972±0.0008, MAP: 0.022644±0.0008, MRR: 0.022644±0.0008, NDCG: 0.027451±0.0008, F1: 0.007813±0.0001, HIT_RATE: 0.042972±0.0008, ARHR: 0.022644±0.0008, RMSE: 0.809884±0.0017, NOVELTY: 0.005166±0.0000, AVERAGE_POPULARITY: 0.026608±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.998886±0.0000, DIVERSITY_HERFINDAHL: 0.999884±0.0000, COVERAGE_ITEM: 0.927170±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.523668±0.0010, SHANNON_ENTROPY: 13.508892±0.0023, 
CrossSearchBayesianSkopt: New best config found. Config 20: {'topK': 261, 'shrink': 307, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.494804493330798, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.067473±0.0009, PRECISION: 0.009409±0.0001, PRECISION_RECALL_MIN_DEN: 0.094094±0.0007, RECALL: 0.094094±0.0007, MAP: 0.048413±0.0006, MRR: 0.048413±0.0006, NDCG: 0.059181±0.0006, F1: 0.017108±0.0001, HIT_RATE: 0.094094±0.0007, ARHR: 0.048413±0.0006, RMSE: 3.916039±0.0173, NOVELTY: 0.005576±0.0000, AVERAGE_POPULARITY: 0.534101±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.913435±0.0002, DIVERSITY_HERFINDAHL: 0.991339±0.0000, COVERAGE_ITEM: 0.606813±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.106681±0.0005, SHANNON_ENTROPY: 8.932064±0.0049, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 344, 'shrink': 34, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4854126609020013, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.000467±0.0001, PRECISION: 0.000097±0.0000, PRECISION_RECALL_MIN_DEN: 0.000967±0.0001, RECALL: 0.000967±0.0001, MAP: 0.000300±0.0000, MRR: 0.000300±0.0000, NDCG: 0.000451±0.0000, F1: 0.000176±0.0000, HIT_RATE: 0.000967±0.0001, ARHR: 0.000300±0.0000, RMSE: 0.753397±0.0017, NOVELTY: 0.003450±0.0000, AVERAGE_POPULARITY: 0.001867±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.993214±0.0001, DIVERSITY_HERFINDAHL: 0.999317±0.0000, COVERAGE_ITEM: 0.476356±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.274030±0.0009, SHANNON_ENTROPY: 11.538991±0.0077, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 932, 'shrink': 1161, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.932894081731331, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.033087±0.0011, PRECISION: 0.004653±0.0001, PRECISION_RECALL_MIN_DEN: 0.046528±0.0011, RECALL: 0.046528±0.0011, MAP: 0.023408±0.0008, MRR: 0.023408±0.0008, NDCG: 0.028858±0.0009, F1: 0.008460±0.0002, HIT_RATE: 0.046528±0.0011, ARHR: 0.023408±0.0008, RMSE: 0.794660±0.0008, NOVELTY: 0.006666±0.0000, AVERAGE_POPULARITY: 0.088215±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.988994±0.0001, DIVERSITY_HERFINDAHL: 0.998895±0.0000, COVERAGE_ITEM: 0.719676±0.0052, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.185146±0.0008, SHANNON_ENTROPY: 11.225317±0.0076, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 911, 'shrink': 1245, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0460891553236067, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.060792±0.0007, PRECISION: 0.008699±0.0001, PRECISION_RECALL_MIN_DEN: 0.086991±0.0013, RECALL: 0.086991±0.0013, MAP: 0.043438±0.0003, MRR: 0.043438±0.0003, NDCG: 0.053657±0.0005, F1: 0.015817±0.0002, HIT_RATE: 0.086991±0.0013, ARHR: 0.043438±0.0003, RMSE: 0.916104±0.0005, NOVELTY: 0.005317±0.0000, AVERAGE_POPULARITY: 0.621782±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.875733±0.0001, DIVERSITY_HERFINDAHL: 0.987569±0.0000, COVERAGE_ITEM: 0.427326±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.066611±0.0002, SHANNON_ENTROPY: 7.856974±0.0035, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 461, 'shrink': 1788, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.664666883115425, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.026719±0.0005, PRECISION: 0.003608±0.0000, PRECISION_RECALL_MIN_DEN: 0.036082±0.0005, RECALL: 0.036082±0.0005, MAP: 0.019605±0.0005, MRR: 0.019605±0.0005, NDCG: 0.023505±0.0005, F1: 0.006560±0.0001, HIT_RATE: 0.036082±0.0005, ARHR: 0.019605±0.0005, RMSE: 0.926810±0.0006, NOVELTY: 0.005218±0.0000, AVERAGE_POPULARITY: 0.023672±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.998974±0.0000, DIVERSITY_HERFINDAHL: 0.999893±0.0000, COVERAGE_ITEM: 0.924401±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.540397±0.0007, SHANNON_ENTROPY: 13.553999±0.0021, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 999, 'shrink': 1487, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.694740720584167, 'feature_weighting': 'none'} - results: ROC_AUC: 0.055639±0.0005, PRECISION: 0.007765±0.0001, PRECISION_RECALL_MIN_DEN: 0.077654±0.0008, RECALL: 0.077654±0.0008, MAP: 0.040676±0.0005, MRR: 0.040676±0.0005, NDCG: 0.049369±0.0005, F1: 0.014119±0.0001, HIT_RATE: 0.077654±0.0008, ARHR: 0.040676±0.0005, RMSE: 0.968108±0.0001, NOVELTY: 0.005651±0.0000, AVERAGE_POPULARITY: 0.547363±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.886111±0.0004, DIVERSITY_HERFINDAHL: 0.988607±0.0000, COVERAGE_ITEM: 0.751317±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140025±0.0004, SHANNON_ENTROPY: 8.936374±0.0029, 
