CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 529, 'shrink': 435, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.065232±0.0008, PRECISION: 0.008912±0.0001, PRECISION_RECALL_MIN_DEN: 0.089119±0.0008, RECALL: 0.089119±0.0008, MAP: 0.047555±0.0007, MRR: 0.047555±0.0007, NDCG: 0.057375±0.0006, F1: 0.016204±0.0001, HIT_RATE: 0.089119±0.0008, ARHR: 0.047555±0.0007, RMSE: 0.952255±0.0002, NOVELTY: 0.006189±0.0000, AVERAGE_POPULARITY: 0.355816±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.971073±0.0001, DIVERSITY_HERFINDAHL: 0.997103±0.0000, COVERAGE_ITEM: 0.727548±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.201496±0.0005, SHANNON_ENTROPY: 10.700598±0.0030, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 470, 'shrink': 212, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.061683±0.0014, PRECISION: 0.008415±0.0001, PRECISION_RECALL_MIN_DEN: 0.084154±0.0015, RECALL: 0.084154±0.0015, MAP: 0.044992±0.0012, MRR: 0.044992±0.0012, NDCG: 0.054248±0.0012, F1: 0.015301±0.0003, HIT_RATE: 0.084154±0.0015, ARHR: 0.044992±0.0012, RMSE: 0.935499±0.0003, NOVELTY: 0.006700±0.0000, AVERAGE_POPULARITY: 0.233179±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.989169±0.0000, DIVERSITY_HERFINDAHL: 0.998913±0.0000, COVERAGE_ITEM: 0.795328±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.297582±0.0004, SHANNON_ENTROPY: 11.890354±0.0006, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 79, 'shrink': 1637, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.059567±0.0007, PRECISION: 0.008236±0.0001, PRECISION_RECALL_MIN_DEN: 0.082362±0.0005, RECALL: 0.082362±0.0005, MAP: 0.043259±0.0006, MRR: 0.043259±0.0006, NDCG: 0.052481±0.0005, F1: 0.014975±0.0001, HIT_RATE: 0.082362±0.0005, ARHR: 0.043259±0.0006, RMSE: 0.990138±0.0001, NOVELTY: 0.005540±0.0000, AVERAGE_POPULARITY: 0.513342±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.933138±0.0004, DIVERSITY_HERFINDAHL: 0.993310±0.0000, COVERAGE_ITEM: 0.474355±0.0044, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.094393±0.0003, SHANNON_ENTROPY: 8.925244±0.0104, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 950, 'shrink': 897, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.055246±0.0010, PRECISION: 0.007617±0.0001, PRECISION_RECALL_MIN_DEN: 0.076173±0.0011, RECALL: 0.076173±0.0011, MAP: 0.040586±0.0009, MRR: 0.040586±0.0009, NDCG: 0.048968±0.0009, F1: 0.013850±0.0002, HIT_RATE: 0.076173±0.0011, ARHR: 0.040586±0.0009, RMSE: 0.846744±0.0011, NOVELTY: 0.005269±0.0000, AVERAGE_POPULARITY: 0.648876±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.831162±0.0008, DIVERSITY_HERFINDAHL: 0.983113±0.0001, COVERAGE_ITEM: 0.392755±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.059350±0.0005, SHANNON_ENTROPY: 7.442252±0.0109, 
CrossSearchBayesianSkopt: New best config found. Config 14: {'topK': 297, 'shrink': 755, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.067494±0.0007, PRECISION: 0.009286±0.0001, PRECISION_RECALL_MIN_DEN: 0.092862±0.0005, RECALL: 0.092862±0.0005, MAP: 0.049093±0.0006, MRR: 0.049093±0.0006, NDCG: 0.059420±0.0005, F1: 0.016884±0.0001, HIT_RATE: 0.092862±0.0005, ARHR: 0.049093±0.0006, RMSE: 0.971745±0.0001, NOVELTY: 0.006142±0.0000, AVERAGE_POPULARITY: 0.366842±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.969786±0.0001, DIVERSITY_HERFINDAHL: 0.996974±0.0000, COVERAGE_ITEM: 0.720854±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.192480±0.0009, SHANNON_ENTROPY: 10.596617±0.0049, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 863, 'shrink': 1536, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.052983±0.0009, PRECISION: 0.007310±0.0001, PRECISION_RECALL_MIN_DEN: 0.073096±0.0008, RECALL: 0.073096±0.0008, MAP: 0.038982±0.0010, MRR: 0.038982±0.0010, NDCG: 0.047013±0.0009, F1: 0.013290±0.0002, HIT_RATE: 0.073096±0.0008, ARHR: 0.038982±0.0010, RMSE: 0.981517±0.0001, NOVELTY: 0.005223±0.0000, AVERAGE_POPULARITY: 0.675873±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.805477±0.0006, DIVERSITY_HERFINDAHL: 0.980544±0.0001, COVERAGE_ITEM: 0.381119±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.054648±0.0003, SHANNON_ENTROPY: 7.167494±0.0081, 
CrossSearchBayesianSkopt: New best config found. Config 16: {'topK': 179, 'shrink': 777, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.069102±0.0007, PRECISION: 0.009422±0.0000, PRECISION_RECALL_MIN_DEN: 0.094218±0.0005, RECALL: 0.094218±0.0005, MAP: 0.050192±0.0006, MRR: 0.050192±0.0006, NDCG: 0.060602±0.0006, F1: 0.017131±0.0001, HIT_RATE: 0.094218±0.0005, ARHR: 0.050192±0.0006, RMSE: 0.976971±0.0001, NOVELTY: 0.006305±0.0000, AVERAGE_POPULARITY: 0.315998±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.979656±0.0001, DIVERSITY_HERFINDAHL: 0.997961±0.0000, COVERAGE_ITEM: 0.744558±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.217850±0.0004, SHANNON_ENTROPY: 11.051616±0.0030, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 384, 'shrink': 901, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.057195±0.0011, PRECISION: 0.007874±0.0001, PRECISION_RECALL_MIN_DEN: 0.078744±0.0011, RECALL: 0.078744±0.0011, MAP: 0.041940±0.0009, MRR: 0.041940±0.0009, NDCG: 0.050617±0.0010, F1: 0.014317±0.0002, HIT_RATE: 0.078744±0.0011, ARHR: 0.041940±0.0009, RMSE: 0.865928±0.0010, NOVELTY: 0.005359±0.0000, AVERAGE_POPULARITY: 0.601978±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.878615±0.0003, DIVERSITY_HERFINDAHL: 0.987858±0.0000, COVERAGE_ITEM: 0.431619±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.070544±0.0006, SHANNON_ENTROPY: 7.988377±0.0078, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 383, 'shrink': 1396, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.055281±0.0012, PRECISION: 0.007647±0.0001, PRECISION_RECALL_MIN_DEN: 0.076474±0.0013, RECALL: 0.076474±0.0013, MAP: 0.040519±0.0010, MRR: 0.040519±0.0010, NDCG: 0.048987±0.0010, F1: 0.013904±0.0002, HIT_RATE: 0.076474±0.0013, ARHR: 0.040519±0.0010, RMSE: 0.982892±0.0001, NOVELTY: 0.005315±0.0000, AVERAGE_POPULARITY: 0.626715±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.859327±0.0002, DIVERSITY_HERFINDAHL: 0.985929±0.0000, COVERAGE_ITEM: 0.425985±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.066577±0.0005, SHANNON_ENTROPY: 7.751971±0.0083, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 516, 'shrink': 1292, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.063213±0.0006, PRECISION: 0.008744±0.0001, PRECISION_RECALL_MIN_DEN: 0.087443±0.0007, RECALL: 0.087443±0.0007, MAP: 0.045911±0.0004, MRR: 0.045911±0.0004, NDCG: 0.055706±0.0005, F1: 0.015899±0.0001, HIT_RATE: 0.087443±0.0007, ARHR: 0.045911±0.0004, RMSE: 0.976386±0.0001, NOVELTY: 0.005744±0.0000, AVERAGE_POPULARITY: 0.493869±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.929989±0.0001, DIVERSITY_HERFINDAHL: 0.992995±0.0000, COVERAGE_ITEM: 0.648305±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129153±0.0006, SHANNON_ENTROPY: 9.329222±0.0046, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 795, 'shrink': 899, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.055523±0.0010, PRECISION: 0.007661±0.0001, PRECISION_RECALL_MIN_DEN: 0.076607±0.0012, RECALL: 0.076607±0.0012, MAP: 0.040800±0.0010, MRR: 0.040800±0.0010, NDCG: 0.049235±0.0010, F1: 0.013929±0.0002, HIT_RATE: 0.076607±0.0012, ARHR: 0.040800±0.0010, RMSE: 0.974163±0.0001, NOVELTY: 0.005283±0.0000, AVERAGE_POPULARITY: 0.641275±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.840243±0.0005, DIVERSITY_HERFINDAHL: 0.984021±0.0000, COVERAGE_ITEM: 0.399351±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.061024±0.0005, SHANNON_ENTROPY: 7.533028±0.0087, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 286, 'shrink': 549, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.067279±0.0011, PRECISION: 0.009226±0.0001, PRECISION_RECALL_MIN_DEN: 0.092259±0.0010, RECALL: 0.092259±0.0010, MAP: 0.048810±0.0009, MRR: 0.048810±0.0009, NDCG: 0.059073±0.0009, F1: 0.016774±0.0002, HIT_RATE: 0.092259±0.0010, ARHR: 0.048810±0.0009, RMSE: 0.966132±0.0002, NOVELTY: 0.006307±0.0000, AVERAGE_POPULARITY: 0.320903±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.978426±0.0001, DIVERSITY_HERFINDAHL: 0.997838±0.0000, COVERAGE_ITEM: 0.743336±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.221021±0.0008, SHANNON_ENTROPY: 11.031236±0.0041, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 181, 'shrink': 1105, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.069177±0.0006, PRECISION: 0.009447±0.0001, PRECISION_RECALL_MIN_DEN: 0.094467±0.0007, RECALL: 0.094467±0.0007, MAP: 0.050080±0.0005, MRR: 0.050080±0.0005, NDCG: 0.060578±0.0006, F1: 0.017176±0.0001, HIT_RATE: 0.094467±0.0007, ARHR: 0.050080±0.0005, RMSE: 0.981771±0.0001, NOVELTY: 0.006167±0.0000, AVERAGE_POPULARITY: 0.355412±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.972568±0.0001, DIVERSITY_HERFINDAHL: 0.997253±0.0000, COVERAGE_ITEM: 0.726207±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.194460±0.0005, SHANNON_ENTROPY: 10.688929±0.0047, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 911, 'shrink': 1972, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.057911±0.0007, PRECISION: 0.008027±0.0001, PRECISION_RECALL_MIN_DEN: 0.080270±0.0009, RECALL: 0.080270±0.0009, MAP: 0.042270±0.0006, MRR: 0.042270±0.0006, NDCG: 0.051220±0.0006, F1: 0.014594±0.0002, HIT_RATE: 0.080270±0.0009, ARHR: 0.042270±0.0006, RMSE: 0.979779±0.0001, NOVELTY: 0.005483±0.0000, AVERAGE_POPULARITY: 0.590900±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.876385±0.0003, DIVERSITY_HERFINDAHL: 0.987635±0.0000, COVERAGE_ITEM: 0.566121±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.091637±0.0004, SHANNON_ENTROPY: 8.270263±0.0028, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 196, 'shrink': 921, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.058979±0.0010, PRECISION: 0.008125±0.0001, PRECISION_RECALL_MIN_DEN: 0.081245±0.0011, RECALL: 0.081245±0.0011, MAP: 0.042961±0.0009, MRR: 0.042961±0.0009, NDCG: 0.051993±0.0010, F1: 0.014772±0.0002, HIT_RATE: 0.081245±0.0011, ARHR: 0.042961±0.0009, RMSE: 0.886239±0.0008, NOVELTY: 0.005445±0.0000, AVERAGE_POPULARITY: 0.557769±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.910070±0.0004, DIVERSITY_HERFINDAHL: 0.991003±0.0000, COVERAGE_ITEM: 0.452014±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.081181±0.0004, SHANNON_ENTROPY: 8.455466±0.0075, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 842, 'shrink': 1502, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.053091±0.0009, PRECISION: 0.007324±0.0001, PRECISION_RECALL_MIN_DEN: 0.073238±0.0009, RECALL: 0.073238±0.0009, MAP: 0.039098±0.0010, MRR: 0.039098±0.0010, NDCG: 0.047135±0.0009, F1: 0.013316±0.0002, HIT_RATE: 0.073238±0.0009, ARHR: 0.039098±0.0010, RMSE: 0.981287±0.0001, NOVELTY: 0.005227±0.0000, AVERAGE_POPULARITY: 0.673604±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.808504±0.0005, DIVERSITY_HERFINDAHL: 0.980847±0.0000, COVERAGE_ITEM: 0.382914±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.055079±0.0004, SHANNON_ENTROPY: 7.194106±0.0083, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 273, 'shrink': 1078, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.057487±0.0013, PRECISION: 0.007904±0.0001, PRECISION_RECALL_MIN_DEN: 0.079037±0.0014, RECALL: 0.079037±0.0014, MAP: 0.041998±0.0011, MRR: 0.041998±0.0011, NDCG: 0.050736±0.0011, F1: 0.014370±0.0003, HIT_RATE: 0.079037±0.0014, ARHR: 0.041998±0.0011, RMSE: 0.885153±0.0008, NOVELTY: 0.005384±0.0000, AVERAGE_POPULARITY: 0.589706±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.889199±0.0003, DIVERSITY_HERFINDAHL: 0.988916±0.0000, COVERAGE_ITEM: 0.441417±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.074428±0.0005, SHANNON_ENTROPY: 8.138110±0.0067, 
CrossSearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 242, 'shrink': 1091, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.067948±0.0007, PRECISION: 0.009330±0.0000, PRECISION_RECALL_MIN_DEN: 0.093296±0.0004, RECALL: 0.093296±0.0004, MAP: 0.049253±0.0006, MRR: 0.049253±0.0006, NDCG: 0.059655±0.0006, F1: 0.016963±0.0001, HIT_RATE: 0.093296±0.0004, ARHR: 0.049253±0.0006, RMSE: 0.979524±0.0001, NOVELTY: 0.006073±0.0000, AVERAGE_POPULARITY: 0.386102±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.965609±0.0001, DIVERSITY_HERFINDAHL: 0.996557±0.0000, COVERAGE_ITEM: 0.710224±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.180475±0.0006, SHANNON_ENTROPY: 10.410102±0.0047, 
