CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 529, 'shrink': 435, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.9833509727730589, 'tversky_beta': 0.17664309285754423} - results: ROC_AUC: 0.067653±0.0008, PRECISION: 0.009216±0.0001, PRECISION_RECALL_MIN_DEN: 0.092161±0.0006, RECALL: 0.092161±0.0006, MAP: 0.049341±0.0006, MRR: 0.049341±0.0006, NDCG: 0.059465±0.0006, F1: 0.016757±0.0001, HIT_RATE: 0.092161±0.0006, ARHR: 0.049341±0.0006, RMSE: 0.940372±0.0002, NOVELTY: 0.006099±0.0000, AVERAGE_POPULARITY: 0.361623±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.970965±0.0002, DIVERSITY_HERFINDAHL: 0.997092±0.0000, COVERAGE_ITEM: 0.702741±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.178715±0.0006, SHANNON_ENTROPY: 10.507890±0.0043, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 556, 'shrink': 598, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.8153136759839221, 'tversky_beta': 0.8849201670790283} - results: ROC_AUC: 0.062178±0.0009, PRECISION: 0.008547±0.0001, PRECISION_RECALL_MIN_DEN: 0.085475±0.0009, RECALL: 0.085475±0.0009, MAP: 0.045333±0.0009, MRR: 0.045333±0.0009, NDCG: 0.054809±0.0009, F1: 0.015541±0.0002, HIT_RATE: 0.085475±0.0009, ARHR: 0.045333±0.0009, RMSE: 0.972612±0.0001, NOVELTY: 0.005511±0.0000, AVERAGE_POPULARITY: 0.520451±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.921109±0.0003, DIVERSITY_HERFINDAHL: 0.992107±0.0000, COVERAGE_ITEM: 0.455334±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085288±0.0004, SHANNON_ENTROPY: 8.675915±0.0080, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 351, 'shrink': 766, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.9549992572605062, 'tversky_beta': 0.7636460674791334} - results: ROC_AUC: 0.067359±0.0007, PRECISION: 0.009222±0.0001, PRECISION_RECALL_MIN_DEN: 0.092223±0.0006, RECALL: 0.092223±0.0006, MAP: 0.048879±0.0005, MRR: 0.048879±0.0005, NDCG: 0.059125±0.0005, F1: 0.016768±0.0001, HIT_RATE: 0.092223±0.0006, ARHR: 0.048879±0.0005, RMSE: 0.968270±0.0002, NOVELTY: 0.006029±0.0000, AVERAGE_POPULARITY: 0.398123±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.962262±0.0001, DIVERSITY_HERFINDAHL: 0.996222±0.0000, COVERAGE_ITEM: 0.701963±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.172967±0.0007, SHANNON_ENTROPY: 10.276279±0.0052, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 699, 'shrink': 169, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.291545617115894, 'tversky_beta': 1.085681360072456} - results: ROC_AUC: 0.060173±0.0012, PRECISION: 0.008174±0.0001, PRECISION_RECALL_MIN_DEN: 0.081742±0.0013, RECALL: 0.081742±0.0013, MAP: 0.043971±0.0010, MRR: 0.043971±0.0010, NDCG: 0.052903±0.0011, F1: 0.014862±0.0002, HIT_RATE: 0.081742±0.0013, ARHR: 0.043971±0.0010, RMSE: 0.925465±0.0004, NOVELTY: 0.006877±0.0000, AVERAGE_POPULARITY: 0.194967±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.992135±0.0000, DIVERSITY_HERFINDAHL: 0.999209±0.0000, COVERAGE_ITEM: 0.820914±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.331131±0.0003, SHANNON_ENTROPY: 12.220837±0.0029, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 580, 'shrink': 1174, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.0816096110300384, 'tversky_beta': 0.0526938476817911} - results: ROC_AUC: 0.056082±0.0008, PRECISION: 0.007908±0.0001, PRECISION_RECALL_MIN_DEN: 0.079081±0.0012, RECALL: 0.079081±0.0012, MAP: 0.040491±0.0006, MRR: 0.040491±0.0006, NDCG: 0.049562±0.0007, F1: 0.014378±0.0002, HIT_RATE: 0.079081±0.0012, ARHR: 0.040491±0.0006, RMSE: 0.964000±0.0002, NOVELTY: 0.005432±0.0000, AVERAGE_POPULARITY: 0.615431±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.858948±0.0004, DIVERSITY_HERFINDAHL: 0.985891±0.0000, COVERAGE_ITEM: 0.555848±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.087028±0.0007, SHANNON_ENTROPY: 8.046789±0.0080, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 286, 'shrink': 549, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.3582098363021196, 'tversky_beta': 1.105302868788943} - results: ROC_AUC: 0.065796±0.0007, PRECISION: 0.009088±0.0001, PRECISION_RECALL_MIN_DEN: 0.090875±0.0007, RECALL: 0.090875±0.0007, MAP: 0.047777±0.0006, MRR: 0.047777±0.0006, NDCG: 0.057942±0.0005, F1: 0.016523±0.0001, HIT_RATE: 0.090875±0.0007, ARHR: 0.047777±0.0006, RMSE: 0.960965±0.0002, NOVELTY: 0.006008±0.0000, AVERAGE_POPULARITY: 0.414766±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.957867±0.0001, DIVERSITY_HERFINDAHL: 0.995782±0.0000, COVERAGE_ITEM: 0.705142±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.172423±0.0007, SHANNON_ENTROPY: 10.183511±0.0063, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 692, 'shrink': 684, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.7649005660558699, 'tversky_beta': 0.7249841775066604} - results: ROC_AUC: 0.056178±0.0011, PRECISION: 0.007740±0.0001, PRECISION_RECALL_MIN_DEN: 0.077396±0.0014, RECALL: 0.077396±0.0014, MAP: 0.041253±0.0009, MRR: 0.041253±0.0009, NDCG: 0.049770±0.0010, F1: 0.014072±0.0002, HIT_RATE: 0.077396±0.0014, ARHR: 0.041253±0.0009, RMSE: 0.826993±0.0013, NOVELTY: 0.005297±0.0000, AVERAGE_POPULARITY: 0.633717±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.848517±0.0005, DIVERSITY_HERFINDAHL: 0.984848±0.0001, COVERAGE_ITEM: 0.404488±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.062676±0.0005, SHANNON_ENTROPY: 7.620950±0.0096, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 982, 'shrink': 389, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.5793364940446765, 'tversky_beta': 1.6842972717141456} - results: ROC_AUC: 0.057429±0.0008, PRECISION: 0.007914±0.0001, PRECISION_RECALL_MIN_DEN: 0.079143±0.0014, RECALL: 0.079143±0.0014, MAP: 0.042149±0.0007, MRR: 0.042149±0.0007, NDCG: 0.050865±0.0009, F1: 0.014390±0.0003, HIT_RATE: 0.079143±0.0014, ARHR: 0.042149±0.0007, RMSE: 0.961568±0.0002, NOVELTY: 0.005284±0.0000, AVERAGE_POPULARITY: 0.647085±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.830274±0.0006, DIVERSITY_HERFINDAHL: 0.983024±0.0001, COVERAGE_ITEM: 0.407905±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.061977±0.0005, SHANNON_ENTROPY: 7.492210±0.0092, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 752, 'shrink': 1207, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.0782239015095305, 'tversky_beta': 1.7211761927684577} - results: ROC_AUC: 0.055128±0.0009, PRECISION: 0.007585±0.0001, PRECISION_RECALL_MIN_DEN: 0.075854±0.0013, RECALL: 0.075854±0.0013, MAP: 0.040522±0.0009, MRR: 0.040522±0.0009, NDCG: 0.048845±0.0010, F1: 0.013792±0.0002, HIT_RATE: 0.075854±0.0013, ARHR: 0.040522±0.0009, RMSE: 0.980816±0.0001, NOVELTY: 0.005261±0.0000, AVERAGE_POPULARITY: 0.655361±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.827271±0.0004, DIVERSITY_HERFINDAHL: 0.982723±0.0000, COVERAGE_ITEM: 0.394766±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058947±0.0004, SHANNON_ENTROPY: 7.399086±0.0090, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 679, 'shrink': 452, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.6823229264400289, 'tversky_beta': 1.5480782494821748} - results: ROC_AUC: 0.062978±0.0008, PRECISION: 0.008688±0.0001, PRECISION_RECALL_MIN_DEN: 0.086885±0.0006, RECALL: 0.086885±0.0006, MAP: 0.046096±0.0006, MRR: 0.046096±0.0006, NDCG: 0.055706±0.0005, F1: 0.015797±0.0001, HIT_RATE: 0.086885±0.0006, ARHR: 0.046096±0.0006, RMSE: 0.949600±0.0002, NOVELTY: 0.005951±0.0000, AVERAGE_POPULARITY: 0.437566±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.948578±0.0002, DIVERSITY_HERFINDAHL: 0.994854±0.0000, COVERAGE_ITEM: 0.697388±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.163861±0.0004, SHANNON_ENTROPY: 9.946934±0.0036, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 261, 'shrink': 307, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.494804493330798, 'tversky_beta': 1.5017176561396006} - results: ROC_AUC: 0.063269±0.0012, PRECISION: 0.008575±0.0001, PRECISION_RECALL_MIN_DEN: 0.085750±0.0013, RECALL: 0.085750±0.0013, MAP: 0.046209±0.0011, MRR: 0.046209±0.0011, NDCG: 0.055564±0.0011, F1: 0.015591±0.0002, HIT_RATE: 0.085750±0.0013, ARHR: 0.046209±0.0011, RMSE: 0.962349±0.0002, NOVELTY: 0.006902±0.0000, AVERAGE_POPULARITY: 0.187049±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.993254±0.0000, DIVERSITY_HERFINDAHL: 0.999321±0.0000, COVERAGE_ITEM: 0.812836±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.333589±0.0007, SHANNON_ENTROPY: 12.272510±0.0019, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 344, 'shrink': 34, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.4854126609020013, 'tversky_beta': 1.886533423514815} - results: ROC_AUC: 0.067173±0.0010, PRECISION: 0.009060±0.0001, PRECISION_RECALL_MIN_DEN: 0.090600±0.0009, RECALL: 0.090600±0.0009, MAP: 0.049251±0.0009, MRR: 0.049251±0.0009, NDCG: 0.059045±0.0008, F1: 0.016473±0.0002, HIT_RATE: 0.090600±0.0009, ARHR: 0.049251±0.0009, RMSE: 0.966400±0.0002, NOVELTY: 0.006281±0.0000, AVERAGE_POPULARITY: 0.343866±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.969878±0.0001, DIVERSITY_HERFINDAHL: 0.996984±0.0000, COVERAGE_ITEM: 0.804455±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.217276±0.0001, SHANNON_ENTROPY: 10.839938±0.0028, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 932, 'shrink': 1161, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.932894081731331, 'tversky_beta': 1.692424124129491} - results: ROC_AUC: 0.058198±0.0009, PRECISION: 0.007954±0.0001, PRECISION_RECALL_MIN_DEN: 0.079542±0.0009, RECALL: 0.079542±0.0009, MAP: 0.042635±0.0007, MRR: 0.042635±0.0007, NDCG: 0.051351±0.0007, F1: 0.014462±0.0002, HIT_RATE: 0.079542±0.0009, ARHR: 0.042635±0.0007, RMSE: 0.981740±0.0001, NOVELTY: 0.005332±0.0000, AVERAGE_POPULARITY: 0.614155±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.859839±0.0006, DIVERSITY_HERFINDAHL: 0.985980±0.0001, COVERAGE_ITEM: 0.410900±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.066006±0.0005, SHANNON_ENTROPY: 7.789077±0.0081, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 911, 'shrink': 1245, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.0460891553236067, 'tversky_beta': 1.6871566170904237} - results: ROC_AUC: 0.048875±0.0009, PRECISION: 0.006802±0.0001, PRECISION_RECALL_MIN_DEN: 0.068023±0.0013, RECALL: 0.068023±0.0013, MAP: 0.036069±0.0008, MRR: 0.036069±0.0008, NDCG: 0.043575±0.0009, F1: 0.012368±0.0002, HIT_RATE: 0.068023±0.0013, ARHR: 0.036069±0.0008, RMSE: 0.977193±0.0001, NOVELTY: 0.005147±0.0000, AVERAGE_POPULARITY: 0.725004±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.742812±0.0002, DIVERSITY_HERFINDAHL: 0.974278±0.0000, COVERAGE_ITEM: 0.362563±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.047817±0.0004, SHANNON_ENTROPY: 6.633404±0.0080, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 461, 'shrink': 1788, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.664666883115425, 'tversky_beta': 0.8380693148441776} - results: ROC_AUC: 0.065439±0.0009, PRECISION: 0.008978±0.0001, PRECISION_RECALL_MIN_DEN: 0.089776±0.0008, RECALL: 0.089776±0.0008, MAP: 0.047642±0.0006, MRR: 0.047642±0.0006, NDCG: 0.057592±0.0006, F1: 0.016323±0.0001, HIT_RATE: 0.089776±0.0008, ARHR: 0.047642±0.0006, RMSE: 0.982920±0.0001, NOVELTY: 0.005803±0.0000, AVERAGE_POPULARITY: 0.468928±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.940450±0.0001, DIVERSITY_HERFINDAHL: 0.994041±0.0000, COVERAGE_ITEM: 0.657302±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136714±0.0005, SHANNON_ENTROPY: 9.555935±0.0045, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 999, 'shrink': 1487, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.694740720584167, 'tversky_beta': 0.6047632851394628} - results: ROC_AUC: 0.057223±0.0006, PRECISION: 0.007937±0.0001, PRECISION_RECALL_MIN_DEN: 0.079365±0.0009, RECALL: 0.079365±0.0009, MAP: 0.041745±0.0005, MRR: 0.041745±0.0005, NDCG: 0.050605±0.0006, F1: 0.014430±0.0002, HIT_RATE: 0.079365±0.0009, ARHR: 0.041745±0.0005, RMSE: 0.971700±0.0001, NOVELTY: 0.005444±0.0000, AVERAGE_POPULARITY: 0.606068±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.864967±0.0005, DIVERSITY_HERFINDAHL: 0.986493±0.0001, COVERAGE_ITEM: 0.550808±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.086106±0.0004, SHANNON_ENTROPY: 8.093163±0.0023, 
