CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 474, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.4840121401836927e-12, 'lambda_j': 8.645393989967818e-08, 'learning_rate': 7.142193913508191e-05} - results: ROC_AUC: 0.027345±0.0013, PRECISION: 0.004332±0.0002, PRECISION_RECALL_MIN_DEN: 0.043317±0.0016, RECALL: 0.043317±0.0016, MAP: 0.019170±0.0009, MRR: 0.019170±0.0009, NDCG: 0.024754±0.0008, F1: 0.007876±0.0003, HIT_RATE: 0.043317±0.0016, ARHR: 0.019170±0.0009, RMSE: 0.824105±0.0034, NOVELTY: 0.004984±0.0000, AVERAGE_POPULARITY: 0.780187±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.697745±0.0027, DIVERSITY_HERFINDAHL: 0.969757±0.0003, COVERAGE_ITEM: 0.018794±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119579±0.0015, SHANNON_ENTROPY: 5.702696±0.0082, 
CrossSearchBayesianSkopt: New best config found. Config 11: {'topK': 197, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.0072898681277788644, 'lambda_j': 1.9861770891704145e-06, 'learning_rate': 1.036321186796198e-06} - results: ROC_AUC: 0.028974±0.0007, PRECISION: 0.004519±0.0001, PRECISION_RECALL_MIN_DEN: 0.045194±0.0008, RECALL: 0.045194±0.0008, MAP: 0.020065±0.0012, MRR: 0.020065±0.0012, NDCG: 0.025895±0.0009, F1: 0.008217±0.0001, HIT_RATE: 0.045194±0.0008, ARHR: 0.020065±0.0012, RMSE: 0.998091±0.0000, NOVELTY: 0.005032±0.0000, AVERAGE_POPULARITY: 0.744541±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.762745±0.0011, DIVERSITY_HERFINDAHL: 0.976255±0.0001, COVERAGE_ITEM: 0.025272±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120291±0.0015, SHANNON_ENTROPY: 6.107936±0.0039, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 538, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 4.164598464744515e-08, 'lambda_j': 1.1826804964154879e-08, 'learning_rate': 1.392324271102991e-07} - results: ROC_AUC: 0.026951±0.0014, PRECISION: 0.004210±0.0002, PRECISION_RECALL_MIN_DEN: 0.042100±0.0016, RECALL: 0.042100±0.0016, MAP: 0.018857±0.0010, MRR: 0.018857±0.0010, NDCG: 0.024244±0.0009, F1: 0.007655±0.0003, HIT_RATE: 0.042100±0.0016, ARHR: 0.018857±0.0010, RMSE: 0.999293±0.0000, NOVELTY: 0.004976±0.0000, AVERAGE_POPULARITY: 0.786282±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.686643±0.0018, DIVERSITY_HERFINDAHL: 0.968647±0.0002, COVERAGE_ITEM: 0.017637±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119888±0.0017, SHANNON_ENTROPY: 5.624317±0.0091, 
CrossSearchBayesianSkopt: New best config found. Config 13: {'topK': 308, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.413362777357604e-09, 'lambda_j': 1.6566660548865785e-05, 'learning_rate': 1.780539132148799e-06} - results: ROC_AUC: 0.030975±0.0007, PRECISION: 0.004809±0.0001, PRECISION_RECALL_MIN_DEN: 0.048085±0.0010, RECALL: 0.048085±0.0010, MAP: 0.020973±0.0010, MRR: 0.020973±0.0010, NDCG: 0.027286±0.0008, F1: 0.008743±0.0002, HIT_RATE: 0.048085±0.0010, ARHR: 0.020973±0.0010, RMSE: 0.999955±0.0000, NOVELTY: 0.005068±0.0000, AVERAGE_POPULARITY: 0.723085±0.0064, DIVERSITY_MEAN_INTER_LIST: 0.792041±0.0026, DIVERSITY_HERFINDAHL: 0.979184±0.0003, COVERAGE_ITEM: 0.030030±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124246±0.0014, SHANNON_ENTROPY: 6.365575±0.0192, 
CrossSearchBayesianSkopt: New best config found. Config 14: {'topK': 33, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.007212487273387314, 'lambda_j': 7.730029589992294e-05, 'learning_rate': 4.086293377631377e-08} - results: ROC_AUC: 0.032418±0.0011, PRECISION: 0.005194±0.0002, PRECISION_RECALL_MIN_DEN: 0.051940±0.0017, RECALL: 0.051940±0.0017, MAP: 0.021894±0.0014, MRR: 0.021894±0.0014, NDCG: 0.028857±0.0014, F1: 0.009444±0.0003, HIT_RATE: 0.051940±0.0017, ARHR: 0.021894±0.0014, RMSE: 0.999963±0.0000, NOVELTY: 0.005189±0.0000, AVERAGE_POPULARITY: 0.639682±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.874270±0.0008, DIVERSITY_HERFINDAHL: 0.987405±0.0001, COVERAGE_ITEM: 0.036313±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.160360±0.0010, SHANNON_ENTROPY: 7.072209±0.0096, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 473, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.1948387767778402e-11, 'lambda_j': 2.0806843456821433e-09, 'learning_rate': 9.814916044130815e-05} - results: ROC_AUC: 0.029938±0.0007, PRECISION: 0.004601±0.0002, PRECISION_RECALL_MIN_DEN: 0.046006±0.0021, RECALL: 0.046006±0.0021, MAP: 0.020319±0.0009, MRR: 0.020319±0.0009, NDCG: 0.026309±0.0008, F1: 0.008365±0.0004, HIT_RATE: 0.046006±0.0021, ARHR: 0.020319±0.0009, RMSE: 0.997071±0.0000, NOVELTY: 0.005024±0.0000, AVERAGE_POPULARITY: 0.752988±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.752584±0.0008, DIVERSITY_HERFINDAHL: 0.975239±0.0001, COVERAGE_ITEM: 0.024882±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118939±0.0007, SHANNON_ENTROPY: 6.054519±0.0072, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 769, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 6.487204429466536e-09, 'lambda_j': 9.46175657500561e-09, 'learning_rate': 5.3330367046229925e-06} - results: ROC_AUC: 0.026770±0.0014, PRECISION: 0.004185±0.0001, PRECISION_RECALL_MIN_DEN: 0.041846±0.0014, RECALL: 0.041846±0.0014, MAP: 0.018737±0.0012, MRR: 0.018737±0.0012, NDCG: 0.024089±0.0010, F1: 0.007608±0.0002, HIT_RATE: 0.041846±0.0014, ARHR: 0.018737±0.0012, RMSE: 0.970526±0.0004, NOVELTY: 0.004964±0.0000, AVERAGE_POPULARITY: 0.795690±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.668052±0.0026, DIVERSITY_HERFINDAHL: 0.966788±0.0003, COVERAGE_ITEM: 0.015496±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125072±0.0018, SHANNON_ENTROPY: 5.512308±0.0071, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 130, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.1994758269000056e-10, 'lambda_j': 1.5958261671225673e-07, 'learning_rate': 1.8645750463616083e-07} - results: ROC_AUC: 0.030236±0.0009, PRECISION: 0.004692±0.0001, PRECISION_RECALL_MIN_DEN: 0.046919±0.0014, RECALL: 0.046919±0.0014, MAP: 0.020763±0.0013, MRR: 0.020763±0.0013, NDCG: 0.026840±0.0010, F1: 0.008531±0.0003, HIT_RATE: 0.046919±0.0014, ARHR: 0.020763±0.0013, RMSE: 0.999412±0.0000, NOVELTY: 0.005063±0.0000, AVERAGE_POPULARITY: 0.722814±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.793355±0.0015, DIVERSITY_HERFINDAHL: 0.979315±0.0001, COVERAGE_ITEM: 0.028451±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126514±0.0013, SHANNON_ENTROPY: 6.342802±0.0090, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 590, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.005400081033619582, 'lambda_j': 0.0006393190695010079, 'learning_rate': 7.684203275265647e-07} - results: ROC_AUC: 0.027001±0.0015, PRECISION: 0.004200±0.0001, PRECISION_RECALL_MIN_DEN: 0.041998±0.0007, RECALL: 0.041998±0.0007, MAP: 0.018920±0.0011, MRR: 0.018920±0.0011, NDCG: 0.024269±0.0009, F1: 0.007636±0.0001, HIT_RATE: 0.041998±0.0007, ARHR: 0.018920±0.0011, RMSE: 0.996005±0.0001, NOVELTY: 0.004973±0.0000, AVERAGE_POPULARITY: 0.789096±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.681396±0.0022, DIVERSITY_HERFINDAHL: 0.968122±0.0002, COVERAGE_ITEM: 0.016805±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122468±0.0023, SHANNON_ENTROPY: 5.590060±0.0079, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 136, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.010559946079591783, 'lambda_j': 1.3521606199418508e-06, 'learning_rate': 9.067878179602458e-08} - results: ROC_AUC: 0.030028±0.0008, PRECISION: 0.004651±0.0001, PRECISION_RECALL_MIN_DEN: 0.046513±0.0007, RECALL: 0.046513±0.0007, MAP: 0.020527±0.0011, MRR: 0.020527±0.0011, NDCG: 0.026569±0.0009, F1: 0.008457±0.0001, HIT_RATE: 0.046513±0.0007, ARHR: 0.020527±0.0011, RMSE: 0.999855±0.0000, NOVELTY: 0.005059±0.0000, AVERAGE_POPULARITY: 0.724459±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.791166±0.0011, DIVERSITY_HERFINDAHL: 0.979097±0.0001, COVERAGE_ITEM: 0.027770±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127241±0.0013, SHANNON_ENTROPY: 6.320498±0.0060, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 877, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 2.5868725614170204e-07, 'lambda_j': 3.640100088111588e-08, 'learning_rate': 5.4668768760091093e-05} - results: ROC_AUC: 0.031758±0.0004, PRECISION: 0.004915±0.0001, PRECISION_RECALL_MIN_DEN: 0.049150±0.0012, RECALL: 0.049150±0.0012, MAP: 0.021697±0.0008, MRR: 0.021697±0.0008, NDCG: 0.028090±0.0004, F1: 0.008936±0.0002, HIT_RATE: 0.049150±0.0012, ARHR: 0.021697±0.0008, RMSE: 0.995973±0.0000, NOVELTY: 0.005046±0.0000, AVERAGE_POPULARITY: 0.740095±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.759092±0.0027, DIVERSITY_HERFINDAHL: 0.975890±0.0003, COVERAGE_ITEM: 0.027153±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119388±0.0007, SHANNON_ENTROPY: 6.162856±0.0107, 
CrossSearchBayesianSkopt: New best config found. Config 21: {'topK': 200, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 7.111641714591533e-05, 'lambda_j': 0.0008590787412979563, 'learning_rate': 6.123570036451144e-07} - results: ROC_AUC: 0.034869±0.0006, PRECISION: 0.005458±0.0001, PRECISION_RECALL_MIN_DEN: 0.054578±0.0012, RECALL: 0.054578±0.0012, MAP: 0.023438±0.0008, MRR: 0.023438±0.0008, NDCG: 0.030687±0.0008, F1: 0.009923±0.0002, HIT_RATE: 0.054578±0.0012, ARHR: 0.023438±0.0008, RMSE: 0.999973±0.0000, NOVELTY: 0.005186±0.0000, AVERAGE_POPULARITY: 0.650448±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.859645±0.0008, DIVERSITY_HERFINDAHL: 0.985943±0.0001, COVERAGE_ITEM: 0.043525±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139339±0.0005, SHANNON_ENTROPY: 7.038803±0.0064, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 813, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.02827257291508272, 'lambda_j': 0.06170388542218962, 'learning_rate': 7.246619818682159e-08} - results: ROC_AUC: 0.028393±0.0009, PRECISION: 0.004514±0.0002, PRECISION_RECALL_MIN_DEN: 0.045143±0.0020, RECALL: 0.045143±0.0020, MAP: 0.019307±0.0010, MRR: 0.019307±0.0010, NDCG: 0.025301±0.0009, F1: 0.008208±0.0004, HIT_RATE: 0.045143±0.0020, ARHR: 0.019307±0.0010, RMSE: 0.999997±0.0000, NOVELTY: 0.004984±0.0000, AVERAGE_POPULARITY: 0.782092±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.705186±0.0017, DIVERSITY_HERFINDAHL: 0.970501±0.0002, COVERAGE_ITEM: 0.019811±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116129±0.0010, SHANNON_ENTROPY: 5.724855±0.0091, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 520, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.9629207454713161e-07, 'lambda_j': 0.05441279355892606, 'learning_rate': 1.8277346886392409e-06} - results: ROC_AUC: 0.032564±0.0010, PRECISION: 0.005016±0.0002, PRECISION_RECALL_MIN_DEN: 0.050165±0.0016, RECALL: 0.050165±0.0016, MAP: 0.022098±0.0011, MRR: 0.022098±0.0011, NDCG: 0.028639±0.0009, F1: 0.009121±0.0003, HIT_RATE: 0.050165±0.0016, ARHR: 0.022098±0.0011, RMSE: 0.999885±0.0000, NOVELTY: 0.005084±0.0000, AVERAGE_POPULARITY: 0.714583±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.794444±0.0015, DIVERSITY_HERFINDAHL: 0.979424±0.0001, COVERAGE_ITEM: 0.031879±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123958±0.0019, SHANNON_ENTROPY: 6.431797±0.0121, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 486, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.03157064302880339, 'lambda_j': 2.0588945860695503e-07, 'learning_rate': 1.5176872421789535e-08} - results: ROC_AUC: 0.027306±0.0015, PRECISION: 0.004240±0.0001, PRECISION_RECALL_MIN_DEN: 0.042404±0.0013, RECALL: 0.042404±0.0013, MAP: 0.019034±0.0010, MRR: 0.019034±0.0010, NDCG: 0.024458±0.0009, F1: 0.007710±0.0002, HIT_RATE: 0.042404±0.0013, ARHR: 0.019034±0.0010, RMSE: 0.999925±0.0000, NOVELTY: 0.004981±0.0000, AVERAGE_POPULARITY: 0.782912±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.694180±0.0025, DIVERSITY_HERFINDAHL: 0.969400±0.0003, COVERAGE_ITEM: 0.018026±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120811±0.0025, SHANNON_ENTROPY: 5.664069±0.0094, 
