CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 139, 'shrink': 1420, 'normalize': False, 'alpha_weight': 1.6, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6803447963711181, 'feature_weighting': 'none'} - results: ROC_AUC: 0.073387±0.0005, PRECISION: 0.009985±0.0001, PRECISION_RECALL_MIN_DEN: 0.099852±0.0006, RECALL: 0.099852±0.0006, MAP: 0.053483±0.0005, MRR: 0.053483±0.0005, NDCG: 0.064448±0.0005, F1: 0.018155±0.0001, HIT_RATE: 0.099852±0.0006, ARHR: 0.053483±0.0005, RMSE: 0.962369±0.0002, NOVELTY: 0.005703±0.0000, AVERAGE_POPULARITY: 0.472488±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.943153±0.0005, DIVERSITY_HERFINDAHL: 0.994310±0.0000, COVERAGE_ITEM: 0.448748±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132365±0.0009, SHANNON_ENTROPY: 9.430166±0.0106, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 82, 'shrink': 1569, 'normalize': False, 'alpha_weight': 0.24, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.13947013528507649, 'feature_weighting': 'none'} - results: ROC_AUC: 0.033183±0.0013, PRECISION: 0.004343±0.0002, PRECISION_RECALL_MIN_DEN: 0.043433±0.0016, RECALL: 0.043433±0.0016, MAP: 0.024551±0.0011, MRR: 0.024551±0.0011, NDCG: 0.029051±0.0012, F1: 0.007897±0.0003, HIT_RATE: 0.043433±0.0016, ARHR: 0.024551±0.0011, RMSE: 0.998021±0.0000, NOVELTY: 0.006281±0.0000, AVERAGE_POPULARITY: 0.100472±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.996382±0.0000, DIVERSITY_HERFINDAHL: 0.999632±0.0000, COVERAGE_ITEM: 0.832517±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.352457±0.0010, SHANNON_ENTROPY: 12.633175±0.0049, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 180, 'shrink': 772, 'normalize': True, 'alpha_weight': 0.42, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9733017636169237, 'feature_weighting': 'none'} - results: ROC_AUC: 0.045438±0.0011, PRECISION: 0.005956±0.0001, PRECISION_RECALL_MIN_DEN: 0.059563±0.0013, RECALL: 0.059563±0.0013, MAP: 0.033672±0.0009, MRR: 0.033672±0.0009, NDCG: 0.039837±0.0010, F1: 0.010830±0.0002, HIT_RATE: 0.059563±0.0013, ARHR: 0.033672±0.0009, RMSE: 0.954766±0.0005, NOVELTY: 0.005834±0.0000, AVERAGE_POPULARITY: 0.149007±0.0011, DIVERSITY_MEAN_INTER_LIST: 0.994188±0.0000, DIVERSITY_HERFINDAHL: 0.999413±0.0000, COVERAGE_ITEM: 0.829630±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.339990±0.0007, SHANNON_ENTROPY: 12.424448±0.0052, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 196, 'shrink': 1368, 'normalize': True, 'alpha_weight': 1.02, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.48690081972701516, 'feature_weighting': 'none'} - results: ROC_AUC: 0.063179±0.0010, PRECISION: 0.008678±0.0001, PRECISION_RECALL_MIN_DEN: 0.086775±0.0013, RECALL: 0.086775±0.0013, MAP: 0.046280±0.0011, MRR: 0.046280±0.0011, NDCG: 0.055828±0.0011, F1: 0.015777±0.0002, HIT_RATE: 0.086775±0.0013, ARHR: 0.046280±0.0011, RMSE: 0.986929±0.0001, NOVELTY: 0.005442±0.0000, AVERAGE_POPULARITY: 0.558006±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.905988±0.0003, DIVERSITY_HERFINDAHL: 0.990594±0.0000, COVERAGE_ITEM: 0.514647±0.0069, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.098744±0.0005, SHANNON_ENTROPY: 8.605596±0.0096, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 139, 'shrink': 13, 'normalize': True, 'alpha_weight': 0.3, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.474352517275208, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.016660±0.0002, PRECISION: 0.002577±0.0001, PRECISION_RECALL_MIN_DEN: 0.025766±0.0006, RECALL: 0.025766±0.0006, MAP: 0.011298±0.0002, MRR: 0.011298±0.0002, NDCG: 0.014669±0.0003, F1: 0.004685±0.0001, HIT_RATE: 0.025766±0.0006, ARHR: 0.011298±0.0002, RMSE: 1.154408±0.0067, NOVELTY: 0.003283±0.0000, AVERAGE_POPULARITY: 0.023325±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.996174±0.0000, DIVERSITY_HERFINDAHL: 0.999612±0.0000, COVERAGE_ITEM: 0.655453±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.328947±0.0008, SHANNON_ENTROPY: 12.285933±0.0054, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 36, 'shrink': 1529, 'normalize': True, 'alpha_weight': 1.82, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9894870366570059, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.068123±0.0008, PRECISION: 0.008853±0.0001, PRECISION_RECALL_MIN_DEN: 0.088529±0.0008, RECALL: 0.088529±0.0008, MAP: 0.050235±0.0006, MRR: 0.050235±0.0006, NDCG: 0.059377±0.0006, F1: 0.016096±0.0001, HIT_RATE: 0.088529±0.0008, ARHR: 0.050235±0.0006, RMSE: 0.983836±0.0001, NOVELTY: 0.007941±0.0000, AVERAGE_POPULARITY: 0.090672±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.997343±0.0000, DIVERSITY_HERFINDAHL: 0.999729±0.0000, COVERAGE_ITEM: 0.757675±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.466568±0.0011, SHANNON_ENTROPY: 12.911253±0.0028, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 177, 'shrink': 1189, 'normalize': True, 'alpha_weight': 1.44, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.22960926161554523, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.071391±0.0005, PRECISION: 0.009583±0.0001, PRECISION_RECALL_MIN_DEN: 0.095831±0.0007, RECALL: 0.095831±0.0007, MAP: 0.051943±0.0007, MRR: 0.051943±0.0007, NDCG: 0.062359±0.0006, F1: 0.017424±0.0001, HIT_RATE: 0.095831±0.0007, ARHR: 0.051943±0.0007, RMSE: 0.889411±0.0022, NOVELTY: 0.007026±0.0000, AVERAGE_POPULARITY: 0.115476±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.996628±0.0000, DIVERSITY_HERFINDAHL: 0.999657±0.0000, COVERAGE_ITEM: 0.923687±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.405829±0.0003, SHANNON_ENTROPY: 12.876408±0.0018, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 116, 'shrink': 1864, 'normalize': False, 'alpha_weight': 1.16, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8494191078881534, 'feature_weighting': 'none'} - results: ROC_AUC: 0.060871±0.0011, PRECISION: 0.008337±0.0001, PRECISION_RECALL_MIN_DEN: 0.083369±0.0013, RECALL: 0.083369±0.0013, MAP: 0.044629±0.0011, MRR: 0.044629±0.0011, NDCG: 0.053771±0.0011, F1: 0.015158±0.0002, HIT_RATE: 0.083369±0.0013, ARHR: 0.044629±0.0011, RMSE: 0.985662±0.0001, NOVELTY: 0.005500±0.0000, AVERAGE_POPULARITY: 0.550036±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.906682±0.0006, DIVERSITY_HERFINDAHL: 0.990663±0.0001, COVERAGE_ITEM: 0.475620±0.0062, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104600±0.0005, SHANNON_ENTROPY: 8.718181±0.0083, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 31, 'shrink': 1419, 'normalize': False, 'alpha_weight': 1.36, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.10507513216725742, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.068618±0.0008, PRECISION: 0.009262±0.0001, PRECISION_RECALL_MIN_DEN: 0.092619±0.0009, RECALL: 0.092619±0.0009, MAP: 0.049413±0.0008, MRR: 0.049413±0.0008, NDCG: 0.059672±0.0008, F1: 0.016840±0.0002, HIT_RATE: 0.092619±0.0009, ARHR: 0.049413±0.0008, RMSE: 0.976101±0.0001, NOVELTY: 0.007168±0.0000, AVERAGE_POPULARITY: 0.082906±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.997284±0.0000, DIVERSITY_HERFINDAHL: 0.999723±0.0000, COVERAGE_ITEM: 0.890208±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.403586±0.0004, SHANNON_ENTROPY: 12.935885±0.0025, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 34, 'shrink': 1362, 'normalize': True, 'alpha_weight': 0.32, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.23713185282169, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.019693±0.0005, PRECISION: 0.002849±0.0000, PRECISION_RECALL_MIN_DEN: 0.028488±0.0004, RECALL: 0.028488±0.0004, MAP: 0.013626±0.0005, MRR: 0.013626±0.0005, NDCG: 0.017122±0.0003, F1: 0.005180±0.0001, HIT_RATE: 0.028488±0.0004, ARHR: 0.013626±0.0005, RMSE: 0.963982±0.0005, NOVELTY: 0.005638±0.0000, AVERAGE_POPULARITY: 0.016948±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.997287±0.0000, DIVERSITY_HERFINDAHL: 0.999723±0.0000, COVERAGE_ITEM: 0.921633±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.535652±0.0011, SHANNON_ENTROPY: 13.406167±0.0027, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 167, 'shrink': 1225, 'normalize': False, 'alpha_weight': 1.06, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.7459132952278853, 'feature_weighting': 'none'} - results: ROC_AUC: 0.060028±0.0010, PRECISION: 0.008271±0.0001, PRECISION_RECALL_MIN_DEN: 0.082709±0.0013, RECALL: 0.082709±0.0013, MAP: 0.044088±0.0009, MRR: 0.044088±0.0009, NDCG: 0.053184±0.0009, F1: 0.015038±0.0002, HIT_RATE: 0.082709±0.0013, ARHR: 0.044088±0.0009, RMSE: 0.980148±0.0002, NOVELTY: 0.005435±0.0000, AVERAGE_POPULARITY: 0.579351±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.888342±0.0008, DIVERSITY_HERFINDAHL: 0.988829±0.0001, COVERAGE_ITEM: 0.496394±0.0058, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.096762±0.0006, SHANNON_ENTROPY: 8.427374±0.0106, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 124, 'shrink': 1986, 'normalize': False, 'alpha_weight': 1.54, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4725060486124796, 'feature_weighting': 'none'} - results: ROC_AUC: 0.074164±0.0005, PRECISION: 0.010074±0.0001, PRECISION_RECALL_MIN_DEN: 0.100740±0.0007, RECALL: 0.100740±0.0007, MAP: 0.053950±0.0005, MRR: 0.053950±0.0005, NDCG: 0.065020±0.0004, F1: 0.018316±0.0001, HIT_RATE: 0.100740±0.0007, ARHR: 0.053950±0.0005, RMSE: 0.975800±0.0001, NOVELTY: 0.005742±0.0000, AVERAGE_POPULARITY: 0.459152±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.947480±0.0005, DIVERSITY_HERFINDAHL: 0.994743±0.0000, COVERAGE_ITEM: 0.463304±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.137689±0.0008, SHANNON_ENTROPY: 9.562883±0.0103, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 193, 'shrink': 1779, 'normalize': False, 'alpha_weight': 1.56, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6521903221447687, 'feature_weighting': 'none'} - results: ROC_AUC: 0.057668±0.0011, PRECISION: 0.007930±0.0001, PRECISION_RECALL_MIN_DEN: 0.079303±0.0015, RECALL: 0.079303±0.0015, MAP: 0.042513±0.0011, MRR: 0.042513±0.0011, NDCG: 0.051180±0.0011, F1: 0.014419±0.0003, HIT_RATE: 0.079303±0.0015, ARHR: 0.042513±0.0011, RMSE: 0.868506±0.0008, NOVELTY: 0.005389±0.0000, AVERAGE_POPULARITY: 0.602972±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.874789±0.0005, DIVERSITY_HERFINDAHL: 0.987474±0.0000, COVERAGE_ITEM: 0.377259±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.090279±0.0007, SHANNON_ENTROPY: 8.124275±0.0074, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 131, 'shrink': 967, 'normalize': False, 'alpha_weight': 1.9, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.44767058666022896, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.070331±0.0005, PRECISION: 0.009272±0.0001, PRECISION_RECALL_MIN_DEN: 0.092721±0.0007, RECALL: 0.092721±0.0007, MAP: 0.051156±0.0007, MRR: 0.051156±0.0007, NDCG: 0.061063±0.0006, F1: 0.016858±0.0001, HIT_RATE: 0.092721±0.0007, ARHR: 0.051156±0.0007, RMSE: 0.945265±0.0006, NOVELTY: 0.007233±0.0000, AVERAGE_POPULARITY: 0.101929±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.996821±0.0000, DIVERSITY_HERFINDAHL: 0.999676±0.0000, COVERAGE_ITEM: 0.734155±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.402761±0.0013, SHANNON_ENTROPY: 12.656136±0.0041, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 78, 'shrink': 292, 'normalize': False, 'alpha_weight': 1.42, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7119740771233914, 'feature_weighting': 'none'} - results: ROC_AUC: 0.061010±0.0012, PRECISION: 0.008293±0.0002, PRECISION_RECALL_MIN_DEN: 0.082925±0.0016, RECALL: 0.082925±0.0016, MAP: 0.044882±0.0011, MRR: 0.044882±0.0011, NDCG: 0.053872±0.0012, F1: 0.015077±0.0003, HIT_RATE: 0.082925±0.0016, ARHR: 0.044882±0.0011, RMSE: 1.235095±0.0083, NOVELTY: 0.005596±0.0000, AVERAGE_POPULARITY: 0.515356±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.925130±0.0006, DIVERSITY_HERFINDAHL: 0.992508±0.0001, COVERAGE_ITEM: 0.447775±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119498±0.0007, SHANNON_ENTROPY: 9.051339±0.0065, 
