CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 139, 'shrink': 1420, 'normalize': False, 'alpha_weight': 1.6, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.077744±0.0009, PRECISION: 0.010427±0.0001, PRECISION_RECALL_MIN_DEN: 0.104272±0.0011, RECALL: 0.104272±0.0011, MAP: 0.057149±0.0007, MRR: 0.057149±0.0007, NDCG: 0.068318±0.0007, F1: 0.018958±0.0002, HIT_RATE: 0.104272±0.0011, ARHR: 0.057149±0.0007, RMSE: 0.988589±0.0001, NOVELTY: 0.006314±0.0000, AVERAGE_POPULARITY: 0.315875±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.980234±0.0001, DIVERSITY_HERFINDAHL: 0.998018±0.0000, COVERAGE_ITEM: 0.720692±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.230786±0.0004, SHANNON_ENTROPY: 11.118596±0.0039, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 148, 'shrink': 1880, 'normalize': True, 'alpha_weight': 1.62, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.064467±0.0011, PRECISION: 0.008781±0.0001, PRECISION_RECALL_MIN_DEN: 0.087812±0.0012, RECALL: 0.087812±0.0012, MAP: 0.047496±0.0010, MRR: 0.047496±0.0010, NDCG: 0.057013±0.0010, F1: 0.015966±0.0002, HIT_RATE: 0.087812±0.0012, ARHR: 0.047496±0.0010, RMSE: 0.942830±0.0006, NOVELTY: 0.005528±0.0000, AVERAGE_POPULARITY: 0.530273±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.923341±0.0005, DIVERSITY_HERFINDAHL: 0.992329±0.0000, COVERAGE_ITEM: 0.457626±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102182±0.0005, SHANNON_ENTROPY: 8.825699±0.0089, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 22, 'shrink': 435, 'normalize': False, 'alpha_weight': 1.52, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.072804±0.0012, PRECISION: 0.009932±0.0001, PRECISION_RECALL_MIN_DEN: 0.099317±0.0007, RECALL: 0.099317±0.0007, MAP: 0.053313±0.0011, MRR: 0.053313±0.0011, NDCG: 0.064183±0.0010, F1: 0.018058±0.0001, HIT_RATE: 0.099317±0.0007, ARHR: 0.053313±0.0011, RMSE: 0.935792±0.0011, NOVELTY: 0.005910±0.0000, AVERAGE_POPULARITY: 0.354058±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.978458±0.0001, DIVERSITY_HERFINDAHL: 0.997840±0.0000, COVERAGE_ITEM: 0.493106±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.148696±0.0005, SHANNON_ENTROPY: 10.271291±0.0019, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 49, 'shrink': 1339, 'normalize': False, 'alpha_weight': 0.8, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.079514±0.0009, PRECISION: 0.010517±0.0000, PRECISION_RECALL_MIN_DEN: 0.105171±0.0004, RECALL: 0.105171±0.0004, MAP: 0.058460±0.0007, MRR: 0.058460±0.0007, NDCG: 0.069569±0.0006, F1: 0.019122±0.0001, HIT_RATE: 0.105171±0.0004, ARHR: 0.058460±0.0007, RMSE: 0.990871±0.0001, NOVELTY: 0.006599±0.0000, AVERAGE_POPULARITY: 0.234386±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.990207±0.0000, DIVERSITY_HERFINDAHL: 0.999015±0.0000, COVERAGE_ITEM: 0.760162±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.279862±0.0004, SHANNON_ENTROPY: 11.806929±0.0032, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 130, 'shrink': 1165, 'normalize': True, 'alpha_weight': 0.8, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.077936±0.0008, PRECISION: 0.010478±0.0001, PRECISION_RECALL_MIN_DEN: 0.104784±0.0010, RECALL: 0.104784±0.0010, MAP: 0.057251±0.0006, MRR: 0.057251±0.0006, NDCG: 0.068513±0.0007, F1: 0.019052±0.0002, HIT_RATE: 0.104784±0.0010, ARHR: 0.057251±0.0006, RMSE: 0.987022±0.0001, NOVELTY: 0.006391±0.0000, AVERAGE_POPULARITY: 0.293946±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.983549±0.0001, DIVERSITY_HERFINDAHL: 0.998349±0.0000, COVERAGE_ITEM: 0.731084±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.244607±0.0004, SHANNON_ENTROPY: 11.315429±0.0032, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 177, 'shrink': 246, 'normalize': True, 'alpha_weight': 0.32, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.072728±0.0012, PRECISION: 0.009825±0.0001, PRECISION_RECALL_MIN_DEN: 0.098246±0.0008, RECALL: 0.098246±0.0008, MAP: 0.053205±0.0011, MRR: 0.053205±0.0011, NDCG: 0.063872±0.0010, F1: 0.017863±0.0001, HIT_RATE: 0.098246±0.0008, ARHR: 0.053205±0.0011, RMSE: 0.976917±0.0002, NOVELTY: 0.005759±0.0000, AVERAGE_POPULARITY: 0.425028±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.961790±0.0002, DIVERSITY_HERFINDAHL: 0.996174±0.0000, COVERAGE_ITEM: 0.493366±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127138±0.0006, SHANNON_ENTROPY: 9.705672±0.0073, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 180, 'shrink': 772, 'normalize': True, 'alpha_weight': 0.42, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.067596±0.0011, PRECISION: 0.009195±0.0001, PRECISION_RECALL_MIN_DEN: 0.091947±0.0011, RECALL: 0.091947±0.0011, MAP: 0.049563±0.0010, MRR: 0.049563±0.0010, NDCG: 0.059581±0.0010, F1: 0.016718±0.0002, HIT_RATE: 0.091947±0.0011, ARHR: 0.049563±0.0010, RMSE: 0.905678±0.0009, NOVELTY: 0.005574±0.0000, AVERAGE_POPULARITY: 0.502571±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.937162±0.0005, DIVERSITY_HERFINDAHL: 0.993711±0.0000, COVERAGE_ITEM: 0.454393±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104690±0.0005, SHANNON_ENTROPY: 9.025794±0.0071, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 197, 'shrink': 463, 'normalize': False, 'alpha_weight': 1.36, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.069632±0.0013, PRECISION: 0.009451±0.0001, PRECISION_RECALL_MIN_DEN: 0.094510±0.0009, RECALL: 0.094510±0.0009, MAP: 0.051027±0.0012, MRR: 0.051027±0.0012, NDCG: 0.061312±0.0011, F1: 0.017184±0.0002, HIT_RATE: 0.094510±0.0009, ARHR: 0.051027±0.0012, RMSE: 0.981128±0.0001, NOVELTY: 0.005632±0.0000, AVERAGE_POPULARITY: 0.475197±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.947097±0.0003, DIVERSITY_HERFINDAHL: 0.994704±0.0000, COVERAGE_ITEM: 0.461779±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110857±0.0005, SHANNON_ENTROPY: 9.251706±0.0091, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 35, 'shrink': 1527, 'normalize': True, 'alpha_weight': 0.08, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.067602±0.0014, PRECISION: 0.009166±0.0001, PRECISION_RECALL_MIN_DEN: 0.091662±0.0014, RECALL: 0.091662±0.0014, MAP: 0.049792±0.0014, MRR: 0.049792±0.0014, NDCG: 0.059688±0.0013, F1: 0.016666±0.0002, HIT_RATE: 0.091662±0.0014, ARHR: 0.049792±0.0014, RMSE: 0.955261±0.0006, NOVELTY: 0.005781±0.0000, AVERAGE_POPULARITY: 0.413453±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.965501±0.0002, DIVERSITY_HERFINDAHL: 0.996545±0.0000, COVERAGE_ITEM: 0.505456±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136727±0.0004, SHANNON_ENTROPY: 9.883529±0.0020, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 69, 'shrink': 311, 'normalize': False, 'alpha_weight': 0.0, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.073190±0.0009, PRECISION: 0.009913±0.0001, PRECISION_RECALL_MIN_DEN: 0.099134±0.0008, RECALL: 0.099134±0.0008, MAP: 0.053543±0.0011, MRR: 0.053543±0.0011, NDCG: 0.064335±0.0010, F1: 0.018024±0.0001, HIT_RATE: 0.099134±0.0008, ARHR: 0.053543±0.0011, RMSE: 0.905998±0.0010, NOVELTY: 0.005816±0.0000, AVERAGE_POPULARITY: 0.393894±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.970798±0.0002, DIVERSITY_HERFINDAHL: 0.997074±0.0000, COVERAGE_ITEM: 0.487040±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134081±0.0005, SHANNON_ENTROPY: 9.950482±0.0076, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 36, 'shrink': 1529, 'normalize': True, 'alpha_weight': 1.82, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.067645±0.0013, PRECISION: 0.009171±0.0001, PRECISION_RECALL_MIN_DEN: 0.091707±0.0010, RECALL: 0.091707±0.0010, MAP: 0.049816±0.0013, MRR: 0.049816±0.0013, NDCG: 0.059717±0.0012, F1: 0.016674±0.0002, HIT_RATE: 0.091707±0.0010, ARHR: 0.049816±0.0013, RMSE: 0.993664±0.0001, NOVELTY: 0.005776±0.0000, AVERAGE_POPULARITY: 0.415516±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.964973±0.0001, DIVERSITY_HERFINDAHL: 0.996492±0.0000, COVERAGE_ITEM: 0.503898±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136161±0.0003, SHANNON_ENTROPY: 9.866498±0.0019, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 99, 'shrink': 1299, 'normalize': False, 'alpha_weight': 1.18, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.066663±0.0011, PRECISION: 0.009047±0.0001, PRECISION_RECALL_MIN_DEN: 0.090466±0.0008, RECALL: 0.090466±0.0008, MAP: 0.048925±0.0011, MRR: 0.048925±0.0011, NDCG: 0.058747±0.0010, F1: 0.016448±0.0002, HIT_RATE: 0.090466±0.0008, ARHR: 0.048925±0.0011, RMSE: 0.990803±0.0001, NOVELTY: 0.005619±0.0000, AVERAGE_POPULARITY: 0.484031±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.944088±0.0004, DIVERSITY_HERFINDAHL: 0.994403±0.0000, COVERAGE_ITEM: 0.466191±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112895±0.0004, SHANNON_ENTROPY: 9.237949±0.0086, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 197, 'shrink': 1448, 'normalize': True, 'alpha_weight': 1.16, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.076412±0.0008, PRECISION: 0.010228±0.0001, PRECISION_RECALL_MIN_DEN: 0.102278±0.0008, RECALL: 0.102278±0.0008, MAP: 0.055908±0.0006, MRR: 0.055908±0.0006, NDCG: 0.066910±0.0006, F1: 0.018596±0.0002, HIT_RATE: 0.102278±0.0008, ARHR: 0.055908±0.0006, RMSE: 0.987568±0.0001, NOVELTY: 0.006202±0.0000, AVERAGE_POPULARITY: 0.350465±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.974058±0.0001, DIVERSITY_HERFINDAHL: 0.997400±0.0000, COVERAGE_ITEM: 0.701325±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.212427±0.0008, SHANNON_ENTROPY: 10.803667±0.0039, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 105, 'shrink': 1164, 'normalize': True, 'alpha_weight': 1.2, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.067039±0.0011, PRECISION: 0.009107±0.0001, PRECISION_RECALL_MIN_DEN: 0.091070±0.0006, RECALL: 0.091070±0.0006, MAP: 0.049153±0.0010, MRR: 0.049153±0.0010, NDCG: 0.059063±0.0009, F1: 0.016558±0.0001, HIT_RATE: 0.091070±0.0006, ARHR: 0.049153±0.0010, RMSE: 0.931317±0.0007, NOVELTY: 0.005617±0.0000, AVERAGE_POPULARITY: 0.484240±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.944140±0.0004, DIVERSITY_HERFINDAHL: 0.994409±0.0000, COVERAGE_ITEM: 0.464655±0.0044, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112145±0.0005, SHANNON_ENTROPY: 9.228378±0.0087, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 31, 'shrink': 1419, 'normalize': False, 'alpha_weight': 1.36, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.067775±0.0013, PRECISION: 0.009196±0.0001, PRECISION_RECALL_MIN_DEN: 0.091958±0.0009, RECALL: 0.091958±0.0009, MAP: 0.049916±0.0013, MRR: 0.049916±0.0013, NDCG: 0.059851±0.0012, F1: 0.016720±0.0002, HIT_RATE: 0.091958±0.0009, ARHR: 0.049916±0.0013, RMSE: 0.993605±0.0001, NOVELTY: 0.005803±0.0000, AVERAGE_POPULARITY: 0.403867±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.967948±0.0002, DIVERSITY_HERFINDAHL: 0.996789±0.0000, COVERAGE_ITEM: 0.508819±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139296±0.0004, SHANNON_ENTROPY: 9.958989±0.0059, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 11, 'shrink': 1102, 'normalize': True, 'alpha_weight': 1.36, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.069740±0.0014, PRECISION: 0.009469±0.0001, PRECISION_RECALL_MIN_DEN: 0.094692±0.0011, RECALL: 0.094692±0.0011, MAP: 0.050943±0.0014, MRR: 0.050943±0.0014, NDCG: 0.061291±0.0013, F1: 0.017217±0.0002, HIT_RATE: 0.094692±0.0011, ARHR: 0.050943±0.0014, RMSE: 0.994091±0.0001, NOVELTY: 0.005991±0.0000, AVERAGE_POPULARITY: 0.337498±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.979647±0.0002, DIVERSITY_HERFINDAHL: 0.997959±0.0000, COVERAGE_ITEM: 0.518800±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.158044±0.0007, SHANNON_ENTROPY: 10.400080±0.0066, 
CrossSearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 85, 'shrink': 574, 'normalize': False, 'alpha_weight': 0.92, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.070216±0.0011, PRECISION: 0.009514±0.0001, PRECISION_RECALL_MIN_DEN: 0.095136±0.0010, RECALL: 0.095136±0.0010, MAP: 0.051360±0.0011, MRR: 0.051360±0.0011, NDCG: 0.061722±0.0011, F1: 0.017297±0.0002, HIT_RATE: 0.095136±0.0010, ARHR: 0.051360±0.0011, RMSE: 0.914047±0.0009, NOVELTY: 0.005712±0.0000, AVERAGE_POPULARITY: 0.436602±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.960492±0.0003, DIVERSITY_HERFINDAHL: 0.996044±0.0000, COVERAGE_ITEM: 0.469500±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121855±0.0005, SHANNON_ENTROPY: 9.603314±0.0072, 
